Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;18038 Campotéjar;Europa;3
Ambos sexos;18038 Campotéjar;Resto;..
Ambos sexos;18039 Caniles;Africa;4
Ambos sexos;18039 Caniles;América;3
Ambos sexos;18039 Caniles;Asia;..
Ambos sexos;18039 Caniles;Europa;7
Ambos sexos;18039 Caniles;Resto;..
Ambos sexos;18040 Cáñar;Africa;..
Ambos sexos;18040 Cáñar;América;..
Ambos sexos;18040 Cáñar;Asia;..
Ambos sexos;18040 Cáñar;Europa;15
Ambos sexos;18040 Cáñar;Resto;..
Ambos sexos;18042 Capileira;Africa;2
Ambos sexos;18042 Capileira;América;..
Ambos sexos;18042 Capileira;Asia;..
Ambos sexos;18042 Capileira;Europa;3
Ambos sexos;18042 Capileira;Resto;..
Ambos sexos;18043 Carataunas;Africa;..
Ambos sexos;18043 Carataunas;América;2
Ambos sexos;18043 Carataunas;Asia;2
Ambos sexos;18043 Carataunas;Europa;11
Ambos sexos;18043 Carataunas;Resto;..
Ambos sexos;18044 Cástaras;Africa;..
Ambos sexos;18044 Cástaras;América;..
Ambos sexos;18044 Cástaras;Asia;..
Ambos sexos;18044 Cástaras;Europa;..
Ambos sexos;18044 Cástaras;Resto;..
Ambos sexos;18045 Castilléjar;Africa;1
Ambos sexos;18045 Castilléjar;América;7
Ambos sexos;18045 Castilléjar;Asia;..
Ambos sexos;18045 Castilléjar;Europa;5
Ambos sexos;18045 Castilléjar;Resto;..
Ambos sexos;18046 Castril;Africa;..
Ambos sexos;18046 Castril;América;2
Ambos sexos;18046 Castril;Asia;..
Ambos sexos;18046 Castril;Europa;2
Ambos sexos;18046 Castril;Resto;..
Ambos sexos;18047 Cenes de la Vega;Africa;13
Ambos sexos;18047 Cenes de la Vega;América;28
Ambos sexos;18047 Cenes de la Vega;Asia;3
Ambos sexos;18047 Cenes de la Vega;Europa;23
Ambos sexos;18047 Cenes de la Vega;Resto;..
Ambos sexos;18048 Cijuela;Africa;..
Ambos sexos;18048 Cijuela;América;..
Ambos sexos;18048 Cijuela;Asia;..
Ambos sexos;18048 Cijuela;Europa;1
Ambos sexos;18048 Cijuela;Resto;..
Ambos sexos;18049 Cogollos de Guadix;Africa;..
Ambos sexos;18049 Cogollos de Guadix;América;..
Ambos sexos;18049 Cogollos de Guadix;Asia;..
Ambos sexos;18049 Cogollos de Guadix;Europa;7
Ambos sexos;18049 Cogollos de Guadix;Resto;..
Ambos sexos;18050 Cogollos de la Vega;Africa;..
Ambos sexos;18050 Cogollos de la Vega;América;..
Ambos sexos;18050 Cogollos de la Vega;Asia;..
Ambos sexos;18050 Cogollos de la Vega;Europa;1
Ambos sexos;18050 Cogollos de la Vega;Resto;..
