Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;14040 Montalbán de Córdoba;Resto;..
Ambos sexos;14041 Montemayor;Africa;11
Ambos sexos;14041 Montemayor;América;..
Ambos sexos;14041 Montemayor;Asia;..
Ambos sexos;14041 Montemayor;Europa;..
Ambos sexos;14041 Montemayor;Resto;..
Ambos sexos;14042 Montilla;Africa;21
Ambos sexos;14042 Montilla;América;14
Ambos sexos;14042 Montilla;Asia;1
Ambos sexos;14042 Montilla;Europa;17
Ambos sexos;14042 Montilla;Resto;..
Ambos sexos;14043 Montoro;Africa;1
Ambos sexos;14043 Montoro;América;2
Ambos sexos;14043 Montoro;Asia;..
Ambos sexos;14043 Montoro;Europa;4
Ambos sexos;14043 Montoro;Resto;..
Ambos sexos;14044 Monturque;Africa;..
Ambos sexos;14044 Monturque;América;1
Ambos sexos;14044 Monturque;Asia;..
Ambos sexos;14044 Monturque;Europa;3
Ambos sexos;14044 Monturque;Resto;..
Ambos sexos;14045 Moriles;Africa;..
Ambos sexos;14045 Moriles;América;..
Ambos sexos;14045 Moriles;Asia;..
Ambos sexos;14045 Moriles;Europa;..
Ambos sexos;14045 Moriles;Resto;..
Ambos sexos;14046 Nueva Carteya;Africa;4
Ambos sexos;14046 Nueva Carteya;América;..
Ambos sexos;14046 Nueva Carteya;Asia;..
Ambos sexos;14046 Nueva Carteya;Europa;..
Ambos sexos;14046 Nueva Carteya;Resto;..
Ambos sexos;14047 Obejo;Africa;1
Ambos sexos;14047 Obejo;América;..
Ambos sexos;14047 Obejo;Asia;1
Ambos sexos;14047 Obejo;Europa;..
Ambos sexos;14047 Obejo;Resto;..
Ambos sexos;14048 Palenciana;Africa;..
Ambos sexos;14048 Palenciana;América;..
Ambos sexos;14048 Palenciana;Asia;..
Ambos sexos;14048 Palenciana;Europa;1
Ambos sexos;14048 Palenciana;Resto;..
Ambos sexos;14049 Palma del Río;Africa;11
Ambos sexos;14049 Palma del Río;América;13
Ambos sexos;14049 Palma del Río;Asia;..
Ambos sexos;14049 Palma del Río;Europa;14
Ambos sexos;14049 Palma del Río;Resto;..
Ambos sexos;14050 Pedro Abad;Africa;4
Ambos sexos;14050 Pedro Abad;América;..
Ambos sexos;14050 Pedro Abad;Asia;25
Ambos sexos;14050 Pedro Abad;Europa;1
Ambos sexos;14050 Pedro Abad;Resto;..
Ambos sexos;14051 Pedroche;Africa;..
Ambos sexos;14051 Pedroche;América;..
Ambos sexos;14051 Pedroche;Asia;..
Ambos sexos;14051 Pedroche;Europa;..
Ambos sexos;14051 Pedroche;Resto;..
Ambos sexos;14052 Peñarroya-Pueblonuevo;Africa;4
Ambos sexos;14052 Peñarroya-Pueblonuevo;América;5
Ambos sexos;14052 Peñarroya-Pueblonuevo;Asia;22
Ambos sexos;14052 Peñarroya-Pueblonuevo;Europa;16
Ambos sexos;14052 Peñarroya-Pueblonuevo;Resto;..
Ambos sexos;14053 Posadas;Africa;1
Ambos sexos;14053 Posadas;América;1
Ambos sexos;14053 Posadas;Asia;..
Ambos sexos;14053 Posadas;Europa;8
Ambos sexos;14053 Posadas;Resto;..
Ambos sexos;14054 Pozoblanco;Africa;35
Ambos sexos;14054 Pozoblanco;América;9
Ambos sexos;14054 Pozoblanco;Asia;11
Ambos sexos;14054 Pozoblanco;Europa;16
Ambos sexos;14054 Pozoblanco;Resto;..
Ambos sexos;14055 Priego de Córdoba;Africa;22
Ambos sexos;14055 Priego de Córdoba;América;16
Ambos sexos;14055 Priego de Córdoba;Asia;8
Ambos sexos;14055 Priego de Córdoba;Europa;8
Ambos sexos;14055 Priego de Córdoba;Resto;..
Ambos sexos;14056 Puente Genil;Africa;29
Ambos sexos;14056 Puente Genil;América;13
Ambos sexos;14056 Puente Genil;Asia;5
Ambos sexos;14056 Puente Genil;Europa;17
Ambos sexos;14056 Puente Genil;Resto;..
Ambos sexos;14057 Rambla (La);Africa;4
Ambos sexos;14057 Rambla (La);América;2
Ambos sexos;14057 Rambla (La);Asia;..
Ambos sexos;14057 Rambla (La);Europa;4
Ambos sexos;14057 Rambla (La);Resto;..
Ambos sexos;14058 Rute;Africa;4
Ambos sexos;14058 Rute;América;4
Ambos sexos;14058 Rute;Asia;..
Ambos sexos;14058 Rute;Europa;5
Ambos sexos;14058 Rute;Resto;..
Ambos sexos;14059 San Sebastián de los Ballesteros;Africa;..
Ambos sexos;14059 San Sebastián de los Ballesteros;América;..
Ambos sexos;14059 San Sebastián de los Ballesteros;Asia;..
Ambos sexos;14059 San Sebastián de los Ballesteros;Europa;..
Ambos sexos;14059 San Sebastián de los Ballesteros;Resto;..
Ambos sexos;14060 Santaella;Africa;4
Ambos sexos;14060 Santaella;América;..
Ambos sexos;14060 Santaella;Asia;..
Ambos sexos;14060 Santaella;Europa;5
Ambos sexos;14060 Santaella;Resto;..
Ambos sexos;14061 Santa Eufemia;Africa;..
Ambos sexos;14061 Santa Eufemia;América;1
Ambos sexos;14061 Santa Eufemia;Asia;..
Ambos sexos;14061 Santa Eufemia;Europa;1
