Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;21020 Cañaveral de León;Nacidos en el Extranjero;0
Ambos sexos;21020 Cañaveral de León;Total Europa;0
Ambos sexos;21020 Cañaveral de León;Total Unión Europea (25);0
Ambos sexos;21020 Cañaveral de León;Alemania;0
Ambos sexos;21020 Cañaveral de León;Francia;0
Ambos sexos;21020 Cañaveral de León;Reino Unido;0
Ambos sexos;21020 Cañaveral de León;Resto de Europa;0
Ambos sexos;21020 Cañaveral de León;Rumanía;0
Ambos sexos;21020 Cañaveral de León;Total Africa;0
Ambos sexos;21020 Cañaveral de León;Marruecos;0
Ambos sexos;21020 Cañaveral de León;Total Am‚rica;0
Ambos sexos;21020 Cañaveral de León;Colombia;0
Ambos sexos;21020 Cañaveral de León;Ecuador;0
Ambos sexos;21020 Cañaveral de León;Argentina;0
Ambos sexos;21020 Cañaveral de León;Total Asia;0
Ambos sexos;21020 Cañaveral de León;Oceanía;0
Ambos sexos;21021 Cartaya;Total Población;14.767
Ambos sexos;21021 Cartaya;Nacidos en el Extranjero;1.433
Ambos sexos;21021 Cartaya;Total Europa;565
Ambos sexos;21021 Cartaya;Total Unión Europea (25);366
Ambos sexos;21021 Cartaya;Alemania;69
Ambos sexos;21021 Cartaya;Francia;23
Ambos sexos;21021 Cartaya;Reino Unido;15
Ambos sexos;21021 Cartaya;Resto de Europa;199
Ambos sexos;21021 Cartaya;Rumanía;61
Ambos sexos;21021 Cartaya;Total Africa;574
Ambos sexos;21021 Cartaya;Marruecos;441
Ambos sexos;21021 Cartaya;Total Am‚rica;280
Ambos sexos;21021 Cartaya;Colombia;30
Ambos sexos;21021 Cartaya;Ecuador;150
Ambos sexos;21021 Cartaya;Argentina;26
Ambos sexos;21021 Cartaya;Total Asia;11
Ambos sexos;21021 Cartaya;Oceanía;3
Ambos sexos;21022 Castaño del Robledo;Total Población;201
Ambos sexos;21022 Castaño del Robledo;Nacidos en el Extranjero;10
Ambos sexos;21022 Castaño del Robledo;Total Europa;9
Ambos sexos;21022 Castaño del Robledo;Total Unión Europea (25);8
Ambos sexos;21022 Castaño del Robledo;Alemania;0
Ambos sexos;21022 Castaño del Robledo;Francia;1
Ambos sexos;21022 Castaño del Robledo;Reino Unido;6
Ambos sexos;21022 Castaño del Robledo;Resto de Europa;1
Ambos sexos;21022 Castaño del Robledo;Rumanía;0
Ambos sexos;21022 Castaño del Robledo;Total Africa;0
Ambos sexos;21022 Castaño del Robledo;Marruecos;0
Ambos sexos;21022 Castaño del Robledo;Total Am‚rica;1
Ambos sexos;21022 Castaño del Robledo;Colombia;0
Ambos sexos;21022 Castaño del Robledo;Ecuador;0
Ambos sexos;21022 Castaño del Robledo;Argentina;1
Ambos sexos;21022 Castaño del Robledo;Total Asia;0
Ambos sexos;21022 Castaño del Robledo;Oceanía;0
Ambos sexos;21023 Cerro de And‚valo (El);Total Población;2.668
Ambos sexos;21023 Cerro de And‚valo (El);Nacidos en el Extranjero;18
Ambos sexos;21023 Cerro de And‚valo (El);Total Europa;11
Ambos sexos;21023 Cerro de And‚valo (El);Total Unión Europea (25);11
Ambos sexos;21023 Cerro de And‚valo (El);Alemania;3
Ambos sexos;21023 Cerro de And‚valo (El);Francia;3
Ambos sexos;21023 Cerro de And‚valo (El);Reino Unido;0
Ambos sexos;21023 Cerro de And‚valo (El);Resto de Europa;0
Ambos sexos;21023 Cerro de And‚valo (El);Rumanía;0
Ambos sexos;21023 Cerro de And‚valo (El);Total Africa;6
Ambos sexos;21023 Cerro de And‚valo (El);Marruecos;6
Ambos sexos;21023 Cerro de And‚valo (El);Total Am‚rica;0
Ambos sexos;21023 Cerro de And‚valo (El);Colombia;0
Ambos sexos;21023 Cerro de And‚valo (El);Ecuador;0
Ambos sexos;21023 Cerro de And‚valo (El);Argentina;0
Ambos sexos;21023 Cerro de And‚valo (El);Total Asia;1
Ambos sexos;21023 Cerro de And‚valo (El);Oceanía;0
Ambos sexos;21024 Corteconcepción;Total Población;633
Ambos sexos;21024 Corteconcepción;Nacidos en el Extranjero;13
Ambos sexos;21024 Corteconcepción;Total Europa;10
Ambos sexos;21024 Corteconcepción;Total Unión Europea (25);10
Ambos sexos;21024 Corteconcepción;Alemania;9
Ambos sexos;21024 Corteconcepción;Francia;0
Ambos sexos;21024 Corteconcepción;Reino Unido;0
Ambos sexos;21024 Corteconcepción;Resto de Europa;0
Ambos sexos;21024 Corteconcepción;Rumanía;0
Ambos sexos;21024 Corteconcepción;Total Africa;0
Ambos sexos;21024 Corteconcepción;Marruecos;0
Ambos sexos;21024 Corteconcepción;Total Am‚rica;2
Ambos sexos;21024 Corteconcepción;Colombia;1
Ambos sexos;21024 Corteconcepción;Ecuador;0
Ambos sexos;21024 Corteconcepción;Argentina;0
Ambos sexos;21024 Corteconcepción;Total Asia;1
Ambos sexos;21024 Corteconcepción;Oceanía;0
Ambos sexos;21025 Cortegana;Total Población;4.988
Ambos sexos;21025 Cortegana;Nacidos en el Extranjero;73
Ambos sexos;21025 Cortegana;Total Europa;53
Ambos sexos;21025 Cortegana;Total Unión Europea (25);46
Ambos sexos;21025 Cortegana;Alemania;8
Ambos sexos;21025 Cortegana;Francia;2
Ambos sexos;21025 Cortegana;Reino Unido;4
Ambos sexos;21025 Cortegana;Resto de Europa;7
Ambos sexos;21025 Cortegana;Rumanía;0
Ambos sexos;21025 Cortegana;Total Africa;7
Ambos sexos;21025 Cortegana;Marruecos;4
Ambos sexos;21025 Cortegana;Total Am‚rica;13
Ambos sexos;21025 Cortegana;Colombia;0
Ambos sexos;21025 Cortegana;Ecuador;4
Ambos sexos;21025 Cortegana;Argentina;0
Ambos sexos;21025 Cortegana;Total Asia;0
Ambos sexos;21025 Cortegana;Oceanía;0
Ambos sexos;21026 Cortelazor;Total Población;301
Ambos sexos;21026 Cortelazor;Nacidos en el Extranjero;0
Ambos sexos;21026 Cortelazor;Total Europa;0
Ambos sexos;21026 Cortelazor;Total Unión Europea (25);0
Ambos sexos;21026 Cortelazor;Alemania;0
Ambos sexos;21026 Cortelazor;Francia;0
Ambos sexos;21026 Cortelazor;Reino Unido;0
Ambos sexos;21026 Cortelazor;Resto de Europa;0
Ambos sexos;21026 Cortelazor;Rumanía;0
Ambos sexos;21026 Cortelazor;Total Africa;0
Ambos sexos;21026 Cortelazor;Marruecos;0
Ambos sexos;21026 Cortelazor;Total Am‚rica;0
Ambos sexos;21026 Cortelazor;Colombia;0
Ambos sexos;21026 Cortelazor;Ecuador;0
Ambos sexos;21026 Cortelazor;Argentina;0
Ambos sexos;21026 Cortelazor;Total Asia;0
Ambos sexos;21026 Cortelazor;Oceanía;0
Ambos sexos;21027 Cumbres de Enmedio;Total Población;48
Ambos sexos;21027 Cumbres de Enmedio;Nacidos en el Extranjero;0
Ambos sexos;21027 Cumbres de Enmedio;Total Europa;0
Ambos sexos;21027 Cumbres de Enmedio;Total Unión Europea (25);0
Ambos sexos;21027 Cumbres de Enmedio;Alemania;0
Ambos sexos;21027 Cumbres de Enmedio;Francia;0
Ambos sexos;21027 Cumbres de Enmedio;Reino Unido;0
Ambos sexos;21027 Cumbres de Enmedio;Resto de Europa;0
Ambos sexos;21027 Cumbres de Enmedio;Rumanía;0
Ambos sexos;21027 Cumbres de Enmedio;Total Africa;0
Ambos sexos;21027 Cumbres de Enmedio;Marruecos;0
Ambos sexos;21027 Cumbres de Enmedio;Total Am‚rica;0
Ambos sexos;21027 Cumbres de Enmedio;Colombia;0
Ambos sexos;21027 Cumbres de Enmedio;Ecuador;0
Ambos sexos;21027 Cumbres de Enmedio;Argentina;0
Ambos sexos;21027 Cumbres de Enmedio;Total Asia;0
Ambos sexos;21027 Cumbres de Enmedio;Oceanía;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Población;523
Ambos sexos;21028 Cumbres de San Bartolom‚;Nacidos en el Extranjero;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Europa;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Unión Europea (25);0
Ambos sexos;21028 Cumbres de San Bartolom‚;Alemania;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Francia;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Reino Unido;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Resto de Europa;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Rumanía;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Africa;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Marruecos;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Am‚rica;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Colombia;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Ecuador;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Argentina;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Total Asia;0
Ambos sexos;21028 Cumbres de San Bartolom‚;Oceanía;0
Ambos sexos;21029 Cumbres Mayores;Total Población;2.001
Ambos sexos;21029 Cumbres Mayores;Nacidos en el Extranjero;8
Ambos sexos;21029 Cumbres Mayores;Total Europa;7
Ambos sexos;21029 Cumbres Mayores;Total Unión Europea (25);7
Ambos sexos;21029 Cumbres Mayores;Alemania;5
Ambos sexos;21029 Cumbres Mayores;Francia;0
Ambos sexos;21029 Cumbres Mayores;Reino Unido;0
Ambos sexos;21029 Cumbres Mayores;Resto de Europa;0
Ambos sexos;21029 Cumbres Mayores;Rumanía;0
Ambos sexos;21029 Cumbres Mayores;Total Africa;0
Ambos sexos;21029 Cumbres Mayores;Marruecos;0
Ambos sexos;21029 Cumbres Mayores;Total Am‚rica;1
Ambos sexos;21029 Cumbres Mayores;Colombia;0
Ambos sexos;21029 Cumbres Mayores;Ecuador;0
Ambos sexos;21029 Cumbres Mayores;Argentina;0
Ambos sexos;21029 Cumbres Mayores;Total Asia;0
Ambos sexos;21029 Cumbres Mayores;Oceanía;0
Ambos sexos;21030 Chucena;Total Población;1.996
Ambos sexos;21030 Chucena;Nacidos en el Extranjero;4
Ambos sexos;21030 Chucena;Total Europa;3
Ambos sexos;21030 Chucena;Total Unión Europea (25);3
Ambos sexos;21030 Chucena;Alemania;0
Ambos sexos;21030 Chucena;Francia;0
Ambos sexos;21030 Chucena;Reino Unido;0
Ambos sexos;21030 Chucena;Resto de Europa;0
Ambos sexos;21030 Chucena;Rumanía;0
Ambos sexos;21030 Chucena;Total Africa;0
Ambos sexos;21030 Chucena;Marruecos;0
Ambos sexos;21030 Chucena;Total Am‚rica;1
Ambos sexos;21030 Chucena;Colombia;0
Ambos sexos;21030 Chucena;Ecuador;0
Ambos sexos;21030 Chucena;Argentina;0
Ambos sexos;21030 Chucena;Total Asia;0
