Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;41056 Luisiana (La);América;..
Ambos sexos;41056 Luisiana (La);Asia;..
Ambos sexos;41056 Luisiana (La);Europa;4
Ambos sexos;41056 Luisiana (La);Resto;..
Ambos sexos;41057 Madroño (El);Africa;1
Ambos sexos;41057 Madroño (El);América;..
Ambos sexos;41057 Madroño (El);Asia;..
Ambos sexos;41057 Madroño (El);Europa;2
Ambos sexos;41057 Madroño (El);Resto;..
Ambos sexos;41058 Mairena del Alcor;Africa;42
Ambos sexos;41058 Mairena del Alcor;América;28
Ambos sexos;41058 Mairena del Alcor;Asia;3
Ambos sexos;41058 Mairena del Alcor;Europa;26
Ambos sexos;41058 Mairena del Alcor;Resto;..
Ambos sexos;41059 Mairena del Aljarafe;Africa;15
Ambos sexos;41059 Mairena del Aljarafe;América;113
Ambos sexos;41059 Mairena del Aljarafe;Asia;6
Ambos sexos;41059 Mairena del Aljarafe;Europa;153
Ambos sexos;41059 Mairena del Aljarafe;Resto;2
Ambos sexos;41060 Marchena;Africa;55
Ambos sexos;41060 Marchena;América;11
Ambos sexos;41060 Marchena;Asia;8
Ambos sexos;41060 Marchena;Europa;17
Ambos sexos;41060 Marchena;Resto;..
Ambos sexos;41061 Marinaleda;Africa;1
Ambos sexos;41061 Marinaleda;América;..
Ambos sexos;41061 Marinaleda;Asia;..
Ambos sexos;41061 Marinaleda;Europa;..
Ambos sexos;41061 Marinaleda;Resto;..
Ambos sexos;41062 Martín de la Jara;Africa;..
Ambos sexos;41062 Martín de la Jara;América;..
Ambos sexos;41062 Martín de la Jara;Asia;..
Ambos sexos;41062 Martín de la Jara;Europa;3
Ambos sexos;41062 Martín de la Jara;Resto;..
Ambos sexos;41063 Molares (Los);Africa;1
Ambos sexos;41063 Molares (Los);América;..
Ambos sexos;41063 Molares (Los);Asia;..
Ambos sexos;41063 Molares (Los);Europa;1
Ambos sexos;41063 Molares (Los);Resto;..
Ambos sexos;41064 Montellano;Africa;..
Ambos sexos;41064 Montellano;América;1
Ambos sexos;41064 Montellano;Asia;..
Ambos sexos;41064 Montellano;Europa;..
Ambos sexos;41064 Montellano;Resto;..
Ambos sexos;41065 Morón de la Frontera;Africa;13
Ambos sexos;41065 Morón de la Frontera;América;39
Ambos sexos;41065 Morón de la Frontera;Asia;6
Ambos sexos;41065 Morón de la Frontera;Europa;13
Ambos sexos;41065 Morón de la Frontera;Resto;1
Ambos sexos;41066 Navas de la Concepción (Las);Africa;..
Ambos sexos;41066 Navas de la Concepción (Las);América;..
Ambos sexos;41066 Navas de la Concepción (Las);Asia;..
Ambos sexos;41066 Navas de la Concepción (Las);Europa;1
Ambos sexos;41066 Navas de la Concepción (Las);Resto;..
Ambos sexos;41067 Olivares;Africa;9
Ambos sexos;41067 Olivares;América;6
Ambos sexos;41067 Olivares;Asia;2
Ambos sexos;41067 Olivares;Europa;7
Ambos sexos;41067 Olivares;Resto;1
Ambos sexos;41068 Osuna;Africa;8
Ambos sexos;41068 Osuna;América;..
Ambos sexos;41068 Osuna;Asia;1
Ambos sexos;41068 Osuna;Europa;5
Ambos sexos;41068 Osuna;Resto;..
Ambos sexos;41069 Palacios y Villafranca (Los);Africa;37
Ambos sexos;41069 Palacios y Villafranca (Los);América;24
Ambos sexos;41069 Palacios y Villafranca (Los);Asia;1
Ambos sexos;41069 Palacios y Villafranca (Los);Europa;78
Ambos sexos;41069 Palacios y Villafranca (Los);Resto;4
Ambos sexos;41070 Palomares del Río;Africa;2
Ambos sexos;41070 Palomares del Río;América;13
Ambos sexos;41070 Palomares del Río;Asia;1
Ambos sexos;41070 Palomares del Río;Europa;21
Ambos sexos;41070 Palomares del Río;Resto;..
Ambos sexos;41071 Paradas;Africa;2
Ambos sexos;41071 Paradas;América;8
Ambos sexos;41071 Paradas;Asia;..
Ambos sexos;41071 Paradas;Europa;6
Ambos sexos;41071 Paradas;Resto;..
Ambos sexos;41072 Pedrera;Africa;3
Ambos sexos;41072 Pedrera;América;..
Ambos sexos;41072 Pedrera;Asia;..
Ambos sexos;41072 Pedrera;Europa;2
Ambos sexos;41072 Pedrera;Resto;1
Ambos sexos;41073 Pedroso (El);Africa;6
Ambos sexos;41073 Pedroso (El);América;4
Ambos sexos;41073 Pedroso (El);Asia;..
Ambos sexos;41073 Pedroso (El);Europa;2
Ambos sexos;41073 Pedroso (El);Resto;..
Ambos sexos;41074 Peñaflor;Africa;1
Ambos sexos;41074 Peñaflor;América;1
Ambos sexos;41074 Peñaflor;Asia;..
Ambos sexos;41074 Peñaflor;Europa;..
Ambos sexos;41074 Peñaflor;Resto;..
Ambos sexos;41075 Pilas;Africa;15
Ambos sexos;41075 Pilas;América;1
Ambos sexos;41075 Pilas;Asia;..
Ambos sexos;41075 Pilas;Europa;9
Ambos sexos;41075 Pilas;Resto;..
Ambos sexos;41076 Pruna;Africa;1
Ambos sexos;41076 Pruna;América;..
Ambos sexos;41076 Pruna;Asia;..
Ambos sexos;41076 Pruna;Europa;..
Ambos sexos;41076 Pruna;Resto;..
Ambos sexos;41077 Puebla de Cazalla (La);Africa;26
Ambos sexos;41077 Puebla de Cazalla (La);América;7
Ambos sexos;41077 Puebla de Cazalla (La);Asia;..
Ambos sexos;41077 Puebla de Cazalla (La);Europa;4
Ambos sexos;41077 Puebla de Cazalla (La);Resto;..
Ambos sexos;41078 Puebla de los Infantes (La);Africa;1
Ambos sexos;41078 Puebla de los Infantes (La);América;..
Ambos sexos;41078 Puebla de los Infantes (La);Asia;..
Ambos sexos;41078 Puebla de los Infantes (La);Europa;5
Ambos sexos;41078 Puebla de los Infantes (La);Resto;..
Ambos sexos;41079 Puebla del Río (La);Africa;15
Ambos sexos;41079 Puebla del Río (La);América;12
Ambos sexos;41079 Puebla del Río (La);Asia;2
Ambos sexos;41079 Puebla del Río (La);Europa;13
Ambos sexos;41079 Puebla del Río (La);Resto;..
Ambos sexos;41080 Real de la Jara (El);Africa;..
Ambos sexos;41080 Real de la Jara (El);América;..
