Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;23009 Baeza;Total Asia;9
Ambos sexos;23009 Baeza;China;5
Ambos sexos;23009 Baeza;Oceanía;0
Ambos sexos;23010 Bail‚n;Total Población;18.202
Ambos sexos;23010 Bail‚n;Nacidos en el Extranjero;293
Ambos sexos;23010 Bail‚n;Total Europa;96
Ambos sexos;23010 Bail‚n;Total Unión Europea (25);30
Ambos sexos;23010 Bail‚n;Alemania;5
Ambos sexos;23010 Bail‚n;Francia;6
Ambos sexos;23010 Bail‚n;Italia;3
Ambos sexos;23010 Bail‚n;Reino Unido;6
Ambos sexos;23010 Bail‚n;Resto de Europa;66
Ambos sexos;23010 Bail‚n;Bulgaria;0
Ambos sexos;23010 Bail‚n;Rumanía;39
Ambos sexos;23010 Bail‚n;Total Africa;97
Ambos sexos;23010 Bail‚n;Marruecos;73
Ambos sexos;23010 Bail‚n;Total Am‚rica;65
Ambos sexos;23010 Bail‚n;Argentina;6
Ambos sexos;23010 Bail‚n;Bolivia;4
Ambos sexos;23010 Bail‚n;Colombia;21
Ambos sexos;23010 Bail‚n;Ecuador;18
Ambos sexos;23010 Bail‚n;Perú;2
Ambos sexos;23010 Bail‚n;Total Asia;35
Ambos sexos;23010 Bail‚n;China;7
Ambos sexos;23010 Bail‚n;Oceanía;0
Ambos sexos;23011 Baños de la Encina;Total Población;2.738
Ambos sexos;23011 Baños de la Encina;Nacidos en el Extranjero;24
Ambos sexos;23011 Baños de la Encina;Total Europa;3
Ambos sexos;23011 Baños de la Encina;Total Unión Europea (25);2
Ambos sexos;23011 Baños de la Encina;Alemania;0
Ambos sexos;23011 Baños de la Encina;Francia;1
Ambos sexos;23011 Baños de la Encina;Italia;0
Ambos sexos;23011 Baños de la Encina;Reino Unido;1
Ambos sexos;23011 Baños de la Encina;Resto de Europa;1
Ambos sexos;23011 Baños de la Encina;Bulgaria;0
Ambos sexos;23011 Baños de la Encina;Rumanía;0
Ambos sexos;23011 Baños de la Encina;Total Africa;8
Ambos sexos;23011 Baños de la Encina;Marruecos;8
Ambos sexos;23011 Baños de la Encina;Total Am‚rica;11
Ambos sexos;23011 Baños de la Encina;Argentina;5
Ambos sexos;23011 Baños de la Encina;Bolivia;0
Ambos sexos;23011 Baños de la Encina;Colombia;4
Ambos sexos;23011 Baños de la Encina;Ecuador;0
Ambos sexos;23011 Baños de la Encina;Perú;0
Ambos sexos;23011 Baños de la Encina;Total Asia;2
Ambos sexos;23011 Baños de la Encina;China;0
Ambos sexos;23011 Baños de la Encina;Oceanía;0
Ambos sexos;23012 Beas de Segura;Total Población;5.456
Ambos sexos;23012 Beas de Segura;Nacidos en el Extranjero;190
Ambos sexos;23012 Beas de Segura;Total Europa;38
Ambos sexos;23012 Beas de Segura;Total Unión Europea (25);21
Ambos sexos;23012 Beas de Segura;Alemania;4
Ambos sexos;23012 Beas de Segura;Francia;7
Ambos sexos;23012 Beas de Segura;Italia;0
Ambos sexos;23012 Beas de Segura;Reino Unido;5
Ambos sexos;23012 Beas de Segura;Resto de Europa;17
Ambos sexos;23012 Beas de Segura;Bulgaria;0
Ambos sexos;23012 Beas de Segura;Rumanía;15
Ambos sexos;23012 Beas de Segura;Total Africa;129
Ambos sexos;23012 Beas de Segura;Marruecos;124
Ambos sexos;23012 Beas de Segura;Total Am‚rica;23
Ambos sexos;23012 Beas de Segura;Argentina;0
Ambos sexos;23012 Beas de Segura;Bolivia;1
Ambos sexos;23012 Beas de Segura;Colombia;15
Ambos sexos;23012 Beas de Segura;Ecuador;0
Ambos sexos;23012 Beas de Segura;Perú;1
Ambos sexos;23012 Beas de Segura;Total Asia;0
Ambos sexos;23012 Beas de Segura;China;0
Ambos sexos;23012 Beas de Segura;Oceanía;0
Ambos sexos;23014 Begíjar;Total Población;3.109
Ambos sexos;23014 Begíjar;Nacidos en el Extranjero;24
Ambos sexos;23014 Begíjar;Total Europa;12
Ambos sexos;23014 Begíjar;Total Unión Europea (25);6
Ambos sexos;23014 Begíjar;Alemania;1
Ambos sexos;23014 Begíjar;Francia;3
Ambos sexos;23014 Begíjar;Italia;0
Ambos sexos;23014 Begíjar;Reino Unido;1
Ambos sexos;23014 Begíjar;Resto de Europa;6
Ambos sexos;23014 Begíjar;Bulgaria;0
Ambos sexos;23014 Begíjar;Rumanía;3
Ambos sexos;23014 Begíjar;Total Africa;1
Ambos sexos;23014 Begíjar;Marruecos;0
Ambos sexos;23014 Begíjar;Total Am‚rica;11
Ambos sexos;23014 Begíjar;Argentina;0
Ambos sexos;23014 Begíjar;Bolivia;0
Ambos sexos;23014 Begíjar;Colombia;2
Ambos sexos;23014 Begíjar;Ecuador;7
Ambos sexos;23014 Begíjar;Perú;0
Ambos sexos;23014 Begíjar;Total Asia;0
Ambos sexos;23014 Begíjar;China;0
Ambos sexos;23014 Begíjar;Oceanía;0
Ambos sexos;23015 B‚lmez de la Moraleda;Total Población;1.937
Ambos sexos;23015 B‚lmez de la Moraleda;Nacidos en el Extranjero;75
Ambos sexos;23015 B‚lmez de la Moraleda;Total Europa;24
Ambos sexos;23015 B‚lmez de la Moraleda;Total Unión Europea (25);4
Ambos sexos;23015 B‚lmez de la Moraleda;Alemania;0
Ambos sexos;23015 B‚lmez de la Moraleda;Francia;2
Ambos sexos;23015 B‚lmez de la Moraleda;Italia;0
Ambos sexos;23015 B‚lmez de la Moraleda;Reino Unido;0
Ambos sexos;23015 B‚lmez de la Moraleda;Resto de Europa;20
Ambos sexos;23015 B‚lmez de la Moraleda;Bulgaria;0
Ambos sexos;23015 B‚lmez de la Moraleda;Rumanía;18
Ambos sexos;23015 B‚lmez de la Moraleda;Total Africa;35
Ambos sexos;23015 B‚lmez de la Moraleda;Marruecos;30
Ambos sexos;23015 B‚lmez de la Moraleda;Total Am‚rica;15
Ambos sexos;23015 B‚lmez de la Moraleda;Argentina;0
Ambos sexos;23015 B‚lmez de la Moraleda;Bolivia;13
Ambos sexos;23015 B‚lmez de la Moraleda;Colombia;0
Ambos sexos;23015 B‚lmez de la Moraleda;Ecuador;0
Ambos sexos;23015 B‚lmez de la Moraleda;Perú;1
Ambos sexos;23015 B‚lmez de la Moraleda;Total Asia;1
Ambos sexos;23015 B‚lmez de la Moraleda;China;0
Ambos sexos;23015 B‚lmez de la Moraleda;Oceanía;0
Ambos sexos;23016 Benatae;Total Población;596
Ambos sexos;23016 Benatae;Nacidos en el Extranjero;37
Ambos sexos;23016 Benatae;Total Europa;10
Ambos sexos;23016 Benatae;Total Unión Europea (25);10
Ambos sexos;23016 Benatae;Alemania;0
Ambos sexos;23016 Benatae;Francia;7
Ambos sexos;23016 Benatae;Italia;0
Ambos sexos;23016 Benatae;Reino Unido;0
Ambos sexos;23016 Benatae;Resto de Europa;0
Ambos sexos;23016 Benatae;Bulgaria;0
Ambos sexos;23016 Benatae;Rumanía;0
Ambos sexos;23016 Benatae;Total Africa;18
Ambos sexos;23016 Benatae;Marruecos;12
Ambos sexos;23016 Benatae;Total Am‚rica;9
Ambos sexos;23016 Benatae;Argentina;0
Ambos sexos;23016 Benatae;Bolivia;0
Ambos sexos;23016 Benatae;Colombia;0
Ambos sexos;23016 Benatae;Ecuador;6
Ambos sexos;23016 Benatae;Perú;1
Ambos sexos;23016 Benatae;Total Asia;0
Ambos sexos;23016 Benatae;China;0
Ambos sexos;23016 Benatae;Oceanía;0
Ambos sexos;23017 Cabra del Santo Cristo;Total Población;2.246
Ambos sexos;23017 Cabra del Santo Cristo;Nacidos en el Extranjero;74
Ambos sexos;23017 Cabra del Santo Cristo;Total Europa;69
Ambos sexos;23017 Cabra del Santo Cristo;Total Unión Europea (25);3
Ambos sexos;23017 Cabra del Santo Cristo;Alemania;2
Ambos sexos;23017 Cabra del Santo Cristo;Francia;0
Ambos sexos;23017 Cabra del Santo Cristo;Italia;0
Ambos sexos;23017 Cabra del Santo Cristo;Reino Unido;0
Ambos sexos;23017 Cabra del Santo Cristo;Resto de Europa;66
Ambos sexos;23017 Cabra del Santo Cristo;Bulgaria;0
Ambos sexos;23017 Cabra del Santo Cristo;Rumanía;65
Ambos sexos;23017 Cabra del Santo Cristo;Total Africa;3
Ambos sexos;23017 Cabra del Santo Cristo;Marruecos;3
Ambos sexos;23017 Cabra del Santo Cristo;Total Am‚rica;2
Ambos sexos;23017 Cabra del Santo Cristo;Argentina;0
Ambos sexos;23017 Cabra del Santo Cristo;Bolivia;0
Ambos sexos;23017 Cabra del Santo Cristo;Colombia;0
Ambos sexos;23017 Cabra del Santo Cristo;Ecuador;2
Ambos sexos;23017 Cabra del Santo Cristo;Perú;0
Ambos sexos;23017 Cabra del Santo Cristo;Total Asia;0
Ambos sexos;23017 Cabra del Santo Cristo;China;0
Ambos sexos;23017 Cabra del Santo Cristo;Oceanía;0
Ambos sexos;23018 Cambil;Total Población;3.024
Ambos sexos;23018 Cambil;Nacidos en el Extranjero;27
Ambos sexos;23018 Cambil;Total Europa;9
Ambos sexos;23018 Cambil;Total Unión Europea (25);2
Ambos sexos;23018 Cambil;Alemania;2
Ambos sexos;23018 Cambil;Francia;0
Ambos sexos;23018 Cambil;Italia;0
Ambos sexos;23018 Cambil;Reino Unido;0
Ambos sexos;23018 Cambil;Resto de Europa;7
Ambos sexos;23018 Cambil;Bulgaria;0
Ambos sexos;23018 Cambil;Rumanía;4
Ambos sexos;23018 Cambil;Total Africa;13
Ambos sexos;23018 Cambil;Marruecos;6
Ambos sexos;23018 Cambil;Total Am‚rica;5
Ambos sexos;23018 Cambil;Argentina;0
Ambos sexos;23018 Cambil;Bolivia;0
Ambos sexos;23018 Cambil;Colombia;3
Ambos sexos;23018 Cambil;Ecuador;0
Ambos sexos;23018 Cambil;Perú;0
Ambos sexos;23018 Cambil;Total Asia;0
Ambos sexos;23018 Cambil;China;0
Ambos sexos;23018 Cambil;Oceanía;0
Ambos sexos;23019 Campillo de Arenas;Total Población;2.026
Ambos sexos;23019 Campillo de Arenas;Nacidos en el Extranjero;56
Ambos sexos;23019 Campillo de Arenas;Total Europa;11
Ambos sexos;23019 Campillo de Arenas;Total Unión Europea (25);8
Ambos sexos;23019 Campillo de Arenas;Alemania;0
Ambos sexos;23019 Campillo de Arenas;Francia;7
Ambos sexos;23019 Campillo de Arenas;Italia;0
Ambos sexos;23019 Campillo de Arenas;Reino Unido;0
Ambos sexos;23019 Campillo de Arenas;Resto de Europa;3
Ambos sexos;23019 Campillo de Arenas;Bulgaria;0
Ambos sexos;23019 Campillo de Arenas;Rumanía;3
Ambos sexos;23019 Campillo de Arenas;Total Africa;1
Ambos sexos;23019 Campillo de Arenas;Marruecos;1
Ambos sexos;23019 Campillo de Arenas;Total Am‚rica;44
Ambos sexos;23019 Campillo de Arenas;Argentina;7
Ambos sexos;23019 Campillo de Arenas;Bolivia;18
Ambos sexos;23019 Campillo de Arenas;Colombia;1
Ambos sexos;23019 Campillo de Arenas;Ecuador;17
Ambos sexos;23019 Campillo de Arenas;Perú;1
Ambos sexos;23019 Campillo de Arenas;Total Asia;0
Ambos sexos;23019 Campillo de Arenas;China;0
Ambos sexos;23019 Campillo de Arenas;Oceanía;0
Ambos sexos;23020 Canena;Total Población;2.092
Ambos sexos;23020 Canena;Nacidos en el Extranjero;27
Ambos sexos;23020 Canena;Total Europa;11
Ambos sexos;23020 Canena;Total Unión Europea (25);7
Ambos sexos;23020 Canena;Alemania;2
Ambos sexos;23020 Canena;Francia;3
Ambos sexos;23020 Canena;Italia;0
Ambos sexos;23020 Canena;Reino Unido;0
Ambos sexos;23020 Canena;Resto de Europa;4
Ambos sexos;23020 Canena;Bulgaria;0
Ambos sexos;23020 Canena;Rumanía;0
Ambos sexos;23020 Canena;Total Africa;16
Ambos sexos;23020 Canena;Marruecos;12
Ambos sexos;23020 Canena;Total Am‚rica;0
Ambos sexos;23020 Canena;Argentina;0
Ambos sexos;23020 Canena;Bolivia;0
Ambos sexos;23020 Canena;Colombia;0
Ambos sexos;23020 Canena;Ecuador;0
Ambos sexos;23020 Canena;Perú;0
Ambos sexos;23020 Canena;Total Asia;0
Ambos sexos;23020 Canena;China;0
Ambos sexos;23020 Canena;Oceanía;0
Ambos sexos;23021 Carboneros;Total Población;680
Ambos sexos;23021 Carboneros;Nacidos en el Extranjero;9
Ambos sexos;23021 Carboneros;Total Europa;3
Ambos sexos;23021 Carboneros;Total Unión Europea (25);1
Ambos sexos;23021 Carboneros;Alemania;1
Ambos sexos;23021 Carboneros;Francia;0
Ambos sexos;23021 Carboneros;Italia;0
Ambos sexos;23021 Carboneros;Reino Unido;0
Ambos sexos;23021 Carboneros;Resto de Europa;2
Ambos sexos;23021 Carboneros;Bulgaria;1
Ambos sexos;23021 Carboneros;Rumanía;0
Ambos sexos;23021 Carboneros;Total Africa;0
Ambos sexos;23021 Carboneros;Marruecos;0
Ambos sexos;23021 Carboneros;Total Am‚rica;6
Ambos sexos;23021 Carboneros;Argentina;0
Ambos sexos;23021 Carboneros;Bolivia;0
Ambos sexos;23021 Carboneros;Colombia;0
Ambos sexos;23021 Carboneros;Ecuador;6
Ambos sexos;23021 Carboneros;Perú;0
Ambos sexos;23021 Carboneros;Total Asia;0
Ambos sexos;23021 Carboneros;China;0
Ambos sexos;23021 Carboneros;Oceanía;0
Ambos sexos;23024 Carolina (La);Total Población;15.545
Ambos sexos;23024 Carolina (La);Nacidos en el Extranjero;321
Ambos sexos;23024 Carolina (La);Total Europa;110
Ambos sexos;23024 Carolina (La);Total Unión Europea (25);78
Ambos sexos;23024 Carolina (La);Alemania;26
Ambos sexos;23024 Carolina (La);Francia;26
Ambos sexos;23024 Carolina (La);Italia;2
