Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;41029 Castilleja de la Cuesta;Total Unión Europea;44
Ambos sexos;41029 Castilleja de la Cuesta;Reino Unido;8
Ambos sexos;41029 Castilleja de la Cuesta;Alemania;6
Ambos sexos;41029 Castilleja de la Cuesta;Total Africa;33
Ambos sexos;41029 Castilleja de la Cuesta;Marruecos;31
Ambos sexos;41029 Castilleja de la Cuesta;Total América;59
Ambos sexos;41029 Castilleja de la Cuesta;Colombia;14
Ambos sexos;41029 Castilleja de la Cuesta;Ecuador;4
Ambos sexos;41029 Castilleja de la Cuesta;Total Asia;19
Ambos sexos;41029 Castilleja de la Cuesta;Resto;0
Ambos sexos;41030 Castilleja del Campo;Total Unión Europea;0
Ambos sexos;41030 Castilleja del Campo;Reino Unido;0
Ambos sexos;41030 Castilleja del Campo;Alemania;0
Ambos sexos;41030 Castilleja del Campo;Total Africa;1
Ambos sexos;41030 Castilleja del Campo;Marruecos;1
Ambos sexos;41030 Castilleja del Campo;Total América;5
Ambos sexos;41030 Castilleja del Campo;Colombia;0
Ambos sexos;41030 Castilleja del Campo;Ecuador;5
Ambos sexos;41030 Castilleja del Campo;Total Asia;0
Ambos sexos;41030 Castilleja del Campo;Resto;0
Ambos sexos;41031 Castillo de las Guardas (El);Total Unión Europea;3
Ambos sexos;41031 Castillo de las Guardas (El);Reino Unido;0
Ambos sexos;41031 Castillo de las Guardas (El);Alemania;1
Ambos sexos;41031 Castillo de las Guardas (El);Total Africa;5
Ambos sexos;41031 Castillo de las Guardas (El);Marruecos;2
Ambos sexos;41031 Castillo de las Guardas (El);Total América;6
Ambos sexos;41031 Castillo de las Guardas (El);Colombia;0
Ambos sexos;41031 Castillo de las Guardas (El);Ecuador;2
Ambos sexos;41031 Castillo de las Guardas (El);Total Asia;0
Ambos sexos;41031 Castillo de las Guardas (El);Resto;0
Ambos sexos;41032 Cazalla de la Sierra;Total Unión Europea;24
Ambos sexos;41032 Cazalla de la Sierra;Reino Unido;9
Ambos sexos;41032 Cazalla de la Sierra;Alemania;1
Ambos sexos;41032 Cazalla de la Sierra;Total Africa;5
Ambos sexos;41032 Cazalla de la Sierra;Marruecos;5
Ambos sexos;41032 Cazalla de la Sierra;Total América;3
Ambos sexos;41032 Cazalla de la Sierra;Colombia;0
Ambos sexos;41032 Cazalla de la Sierra;Ecuador;0
Ambos sexos;41032 Cazalla de la Sierra;Total Asia;1
Ambos sexos;41032 Cazalla de la Sierra;Resto;0
Ambos sexos;41033 Constantina;Total Unión Europea;1
Ambos sexos;41033 Constantina;Reino Unido;0
Ambos sexos;41033 Constantina;Alemania;1
Ambos sexos;41033 Constantina;Total Africa;10
Ambos sexos;41033 Constantina;Marruecos;8
Ambos sexos;41033 Constantina;Total América;5
Ambos sexos;41033 Constantina;Colombia;0
Ambos sexos;41033 Constantina;Ecuador;0
Ambos sexos;41033 Constantina;Total Asia;5
Ambos sexos;41033 Constantina;Resto;1
Ambos sexos;41034 Coria del Río;Total Unión Europea;38
Ambos sexos;41034 Coria del Río;Reino Unido;2
Ambos sexos;41034 Coria del Río;Alemania;9
Ambos sexos;41034 Coria del Río;Total Africa;67
Ambos sexos;41034 Coria del Río;Marruecos;44
Ambos sexos;41034 Coria del Río;Total América;47
Ambos sexos;41034 Coria del Río;Colombia;18
Ambos sexos;41034 Coria del Río;Ecuador;12
Ambos sexos;41034 Coria del Río;Total Asia;1
Ambos sexos;41034 Coria del Río;Resto;0
Ambos sexos;41035 Coripe;Total Unión Europea;2
Ambos sexos;41035 Coripe;Reino Unido;0
Ambos sexos;41035 Coripe;Alemania;2
Ambos sexos;41035 Coripe;Total Africa;0
Ambos sexos;41035 Coripe;Marruecos;0
Ambos sexos;41035 Coripe;Total América;2
