Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;29016 Árchez;Reino Unido;21
Ambos sexos;29016 Árchez;Alemania;8
Ambos sexos;29016 Árchez;Total Africa;2
Ambos sexos;29016 Árchez;Marruecos;2
Ambos sexos;29016 Árchez;Total América;2
Ambos sexos;29016 Árchez;Colombia;2
Ambos sexos;29016 Árchez;Ecuador;0
Ambos sexos;29016 Árchez;Total Asia;0
Ambos sexos;29016 Árchez;Resto;0
Ambos sexos;29017 Archidona;Total Unión Europea;15
Ambos sexos;29017 Archidona;Reino Unido;2
Ambos sexos;29017 Archidona;Alemania;4
Ambos sexos;29017 Archidona;Total Africa;14
Ambos sexos;29017 Archidona;Marruecos;10
Ambos sexos;29017 Archidona;Total América;5
Ambos sexos;29017 Archidona;Colombia;0
Ambos sexos;29017 Archidona;Ecuador;0
Ambos sexos;29017 Archidona;Total Asia;1
Ambos sexos;29017 Archidona;Resto;0
Ambos sexos;29018 Ardales;Total Unión Europea;5
Ambos sexos;29018 Ardales;Reino Unido;0
Ambos sexos;29018 Ardales;Alemania;1
Ambos sexos;29018 Ardales;Total Africa;1
Ambos sexos;29018 Ardales;Marruecos;1
Ambos sexos;29018 Ardales;Total América;2
Ambos sexos;29018 Ardales;Colombia;0
Ambos sexos;29018 Ardales;Ecuador;1
Ambos sexos;29018 Ardales;Total Asia;0
Ambos sexos;29018 Ardales;Resto;0
Ambos sexos;29019 Arenas;Total Unión Europea;9
Ambos sexos;29019 Arenas;Reino Unido;5
Ambos sexos;29019 Arenas;Alemania;2
Ambos sexos;29019 Arenas;Total Africa;5
Ambos sexos;29019 Arenas;Marruecos;5
Ambos sexos;29019 Arenas;Total América;0
Ambos sexos;29019 Arenas;Colombia;0
Ambos sexos;29019 Arenas;Ecuador;0
Ambos sexos;29019 Arenas;Total Asia;0
Ambos sexos;29019 Arenas;Resto;0
Ambos sexos;29020 Arriate;Total Unión Europea;14
Ambos sexos;29020 Arriate;Reino Unido;1
Ambos sexos;29020 Arriate;Alemania;3
Ambos sexos;29020 Arriate;Total Africa;12
Ambos sexos;29020 Arriate;Marruecos;12
Ambos sexos;29020 Arriate;Total América;3
Ambos sexos;29020 Arriate;Colombia;0
Ambos sexos;29020 Arriate;Ecuador;0
Ambos sexos;29020 Arriate;Total Asia;0
Ambos sexos;29020 Arriate;Resto;0
Ambos sexos;29021 Atajate;Total Unión Europea;3
Ambos sexos;29021 Atajate;Reino Unido;3
Ambos sexos;29021 Atajate;Alemania;0
Ambos sexos;29021 Atajate;Total Africa;0
Ambos sexos;29021 Atajate;Marruecos;0
Ambos sexos;29021 Atajate;Total América;0
Ambos sexos;29021 Atajate;Colombia;0
Ambos sexos;29021 Atajate;Ecuador;0
Ambos sexos;29021 Atajate;Total Asia;1
Ambos sexos;29021 Atajate;Resto;0
Ambos sexos;29022 Benadalid;Total Unión Europea;4
Ambos sexos;29022 Benadalid;Reino Unido;1
Ambos sexos;29022 Benadalid;Alemania;2
Ambos sexos;29022 Benadalid;Total Africa;0
Ambos sexos;29022 Benadalid;Marruecos;0
Ambos sexos;29022 Benadalid;Total América;0
Ambos sexos;29022 Benadalid;Colombia;0
Ambos sexos;29022 Benadalid;Ecuador;0
Ambos sexos;29022 Benadalid;Total Asia;0
Ambos sexos;29022 Benadalid;Resto;0
Ambos sexos;29023 Benahavís;Total Unión Europea;801
Ambos sexos;29023 Benahavís;Reino Unido;448
Ambos sexos;29023 Benahavís;Alemania;81
Ambos sexos;29023 Benahavís;Total Africa;43
Ambos sexos;29023 Benahavís;Marruecos;31
Ambos sexos;29023 Benahavís;Total América;62
Ambos sexos;29023 Benahavís;Colombia;3
Ambos sexos;29023 Benahavís;Ecuador;4
Ambos sexos;29023 Benahavís;Total Asia;27
Ambos sexos;29023 Benahavís;Resto;6
Ambos sexos;29024 Benalauría;Total Unión Europea;0
Ambos sexos;29024 Benalauría;Reino Unido;0
Ambos sexos;29024 Benalauría;Alemania;0
