Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;068  Manilva;Africa;30
Ambos sexos;068  Manilva;América;16
Ambos sexos;068  Manilva;Asia;38
Ambos sexos;068  Manilva;Europa;584
Ambos sexos;068  Manilva;Resto;..
Ambos sexos;069  Marbella;Africa;2.267
Ambos sexos;069  Marbella;América;1.165
Ambos sexos;069  Marbella;Asia;1.314
Ambos sexos;069  Marbella;Europa;7.599
Ambos sexos;069  Marbella;Resto;39
Ambos sexos;070  Mijas;Africa;332
Ambos sexos;070  Mijas;América;589
Ambos sexos;070  Mijas;Asia;320
Ambos sexos;070  Mijas;Europa;12.091
Ambos sexos;070  Mijas;Resto;39
Ambos sexos;071  Moclinejo;Africa;1
Ambos sexos;071  Moclinejo;América;..
Ambos sexos;071  Moclinejo;Asia;..
Ambos sexos;071  Moclinejo;Europa;7
Ambos sexos;071  Moclinejo;Resto;..
Ambos sexos;072  Mollina;Africa;6
Ambos sexos;072  Mollina;América;2
Ambos sexos;072  Mollina;Asia;..
Ambos sexos;072  Mollina;Europa;2
Ambos sexos;072  Mollina;Resto;..
Ambos sexos;073  Monda;Africa;4
Ambos sexos;073  Monda;América;2
Ambos sexos;073  Monda;Asia;..
Ambos sexos;073  Monda;Europa;21
Ambos sexos;073  Monda;Resto;..
Ambos sexos;074  Montejaque;Africa;..
Ambos sexos;074  Montejaque;América;..
Ambos sexos;074  Montejaque;Asia;..
Ambos sexos;074  Montejaque;Europa;5
Ambos sexos;074  Montejaque;Resto;..
Ambos sexos;075  Nerja;Africa;69
Ambos sexos;075  Nerja;América;110
Ambos sexos;075  Nerja;Asia;29
Ambos sexos;075  Nerja;Europa;1.560
Ambos sexos;075  Nerja;Resto;2
Ambos sexos;076  Ojén;Africa;8
Ambos sexos;076  Ojén;América;3
Ambos sexos;076  Ojén;Asia;9
Ambos sexos;076  Ojén;Europa;43
Ambos sexos;076  Ojén;Resto;..
Ambos sexos;077  Parauta;Africa;..
Ambos sexos;077  Parauta;América;..
Ambos sexos;077  Parauta;Asia;..
Ambos sexos;077  Parauta;Europa;..
Ambos sexos;077  Parauta;Resto;..
Ambos sexos;079  Periana;Africa;..
Ambos sexos;079  Periana;América;4
Ambos sexos;079  Periana;Asia;..
Ambos sexos;079  Periana;Europa;23
Ambos sexos;079  Periana;Resto;..
Ambos sexos;080  Pizarra;Africa;1
Ambos sexos;080  Pizarra;América;10
Ambos sexos;080  Pizarra;Asia;..
Ambos sexos;080  Pizarra;Europa;29
Ambos sexos;080  Pizarra;Resto;3
Ambos sexos;081  Pujerra;Africa;..
Ambos sexos;081  Pujerra;América;..
Ambos sexos;081  Pujerra;Asia;..
Ambos sexos;081  Pujerra;Europa;..
Ambos sexos;081  Pujerra;Resto;..
Ambos sexos;082  Rincón de la Victoria;Africa;61
Ambos sexos;082  Rincón de la Victoria;América;81
Ambos sexos;082  Rincón de la Victoria;Asia;11
Ambos sexos;082  Rincón de la Victoria;Europa;415
Ambos sexos;082  Rincón de la Victoria;Resto;1
Ambos sexos;083  Riogordo;Africa;..
Ambos sexos;083  Riogordo;América;..
Ambos sexos;083  Riogordo;Asia;..
Ambos sexos;083  Riogordo;Europa;16
Ambos sexos;083  Riogordo;Resto;..
Ambos sexos;084  Ronda;Africa;45
Ambos sexos;084  Ronda;América;29
Ambos sexos;084  Ronda;Asia;14
Ambos sexos;084  Ronda;Europa;104
Ambos sexos;084  Ronda;Resto;1
Ambos sexos;085  Salares;Africa;..
Ambos sexos;085  Salares;América;..
Ambos sexos;085  Salares;Asia;..
Ambos sexos;085  Salares;Europa;4
Ambos sexos;085  Salares;Resto;..
Ambos sexos;086  Sayalonga;Africa;..
Ambos sexos;086  Sayalonga;América;2
Ambos sexos;086  Sayalonga;Asia;1
Ambos sexos;086  Sayalonga;Europa;109
Ambos sexos;086  Sayalonga;Resto;..
Ambos sexos;087  Sedella;Africa;..
Ambos sexos;087  Sedella;América;2
Ambos sexos;087  Sedella;Asia;..
Ambos sexos;087  Sedella;Europa;24
Ambos sexos;087  Sedella;Resto;..
Ambos sexos;088  Sierra de Yeguas;Africa;3
Ambos sexos;088  Sierra de Yeguas;América;..
Ambos sexos;088  Sierra de Yeguas;Asia;..
Ambos sexos;088  Sierra de Yeguas;Europa;1
Ambos sexos;088  Sierra de Yeguas;Resto;..
Ambos sexos;089  Teba;Africa;1
Ambos sexos;089  Teba;América;..
Ambos sexos;089  Teba;Asia;..
Ambos sexos;089  Teba;Europa;..
Ambos sexos;089  Teba;Resto;..
Ambos sexos;090  Tolox;Africa;..
Ambos sexos;090  Tolox;América;..
Ambos sexos;090  Tolox;Asia;..
Ambos sexos;090  Tolox;Europa;8
Ambos sexos;090  Tolox;Resto;..
Ambos sexos;091  Torrox;Africa;42
Ambos sexos;091  Torrox;América;62
Ambos sexos;091  Torrox;Asia;5
Ambos sexos;091  Torrox;Europa;2.810
Ambos sexos;091  Torrox;Resto;1
Ambos sexos;092  Totalán;Africa;1
Ambos sexos;092  Totalán;América;..
Ambos sexos;092  Totalán;Asia;..
Ambos sexos;092  Totalán;Europa;5
Ambos sexos;092  Totalán;Resto;..
Ambos sexos;093  Valle de Abdalajís;Africa;5
Ambos sexos;093  Valle de Abdalajís;América;..
Ambos sexos;093  Valle de Abdalajís;Asia;..
Ambos sexos;093  Valle de Abdalajís;Europa;1
Ambos sexos;093  Valle de Abdalajís;Resto;..
Ambos sexos;094  Vélez-Málaga;Africa;78
Ambos sexos;094  Vélez-Málaga;América;80
Ambos sexos;094  Vélez-Málaga;Asia;23
Ambos sexos;094  Vélez-Málaga;Europa;733
Ambos sexos;094  Vélez-Málaga;Resto;..
Ambos sexos;095  Villanueva de Algaidas;Africa;1
Ambos sexos;095  Villanueva de Algaidas;América;..
Ambos sexos;095  Villanueva de Algaidas;Asia;..
Ambos sexos;095  Villanueva de Algaidas;Europa;2
Ambos sexos;095  Villanueva de Algaidas;Resto;..
Ambos sexos;096  Villanueva del Rosario;Africa;2
Ambos sexos;096  Villanueva del Rosario;América;2
Ambos sexos;096  Villanueva del Rosario;Asia;..
Ambos sexos;096  Villanueva del Rosario;Europa;1
Ambos sexos;096  Villanueva del Rosario;Resto;..
Ambos sexos;097  Villanueva del Trabuco;Africa;..
Ambos sexos;097  Villanueva del Trabuco;América;..
Ambos sexos;097  Villanueva del Trabuco;Asia;..
Ambos sexos;097  Villanueva del Trabuco;Europa;2
Ambos sexos;097  Villanueva del Trabuco;Resto;..
Ambos sexos;098  Villanueva de Tapia;Africa;..
Ambos sexos;098  Villanueva de Tapia;América;..
Ambos sexos;098  Villanueva de Tapia;Asia;..
Ambos sexos;098  Villanueva de Tapia;Europa;..
Ambos sexos;098  Villanueva de Tapia;Resto;..
Ambos sexos;099  Viñuela;Africa;..
Ambos sexos;099  Viñuela;América;2
Ambos sexos;099  Viñuela;Asia;..
Ambos sexos;099  Viñuela;Europa;21
Ambos sexos;099  Viñuela;Resto;..
Ambos sexos;100  Yunquera;Africa;..
Ambos sexos;100  Yunquera;América;..
Ambos sexos;100  Yunquera;Asia;1
Ambos sexos;100  Yunquera;Europa;5
Ambos sexos;100  Yunquera;Resto;..
Ambos sexos;901  Torremolinos;Africa;977
Ambos sexos;901  Torremolinos;América;541
Ambos sexos;901  Torremolinos;Asia;596
Ambos sexos;901  Torremolinos;Europa;3.925
Ambos sexos;901  Torremolinos;Resto;12
