Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;14027 Fernán-Núñez;Total Unión Europea;0
Ambos sexos;14027 Fernán-Núñez;Reino Unido;0
Ambos sexos;14027 Fernán-Núñez;Alemania;0
Ambos sexos;14027 Fernán-Núñez;Total Africa;7
Ambos sexos;14027 Fernán-Núñez;Marruecos;7
Ambos sexos;14027 Fernán-Núñez;Total América;9
Ambos sexos;14027 Fernán-Núñez;Colombia;4
Ambos sexos;14027 Fernán-Núñez;Ecuador;0
Ambos sexos;14027 Fernán-Núñez;Total Asia;0
Ambos sexos;14027 Fernán-Núñez;Resto;0
Ambos sexos;14028 Fuente la Lancha;Total Unión Europea;0
Ambos sexos;14028 Fuente la Lancha;Reino Unido;0
Ambos sexos;14028 Fuente la Lancha;Alemania;0
Ambos sexos;14028 Fuente la Lancha;Total Africa;0
Ambos sexos;14028 Fuente la Lancha;Marruecos;0
Ambos sexos;14028 Fuente la Lancha;Total América;0
Ambos sexos;14028 Fuente la Lancha;Colombia;0
Ambos sexos;14028 Fuente la Lancha;Ecuador;0
Ambos sexos;14028 Fuente la Lancha;Total Asia;0
Ambos sexos;14028 Fuente la Lancha;Resto;0
Ambos sexos;14029 Fuente Obejuna;Total Unión Europea;3
Ambos sexos;14029 Fuente Obejuna;Reino Unido;0
Ambos sexos;14029 Fuente Obejuna;Alemania;0
Ambos sexos;14029 Fuente Obejuna;Total Africa;1
Ambos sexos;14029 Fuente Obejuna;Marruecos;1
Ambos sexos;14029 Fuente Obejuna;Total América;3
Ambos sexos;14029 Fuente Obejuna;Colombia;2
Ambos sexos;14029 Fuente Obejuna;Ecuador;0
Ambos sexos;14029 Fuente Obejuna;Total Asia;0
Ambos sexos;14029 Fuente Obejuna;Resto;0
Ambos sexos;14030 Fuente Palmera;Total Unión Europea;2
Ambos sexos;14030 Fuente Palmera;Reino Unido;0
Ambos sexos;14030 Fuente Palmera;Alemania;2
Ambos sexos;14030 Fuente Palmera;Total Africa;2
Ambos sexos;14030 Fuente Palmera;Marruecos;2
Ambos sexos;14030 Fuente Palmera;Total América;8
Ambos sexos;14030 Fuente Palmera;Colombia;0
Ambos sexos;14030 Fuente Palmera;Ecuador;4
Ambos sexos;14030 Fuente Palmera;Total Asia;0
Ambos sexos;14030 Fuente Palmera;Resto;0
Ambos sexos;14031 Fuente-Tójar;Total Unión Europea;2
Ambos sexos;14031 Fuente-Tójar;Reino Unido;0
Ambos sexos;14031 Fuente-Tójar;Alemania;0
Ambos sexos;14031 Fuente-Tójar;Total Africa;0
Ambos sexos;14031 Fuente-Tójar;Marruecos;0
Ambos sexos;14031 Fuente-Tójar;Total América;0
Ambos sexos;14031 Fuente-Tójar;Colombia;0
Ambos sexos;14031 Fuente-Tójar;Ecuador;0
Ambos sexos;14031 Fuente-Tójar;Total Asia;0
Ambos sexos;14031 Fuente-Tójar;Resto;0
Ambos sexos;14032 Granjuela (La);Total Unión Europea;1
Ambos sexos;14032 Granjuela (La);Reino Unido;0
Ambos sexos;14032 Granjuela (La);Alemania;0
Ambos sexos;14032 Granjuela (La);Total Africa;1
Ambos sexos;14032 Granjuela (La);Marruecos;1
Ambos sexos;14032 Granjuela (La);Total América;0
Ambos sexos;14032 Granjuela (La);Colombia;0
Ambos sexos;14032 Granjuela (La);Ecuador;0
Ambos sexos;14032 Granjuela (La);Total Asia;0
Ambos sexos;14032 Granjuela (La);Resto;0
Ambos sexos;14033 Guadalcázar;Total Unión Europea;9
Ambos sexos;14033 Guadalcázar;Reino Unido;0
Ambos sexos;14033 Guadalcázar;Alemania;8
Ambos sexos;14033 Guadalcázar;Total Africa;1
Ambos sexos;14033 Guadalcázar;Marruecos;1
Ambos sexos;14033 Guadalcázar;Total América;0
Ambos sexos;14033 Guadalcázar;Colombia;0
Ambos sexos;14033 Guadalcázar;Ecuador;0
Ambos sexos;14033 Guadalcázar;Total Asia;0
Ambos sexos;14033 Guadalcázar;Resto;0
Ambos sexos;14034 Guijo (El);Total Unión Europea;0
Ambos sexos;14034 Guijo (El);Reino Unido;0
Ambos sexos;14034 Guijo (El);Alemania;0
Ambos sexos;14034 Guijo (El);Total Africa;0
Ambos sexos;14034 Guijo (El);Marruecos;0
Ambos sexos;14034 Guijo (El);Total América;3
Ambos sexos;14034 Guijo (El);Colombia;0
Ambos sexos;14034 Guijo (El);Ecuador;3
Ambos sexos;14034 Guijo (El);Total Asia;0
Ambos sexos;14034 Guijo (El);Resto;0
Ambos sexos;14035 Hinojosa del Duque;Total Unión Europea;2
Ambos sexos;14035 Hinojosa del Duque;Reino Unido;0
Ambos sexos;14035 Hinojosa del Duque;Alemania;0
Ambos sexos;14035 Hinojosa del Duque;Total Africa;1
Ambos sexos;14035 Hinojosa del Duque;Marruecos;1
Ambos sexos;14035 Hinojosa del Duque;Total América;11
Ambos sexos;14035 Hinojosa del Duque;Colombia;7
Ambos sexos;14035 Hinojosa del Duque;Ecuador;0
Ambos sexos;14035 Hinojosa del Duque;Total Asia;0
Ambos sexos;14035 Hinojosa del Duque;Resto;0
Ambos sexos;14036 Hornachuelos;Total Unión Europea;6
Ambos sexos;14036 Hornachuelos;Reino Unido;0
Ambos sexos;14036 Hornachuelos;Alemania;5
Ambos sexos;14036 Hornachuelos;Total Africa;0
Ambos sexos;14036 Hornachuelos;Marruecos;0
Ambos sexos;14036 Hornachuelos;Total América;2
Ambos sexos;14036 Hornachuelos;Colombia;1
Ambos sexos;14036 Hornachuelos;Ecuador;0
Ambos sexos;14036 Hornachuelos;Total Asia;1
Ambos sexos;14036 Hornachuelos;Resto;0
Ambos sexos;14037 Iznájar;Total Unión Europea;9
Ambos sexos;14037 Iznájar;Reino Unido;6
Ambos sexos;14037 Iznájar;Alemania;0
Ambos sexos;14037 Iznájar;Total Africa;11
Ambos sexos;14037 Iznájar;Marruecos;11
Ambos sexos;14037 Iznájar;Total América;1
Ambos sexos;14037 Iznájar;Colombia;0
Ambos sexos;14037 Iznájar;Ecuador;0
Ambos sexos;14037 Iznájar;Total Asia;0
Ambos sexos;14037 Iznájar;Resto;0
Ambos sexos;14038 Lucena;Total Unión Europea;40
