Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;29012 Álora;Total Africa;61
Ambos sexos;29012 Álora;Marruecos;47
Ambos sexos;29012 Álora;Total Am‚rica;97
Ambos sexos;29012 Álora;Argentina;41
Ambos sexos;29012 Álora;Bolivia;0
Ambos sexos;29012 Álora;Colombia;7
Ambos sexos;29012 Álora;Ecuador;25
Ambos sexos;29012 Álora;Perú;0
Ambos sexos;29012 Álora;Total Asia;4
Ambos sexos;29012 Álora;China;1
Ambos sexos;29012 Álora;Oceanía;9
Ambos sexos;29013 Alozaina;Total Población;2.269
Ambos sexos;29013 Alozaina;Nacidos en el Extranjero;180
Ambos sexos;29013 Alozaina;Total Europa;98
Ambos sexos;29013 Alozaina;Total Unión Europea (25);89
Ambos sexos;29013 Alozaina;Alemania;21
Ambos sexos;29013 Alozaina;Francia;18
Ambos sexos;29013 Alozaina;Italia;0
Ambos sexos;29013 Alozaina;Reino Unido;33
Ambos sexos;29013 Alozaina;Resto de Europa;9
Ambos sexos;29013 Alozaina;Bulgaria;0
Ambos sexos;29013 Alozaina;Rumanía;3
Ambos sexos;29013 Alozaina;Total Africa;5
Ambos sexos;29013 Alozaina;Marruecos;3
Ambos sexos;29013 Alozaina;Total Am‚rica;76
Ambos sexos;29013 Alozaina;Argentina;0
Ambos sexos;29013 Alozaina;Bolivia;3
Ambos sexos;29013 Alozaina;Colombia;62
Ambos sexos;29013 Alozaina;Ecuador;5
Ambos sexos;29013 Alozaina;Perú;2
Ambos sexos;29013 Alozaina;Total Asia;0
Ambos sexos;29013 Alozaina;China;0
Ambos sexos;29013 Alozaina;Oceanía;1
Ambos sexos;29014 Alpandeire;Total Población;291
Ambos sexos;29014 Alpandeire;Nacidos en el Extranjero;11
Ambos sexos;29014 Alpandeire;Total Europa;9
Ambos sexos;29014 Alpandeire;Total Unión Europea (25);9
Ambos sexos;29014 Alpandeire;Alemania;0
Ambos sexos;29014 Alpandeire;Francia;8
Ambos sexos;29014 Alpandeire;Italia;0
Ambos sexos;29014 Alpandeire;Reino Unido;1
Ambos sexos;29014 Alpandeire;Resto de Europa;0
Ambos sexos;29014 Alpandeire;Bulgaria;0
Ambos sexos;29014 Alpandeire;Rumanía;0
Ambos sexos;29014 Alpandeire;Total Africa;1
Ambos sexos;29014 Alpandeire;Marruecos;1
Ambos sexos;29014 Alpandeire;Total Am‚rica;1
Ambos sexos;29014 Alpandeire;Argentina;0
Ambos sexos;29014 Alpandeire;Bolivia;0
Ambos sexos;29014 Alpandeire;Colombia;0
Ambos sexos;29014 Alpandeire;Ecuador;1
Ambos sexos;29014 Alpandeire;Perú;0
Ambos sexos;29014 Alpandeire;Total Asia;0
Ambos sexos;29014 Alpandeire;China;0
Ambos sexos;29014 Alpandeire;Oceanía;0
Ambos sexos;29015 Antequera;Total Población;43.206
Ambos sexos;29015 Antequera;Nacidos en el Extranjero;1.518
Ambos sexos;29015 Antequera;Total Europa;573
Ambos sexos;29015 Antequera;Total Unión Europea (25);425
