Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;051  Colomera;América;..
Ambos sexos;051  Colomera;Asia;..
Ambos sexos;051  Colomera;Europa;..
Ambos sexos;051  Colomera;Resto;..
Ambos sexos;053  Cortes de Baza;Africa;..
Ambos sexos;053  Cortes de Baza;América;..
Ambos sexos;053  Cortes de Baza;Asia;..
Ambos sexos;053  Cortes de Baza;Europa;3
Ambos sexos;053  Cortes de Baza;Resto;..
Ambos sexos;054  Cortes y Graena;Africa;7
Ambos sexos;054  Cortes y Graena;América;..
Ambos sexos;054  Cortes y Graena;Asia;..
Ambos sexos;054  Cortes y Graena;Europa;4
Ambos sexos;054  Cortes y Graena;Resto;..
Ambos sexos;056  Cúllar;Africa;1
Ambos sexos;056  Cúllar;América;2
Ambos sexos;056  Cúllar;Asia;..
Ambos sexos;056  Cúllar;Europa;4
Ambos sexos;056  Cúllar;Resto;..
Ambos sexos;057  Cúllar Vega;Africa;8
Ambos sexos;057  Cúllar Vega;América;1
Ambos sexos;057  Cúllar Vega;Asia;1
Ambos sexos;057  Cúllar Vega;Europa;6
Ambos sexos;057  Cúllar Vega;Resto;..
Ambos sexos;059  Chauchina;Africa;1
Ambos sexos;059  Chauchina;América;1
Ambos sexos;059  Chauchina;Asia;..
Ambos sexos;059  Chauchina;Europa;1
Ambos sexos;059  Chauchina;Resto;..
Ambos sexos;061  Chimeneas;Africa;..
Ambos sexos;061  Chimeneas;América;..
Ambos sexos;061  Chimeneas;Asia;2
Ambos sexos;061  Chimeneas;Europa;..
Ambos sexos;061  Chimeneas;Resto;..
Ambos sexos;062  Churriana de la Vega;Africa;33
Ambos sexos;062  Churriana de la Vega;América;12
Ambos sexos;062  Churriana de la Vega;Asia;11
Ambos sexos;062  Churriana de la Vega;Europa;9
Ambos sexos;062  Churriana de la Vega;Resto;..
Ambos sexos;063  Darro;Africa;..
Ambos sexos;063  Darro;América;1
Ambos sexos;063  Darro;Asia;..
Ambos sexos;063  Darro;Europa;3
Ambos sexos;063  Darro;Resto;..
Ambos sexos;064  Dehesas de Guadix;Africa;..
Ambos sexos;064  Dehesas de Guadix;América;..
Ambos sexos;064  Dehesas de Guadix;Asia;..
Ambos sexos;064  Dehesas de Guadix;Europa;..
Ambos sexos;064  Dehesas de Guadix;Resto;..
Ambos sexos;066  Deifontes;Africa;..
Ambos sexos;066  Deifontes;América;..
Ambos sexos;066  Deifontes;Asia;..
Ambos sexos;066  Deifontes;Europa;..
Ambos sexos;066  Deifontes;Resto;..
Ambos sexos;067  Diezma;Africa;..
Ambos sexos;067  Diezma;América;..
Ambos sexos;067  Diezma;Asia;..
Ambos sexos;067  Diezma;Europa;..
Ambos sexos;067  Diezma;Resto;..
Ambos sexos;068  Dílar;Africa;..
Ambos sexos;068  Dílar;América;..
Ambos sexos;068  Dílar;Asia;1
Ambos sexos;068  Dílar;Europa;10
Ambos sexos;068  Dílar;Resto;..
Ambos sexos;069  Dólar;Africa;2
Ambos sexos;069  Dólar;América;..
Ambos sexos;069  Dólar;Asia;..
Ambos sexos;069  Dólar;Europa;..
Ambos sexos;069  Dólar;Resto;..
Ambos sexos;070  Dúdar;Africa;..
Ambos sexos;070  Dúdar;América;..
Ambos sexos;070  Dúdar;Asia;..
Ambos sexos;070  Dúdar;Europa;..
