Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;18022 Atarfe;Total Unión Europea;21
Ambos sexos;18022 Atarfe;Reino Unido;3
Ambos sexos;18022 Atarfe;Alemania;7
Ambos sexos;18022 Atarfe;Total Africa;42
Ambos sexos;18022 Atarfe;Marruecos;34
Ambos sexos;18022 Atarfe;Total América;22
Ambos sexos;18022 Atarfe;Colombia;1
Ambos sexos;18022 Atarfe;Ecuador;5
Ambos sexos;18022 Atarfe;Total Asia;1
Ambos sexos;18022 Atarfe;Resto;0
Ambos sexos;18023 Baza;Total Unión Europea;32
Ambos sexos;18023 Baza;Reino Unido;1
Ambos sexos;18023 Baza;Alemania;2
Ambos sexos;18023 Baza;Total Africa;146
Ambos sexos;18023 Baza;Marruecos;126
Ambos sexos;18023 Baza;Total América;286
Ambos sexos;18023 Baza;Colombia;74
Ambos sexos;18023 Baza;Ecuador;139
Ambos sexos;18023 Baza;Total Asia;17
Ambos sexos;18023 Baza;Resto;0
Ambos sexos;18024 Beas de Granada;Total Unión Europea;0
Ambos sexos;18024 Beas de Granada;Reino Unido;0
Ambos sexos;18024 Beas de Granada;Alemania;0
Ambos sexos;18024 Beas de Granada;Total Africa;3
Ambos sexos;18024 Beas de Granada;Marruecos;3
Ambos sexos;18024 Beas de Granada;Total América;1
Ambos sexos;18024 Beas de Granada;Colombia;0
Ambos sexos;18024 Beas de Granada;Ecuador;0
Ambos sexos;18024 Beas de Granada;Total Asia;0
Ambos sexos;18024 Beas de Granada;Resto;0
Ambos sexos;18025 Beas de Guadix;Total Unión Europea;0
Ambos sexos;18025 Beas de Guadix;Reino Unido;0
Ambos sexos;18025 Beas de Guadix;Alemania;0
Ambos sexos;18025 Beas de Guadix;Total Africa;0
Ambos sexos;18025 Beas de Guadix;Marruecos;0
Ambos sexos;18025 Beas de Guadix;Total América;0
Ambos sexos;18025 Beas de Guadix;Colombia;0
Ambos sexos;18025 Beas de Guadix;Ecuador;0
Ambos sexos;18025 Beas de Guadix;Total Asia;0
Ambos sexos;18025 Beas de Guadix;Resto;0
Ambos sexos;18027 Benalúa de Guadix;Total Unión Europea;8
Ambos sexos;18027 Benalúa de Guadix;Reino Unido;1
Ambos sexos;18027 Benalúa de Guadix;Alemania;4
Ambos sexos;18027 Benalúa de Guadix;Total Africa;0
Ambos sexos;18027 Benalúa de Guadix;Marruecos;0
Ambos sexos;18027 Benalúa de Guadix;Total América;0
Ambos sexos;18027 Benalúa de Guadix;Colombia;0
Ambos sexos;18027 Benalúa de Guadix;Ecuador;0
Ambos sexos;18027 Benalúa de Guadix;Total Asia;0
Ambos sexos;18027 Benalúa de Guadix;Resto;0
Ambos sexos;18028 Benalúa de las Villas;Total Unión Europea;3
Ambos sexos;18028 Benalúa de las Villas;Reino Unido;0
Ambos sexos;18028 Benalúa de las Villas;Alemania;2
Ambos sexos;18028 Benalúa de las Villas;Total Africa;1
Ambos sexos;18028 Benalúa de las Villas;Marruecos;1
Ambos sexos;18028 Benalúa de las Villas;Total América;0
Ambos sexos;18028 Benalúa de las Villas;Colombia;0
Ambos sexos;18028 Benalúa de las Villas;Ecuador;0
Ambos sexos;18028 Benalúa de las Villas;Total Asia;0
Ambos sexos;18028 Benalúa de las Villas;Resto;0
Ambos sexos;18029 Benamaurel;Total Unión Europea;5
Ambos sexos;18029 Benamaurel;Reino Unido;0
Ambos sexos;18029 Benamaurel;Alemania;0
Ambos sexos;18029 Benamaurel;Total Africa;0
Ambos sexos;18029 Benamaurel;Marruecos;0
Ambos sexos;18029 Benamaurel;Total América;4
Ambos sexos;18029 Benamaurel;Colombia;4
Ambos sexos;18029 Benamaurel;Ecuador;0
Ambos sexos;18029 Benamaurel;Total Asia;0
Ambos sexos;18029 Benamaurel;Resto;0
Ambos sexos;18030 Bérchules;Total Unión Europea;14
Ambos sexos;18030 Bérchules;Reino Unido;0
Ambos sexos;18030 Bérchules;Alemania;1
Ambos sexos;18030 Bérchules;Total Africa;0
Ambos sexos;18030 Bérchules;Marruecos;0
Ambos sexos;18030 Bérchules;Total América;0
Ambos sexos;18030 Bérchules;Colombia;0
Ambos sexos;18030 Bérchules;Ecuador;0
Ambos sexos;18030 Bérchules;Total Asia;0
Ambos sexos;18030 Bérchules;Resto;1
Ambos sexos;18032 Bubión;Total Unión Europea;32
Ambos sexos;18032 Bubión;Reino Unido;7
Ambos sexos;18032 Bubión;Alemania;7
Ambos sexos;18032 Bubión;Total Africa;1
Ambos sexos;18032 Bubión;Marruecos;1
Ambos sexos;18032 Bubión;Total América;8
Ambos sexos;18032 Bubión;Colombia;0
Ambos sexos;18032 Bubión;Ecuador;0
Ambos sexos;18032 Bubión;Total Asia;1
Ambos sexos;18032 Bubión;Resto;0
Ambos sexos;18033 Busquístar;Total Unión Europea;2
Ambos sexos;18033 Busquístar;Reino Unido;1
Ambos sexos;18033 Busquístar;Alemania;0
Ambos sexos;18033 Busquístar;Total Africa;0
Ambos sexos;18033 Busquístar;Marruecos;0
Ambos sexos;18033 Busquístar;Total América;0
Ambos sexos;18033 Busquístar;Colombia;0
Ambos sexos;18033 Busquístar;Ecuador;0
Ambos sexos;18033 Busquístar;Total Asia;0
Ambos sexos;18033 Busquístar;Resto;0
Ambos sexos;18034 Cacín;Total Unión Europea;2
Ambos sexos;18034 Cacín;Reino Unido;0
Ambos sexos;18034 Cacín;Alemania;1
Ambos sexos;18034 Cacín;Total Africa;0
Ambos sexos;18034 Cacín;Marruecos;0
Ambos sexos;18034 Cacín;Total América;2
Ambos sexos;18034 Cacín;Colombia;0
Ambos sexos;18034 Cacín;Ecuador;2
Ambos sexos;18034 Cacín;Total Asia;0
Ambos sexos;18034 Cacín;Resto;0
Ambos sexos;18035 Cádiar;Total Unión Europea;8
Ambos sexos;18035 Cádiar;Reino Unido;1
Ambos sexos;18035 Cádiar;Alemania;2
Ambos sexos;18035 Cádiar;Total Africa;0
Ambos sexos;18035 Cádiar;Marruecos;0
Ambos sexos;18035 Cádiar;Total América;1
Ambos sexos;18035 Cádiar;Colombia;0
Ambos sexos;18035 Cádiar;Ecuador;0
