Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;29047 Cuevas Bajas;Africa;..
Ambos sexos;29047 Cuevas Bajas;América;..
Ambos sexos;29047 Cuevas Bajas;Asia;..
Ambos sexos;29047 Cuevas Bajas;Europa;3
Ambos sexos;29047 Cuevas Bajas;Resto;..
Ambos sexos;29048 Cuevas del Becerro;Africa;4
Ambos sexos;29048 Cuevas del Becerro;América;1
Ambos sexos;29048 Cuevas del Becerro;Asia;..
Ambos sexos;29048 Cuevas del Becerro;Europa;1
Ambos sexos;29048 Cuevas del Becerro;Resto;..
Ambos sexos;29049 Cuevas de San Marcos;Africa;3
Ambos sexos;29049 Cuevas de San Marcos;América;..
Ambos sexos;29049 Cuevas de San Marcos;Asia;..
Ambos sexos;29049 Cuevas de San Marcos;Europa;1
Ambos sexos;29049 Cuevas de San Marcos;Resto;..
Ambos sexos;29050 Cútar;Africa;1
Ambos sexos;29050 Cútar;América;..
Ambos sexos;29050 Cútar;Asia;..
Ambos sexos;29050 Cútar;Europa;10
Ambos sexos;29050 Cútar;Resto;..
Ambos sexos;29051 Estepona;Africa;299
Ambos sexos;29051 Estepona;América;398
Ambos sexos;29051 Estepona;Asia;217
Ambos sexos;29051 Estepona;Europa;4.600
Ambos sexos;29051 Estepona;Resto;14
Ambos sexos;29052 Faraján;Africa;..
Ambos sexos;29052 Faraján;América;..
Ambos sexos;29052 Faraján;Asia;..
Ambos sexos;29052 Faraján;Europa;8
Ambos sexos;29052 Faraján;Resto;..
Ambos sexos;29053 Frigiliana;Africa;..
Ambos sexos;29053 Frigiliana;América;17
Ambos sexos;29053 Frigiliana;Asia;4
Ambos sexos;29053 Frigiliana;Europa;177
Ambos sexos;29053 Frigiliana;Resto;1
Ambos sexos;29054 Fuengirola;Africa;751
Ambos sexos;29054 Fuengirola;América;458
Ambos sexos;29054 Fuengirola;Asia;295
Ambos sexos;29054 Fuengirola;Europa;5.090
Ambos sexos;29054 Fuengirola;Resto;7
Ambos sexos;29055 Fuente de Piedra;Africa;1
Ambos sexos;29055 Fuente de Piedra;América;..
Ambos sexos;29055 Fuente de Piedra;Asia;1
Ambos sexos;29055 Fuente de Piedra;Europa;..
Ambos sexos;29055 Fuente de Piedra;Resto;..
Ambos sexos;29056 Gaucín;Africa;4
Ambos sexos;29056 Gaucín;América;6
Ambos sexos;29056 Gaucín;Asia;1
Ambos sexos;29056 Gaucín;Europa;108
Ambos sexos;29056 Gaucín;Resto;..
Ambos sexos;29057 Genalguacil;Africa;1
Ambos sexos;29057 Genalguacil;América;5
Ambos sexos;29057 Genalguacil;Asia;..
Ambos sexos;29057 Genalguacil;Europa;16
Ambos sexos;29057 Genalguacil;Resto;..
Ambos sexos;29058 Guaro;Africa;1
Ambos sexos;29058 Guaro;América;3
Ambos sexos;29058 Guaro;Asia;..
Ambos sexos;29058 Guaro;Europa;44
Ambos sexos;29058 Guaro;Resto;..
Ambos sexos;29059 Humilladero;Africa;..
