Sexo;Municipios;País de nacimiento;Total
Ambos sexos;11007-Barbate;Senegal;20
Ambos sexos;11007-Barbate;Total América;174
Ambos sexos;11007-Barbate;Argentina;28
Ambos sexos;11007-Barbate;Bolivia;23
Ambos sexos;11007-Barbate;Brasil;20
Ambos sexos;11007-Barbate;Colombia;33
Ambos sexos;11007-Barbate;Cuba;12
Ambos sexos;11007-Barbate;Chile;7
Ambos sexos;11007-Barbate;Ecuador;1
Ambos sexos;11007-Barbate;Paraguay;13
Ambos sexos;11007-Barbate;Perú;11
Ambos sexos;11007-Barbate;Rep. Dominicana;10
Ambos sexos;11007-Barbate;Uruguay;0
Ambos sexos;11007-Barbate;Venezuela;2
Ambos sexos;11007-Barbate;Total Asia;28
Ambos sexos;11007-Barbate;China;23
Ambos sexos;11007-Barbate;Pakistán;0
Ambos sexos;11007-Barbate;Total Oceanía;3
Ambos sexos;11008-Barrios, Los;Total Población;22.853
Ambos sexos;11008-Barrios, Los;Nacidos en España;20.843
Ambos sexos;11008-Barrios, Los;Nacidos en el Extranjero;2.010
Ambos sexos;11008-Barrios, Los;Total Europa;1.138
Ambos sexos;11008-Barrios, Los;Total Unión Europea;1.089
Ambos sexos;11008-Barrios, Los;Alemania;77
Ambos sexos;11008-Barrios, Los;Bulgaria;23
Ambos sexos;11008-Barrios, Los;Francia;123
Ambos sexos;11008-Barrios, Los;Italia;24
Ambos sexos;11008-Barrios, Los;Polonia;15
Ambos sexos;11008-Barrios, Los;Portugal;93
Ambos sexos;11008-Barrios, Los;Reino Unido;551
Ambos sexos;11008-Barrios, Los;Rumanía;66
Ambos sexos;11008-Barrios, Los;Total Europa No Comunitaria;49
Ambos sexos;11008-Barrios, Los;Rusia;11
Ambos sexos;11008-Barrios, Los;Ucrania;13
Ambos sexos;11008-Barrios, Los;Total Africa;463
Ambos sexos;11008-Barrios, Los;Argelia;8
Ambos sexos;11008-Barrios, Los;Marruecos;403
Ambos sexos;11008-Barrios, Los;Nigeria;14
Ambos sexos;11008-Barrios, Los;Senegal;1
Ambos sexos;11008-Barrios, Los;Total América;332
Ambos sexos;11008-Barrios, Los;Argentina;54
Ambos sexos;11008-Barrios, Los;Bolivia;11
Ambos sexos;11008-Barrios, Los;Brasil;50
Ambos sexos;11008-Barrios, Los;Colombia;58
Ambos sexos;11008-Barrios, Los;Cuba;36
Ambos sexos;11008-Barrios, Los;Chile;8
Ambos sexos;11008-Barrios, Los;Ecuador;10
Ambos sexos;11008-Barrios, Los;Paraguay;4
Ambos sexos;11008-Barrios, Los;Perú;11
Ambos sexos;11008-Barrios, Los;Rep. Dominicana;26
Ambos sexos;11008-Barrios, Los;Uruguay;20
Ambos sexos;11008-Barrios, Los;Venezuela;16
Ambos sexos;11008-Barrios, Los;Total Asia;68
Ambos sexos;11008-Barrios, Los;China;41
Ambos sexos;11008-Barrios, Los;Pakistán;4
Ambos sexos;11008-Barrios, Los;Total Oceanía;9
Ambos sexos;11009-Benaocaz;Total Población;751
Ambos sexos;11009-Benaocaz;Nacidos en España;729
Ambos sexos;11009-Benaocaz;Nacidos en el Extranjero;22
Ambos sexos;11009-Benaocaz;Total Europa;17
Ambos sexos;11009-Benaocaz;Total Unión Europea;16
Ambos sexos;11009-Benaocaz;Alemania;6
Ambos sexos;11009-Benaocaz;Bulgaria;0
Ambos sexos;11009-Benaocaz;Francia;2
Ambos sexos;11009-Benaocaz;Italia;0
Ambos sexos;11009-Benaocaz;Polonia;0
Ambos sexos;11009-Benaocaz;Portugal;1
Ambos sexos;11009-Benaocaz;Reino Unido;5
Ambos sexos;11009-Benaocaz;Rumanía;0
Ambos sexos;11009-Benaocaz;Total Europa No Comunitaria;1
Ambos sexos;11009-Benaocaz;Rusia;0
Ambos sexos;11009-Benaocaz;Ucrania;0
Ambos sexos;11009-Benaocaz;Total Africa;2
Ambos sexos;11009-Benaocaz;Argelia;1
Ambos sexos;11009-Benaocaz;Marruecos;1
Ambos sexos;11009-Benaocaz;Nigeria;0
Ambos sexos;11009-Benaocaz;Senegal;0
Ambos sexos;11009-Benaocaz;Total América;3
Ambos sexos;11009-Benaocaz;Argentina;0
Ambos sexos;11009-Benaocaz;Bolivia;0
Ambos sexos;11009-Benaocaz;Brasil;0
Ambos sexos;11009-Benaocaz;Colombia;0
Ambos sexos;11009-Benaocaz;Cuba;0
Ambos sexos;11009-Benaocaz;Chile;0
Ambos sexos;11009-Benaocaz;Ecuador;0
Ambos sexos;11009-Benaocaz;Paraguay;0
Ambos sexos;11009-Benaocaz;Perú;0
Ambos sexos;11009-Benaocaz;Rep. Dominicana;0
Ambos sexos;11009-Benaocaz;Uruguay;0
Ambos sexos;11009-Benaocaz;Venezuela;1
Ambos sexos;11009-Benaocaz;Total Asia;0
Ambos sexos;11009-Benaocaz;China;0
Ambos sexos;11009-Benaocaz;Pakistán;0
Ambos sexos;11009-Benaocaz;Total Oceanía;0
Ambos sexos;11010-Bornos;Total Población;8.107
Ambos sexos;11010-Bornos;Nacidos en España;7.977
Ambos sexos;11010-Bornos;Nacidos en el Extranjero;130
Ambos sexos;11010-Bornos;Total Europa;91
Ambos sexos;11010-Bornos;Total Unión Europea;77
Ambos sexos;11010-Bornos;Alemania;20
Ambos sexos;11010-Bornos;Bulgaria;0
Ambos sexos;11010-Bornos;Francia;9
Ambos sexos;11010-Bornos;Italia;2
Ambos sexos;11010-Bornos;Polonia;4
Ambos sexos;11010-Bornos;Portugal;1
Ambos sexos;11010-Bornos;Reino Unido;29
Ambos sexos;11010-Bornos;Rumanía;9
Ambos sexos;11010-Bornos;Total Europa No Comunitaria;14
Ambos sexos;11010-Bornos;Rusia;3
Ambos sexos;11010-Bornos;Ucrania;0
Ambos sexos;11010-Bornos;Total Africa;19
Ambos sexos;11010-Bornos;Argelia;0
Ambos sexos;11010-Bornos;Marruecos;17
Ambos sexos;11010-Bornos;Nigeria;1
Ambos sexos;11010-Bornos;Senegal;1
Ambos sexos;11010-Bornos;Total América;18
Ambos sexos;11010-Bornos;Argentina;0
Ambos sexos;11010-Bornos;Bolivia;1
Ambos sexos;11010-Bornos;Brasil;0
Ambos sexos;11010-Bornos;Colombia;7
Ambos sexos;11010-Bornos;Cuba;0
Ambos sexos;11010-Bornos;Chile;0
Ambos sexos;11010-Bornos;Ecuador;0
Ambos sexos;11010-Bornos;Paraguay;0
Ambos sexos;11010-Bornos;Perú;1
Ambos sexos;11010-Bornos;Rep. Dominicana;1
Ambos sexos;11010-Bornos;Uruguay;5
Ambos sexos;11010-Bornos;Venezuela;0
Ambos sexos;11010-Bornos;Total Asia;2
Ambos sexos;11010-Bornos;China;1
Ambos sexos;11010-Bornos;Pakistán;0
Ambos sexos;11010-Bornos;Total Oceanía;0
Ambos sexos;11011-Bosque, El;Total Población;2.117
Ambos sexos;11011-Bosque, El;Nacidos en España;2.055
Ambos sexos;11011-Bosque, El;Nacidos en el Extranjero;62
Ambos sexos;11011-Bosque, El;Total Europa;32
Ambos sexos;11011-Bosque, El;Total Unión Europea;31
Ambos sexos;11011-Bosque, El;Alemania;13
Ambos sexos;11011-Bosque, El;Bulgaria;0
Ambos sexos;11011-Bosque, El;Francia;2
Ambos sexos;11011-Bosque, El;Italia;0
Ambos sexos;11011-Bosque, El;Polonia;1
Ambos sexos;11011-Bosque, El;Portugal;0
Ambos sexos;11011-Bosque, El;Reino Unido;6
Ambos sexos;11011-Bosque, El;Rumanía;8
Ambos sexos;11011-Bosque, El;Total Europa No Comunitaria;1
Ambos sexos;11011-Bosque, El;Rusia;0
Ambos sexos;11011-Bosque, El;Ucrania;0
Ambos sexos;11011-Bosque, El;Total Africa;14
Ambos sexos;11011-Bosque, El;Argelia;1
Ambos sexos;11011-Bosque, El;Marruecos;13
Ambos sexos;11011-Bosque, El;Nigeria;0
Ambos sexos;11011-Bosque, El;Senegal;0
Ambos sexos;11011-Bosque, El;Total América;16
Ambos sexos;11011-Bosque, El;Argentina;8
Ambos sexos;11011-Bosque, El;Bolivia;0
Ambos sexos;11011-Bosque, El;Brasil;0
Ambos sexos;11011-Bosque, El;Colombia;2
Ambos sexos;11011-Bosque, El;Cuba;0
Ambos sexos;11011-Bosque, El;Chile;2
Ambos sexos;11011-Bosque, El;Ecuador;0
Ambos sexos;11011-Bosque, El;Paraguay;0
Ambos sexos;11011-Bosque, El;Perú;0
Ambos sexos;11011-Bosque, El;Rep. Dominicana;2
Ambos sexos;11011-Bosque, El;Uruguay;0
Ambos sexos;11011-Bosque, El;Venezuela;1
Ambos sexos;11011-Bosque, El;Total Asia;0
Ambos sexos;11011-Bosque, El;China;0
Ambos sexos;11011-Bosque, El;Pakistán;0
Ambos sexos;11011-Bosque, El;Total Oceanía;0
Ambos sexos;11012-Cádiz;Total Población;124.892
Ambos sexos;11012-Cádiz;Nacidos en España;121.167
Ambos sexos;11012-Cádiz;Nacidos en el Extranjero;3.725
Ambos sexos;11012-Cádiz;Total Europa;1.224
Ambos sexos;11012-Cádiz;Total Unión Europea;1.079
Ambos sexos;11012-Cádiz;Alemania;226
Ambos sexos;11012-Cádiz;Bulgaria;17
Ambos sexos;11012-Cádiz;Francia;251
Ambos sexos;11012-Cádiz;Italia;116
Ambos sexos;11012-Cádiz;Polonia;12
Ambos sexos;11012-Cádiz;Portugal;55
Ambos sexos;11012-Cádiz;Reino Unido;128
Ambos sexos;11012-Cádiz;Rumanía;68
Ambos sexos;11012-Cádiz;Total Europa No Comunitaria;145
Ambos sexos;11012-Cádiz;Rusia;56
Ambos sexos;11012-Cádiz;Ucrania;35
Ambos sexos;11012-Cádiz;Total Africa;898
Ambos sexos;11012-Cádiz;Argelia;45
Ambos sexos;11012-Cádiz;Marruecos;758
Ambos sexos;11012-Cádiz;Nigeria;9
Ambos sexos;11012-Cádiz;Senegal;4
Ambos sexos;11012-Cádiz;Total América;1.329
Ambos sexos;11012-Cádiz;Argentina;201
Ambos sexos;11012-Cádiz;Bolivia;205
Ambos sexos;11012-Cádiz;Brasil;94
Ambos sexos;11012-Cádiz;Colombia;169
Ambos sexos;11012-Cádiz;Cuba;108
Ambos sexos;11012-Cádiz;Chile;60
Ambos sexos;11012-Cádiz;Ecuador;44
Ambos sexos;11012-Cádiz;Paraguay;13
Ambos sexos;11012-Cádiz;Perú;100
Ambos sexos;11012-Cádiz;Rep. Dominicana;45
Ambos sexos;11012-Cádiz;Uruguay;26
Ambos sexos;11012-Cádiz;Venezuela;69
Ambos sexos;11012-Cádiz;Total Asia;257
Ambos sexos;11012-Cádiz;China;196
Ambos sexos;11012-Cádiz;Pakistán;11
Ambos sexos;11012-Cádiz;Total Oceanía;17
Ambos sexos;11013-Castellar de la Frontera;Total Población;3.187
Ambos sexos;11013-Castellar de la Frontera;Nacidos en España;2.853
Ambos sexos;11013-Castellar de la Frontera;Nacidos en el Extranjero;334
Ambos sexos;11013-Castellar de la Frontera;Total Europa;258
Ambos sexos;11013-Castellar de la Frontera;Total Unión Europea;252
Ambos sexos;11013-Castellar de la Frontera;Alemania;102
Ambos sexos;11013-Castellar de la Frontera;Bulgaria;32
Ambos sexos;11013-Castellar de la Frontera;Francia;8
Ambos sexos;11013-Castellar de la Frontera;Italia;7
Ambos sexos;11013-Castellar de la Frontera;Polonia;3
Ambos sexos;11013-Castellar de la Frontera;Portugal;10
Ambos sexos;11013-Castellar de la Frontera;Reino Unido;60
Ambos sexos;11013-Castellar de la Frontera;Rumanía;4
Ambos sexos;11013-Castellar de la Frontera;Total Europa No Comunitaria;6
Ambos sexos;11013-Castellar de la Frontera;Rusia;0
Ambos sexos;11013-Castellar de la Frontera;Ucrania;3
Ambos sexos;11013-Castellar de la Frontera;Total Africa;15
Ambos sexos;11013-Castellar de la Frontera;Argelia;0
Ambos sexos;11013-Castellar de la Frontera;Marruecos;14
Ambos sexos;11013-Castellar de la Frontera;Nigeria;1
