Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;14011 Blázquez (Los);Bulgaria;0
Ambos sexos;14011 Blázquez (Los);Rumanía;0
Ambos sexos;14011 Blázquez (Los);Total Africa;0
Ambos sexos;14011 Blázquez (Los);Marruecos;0
Ambos sexos;14011 Blázquez (Los);Total Am‚rica;0
Ambos sexos;14011 Blázquez (Los);Argentina;0
Ambos sexos;14011 Blázquez (Los);Bolivia;0
Ambos sexos;14011 Blázquez (Los);Colombia;0
Ambos sexos;14011 Blázquez (Los);Ecuador;0
Ambos sexos;14011 Blázquez (Los);Perú;0
Ambos sexos;14011 Blázquez (Los);Total Asia;0
Ambos sexos;14011 Blázquez (Los);China;0
Ambos sexos;14011 Blázquez (Los);Oceanía;0
Ambos sexos;14012 Bujalance;Total Población;7.870
Ambos sexos;14012 Bujalance;Nacidos en el Extranjero;59
Ambos sexos;14012 Bujalance;Total Europa;35
Ambos sexos;14012 Bujalance;Total Unión Europea (25);18
Ambos sexos;14012 Bujalance;Alemania;4
Ambos sexos;14012 Bujalance;Francia;6
Ambos sexos;14012 Bujalance;Italia;1
Ambos sexos;14012 Bujalance;Reino Unido;0
Ambos sexos;14012 Bujalance;Resto de Europa;17
Ambos sexos;14012 Bujalance;Bulgaria;0
Ambos sexos;14012 Bujalance;Rumanía;15
Ambos sexos;14012 Bujalance;Total Africa;14
Ambos sexos;14012 Bujalance;Marruecos;11
Ambos sexos;14012 Bujalance;Total Am‚rica;10
Ambos sexos;14012 Bujalance;Argentina;0
Ambos sexos;14012 Bujalance;Bolivia;0
Ambos sexos;14012 Bujalance;Colombia;8
Ambos sexos;14012 Bujalance;Ecuador;2
Ambos sexos;14012 Bujalance;Perú;0
Ambos sexos;14012 Bujalance;Total Asia;0
Ambos sexos;14012 Bujalance;China;0
Ambos sexos;14012 Bujalance;Oceanía;0
Ambos sexos;14013 Cabra;Total Población;20.940
Ambos sexos;14013 Cabra;Nacidos en el Extranjero;430
Ambos sexos;14013 Cabra;Total Europa;195
Ambos sexos;14013 Cabra;Total Unión Europea (25);103
Ambos sexos;14013 Cabra;Alemania;25
Ambos sexos;14013 Cabra;Francia;56
Ambos sexos;14013 Cabra;Italia;2
Ambos sexos;14013 Cabra;Reino Unido;4
Ambos sexos;14013 Cabra;Resto de Europa;92
Ambos sexos;14013 Cabra;Bulgaria;2
Ambos sexos;14013 Cabra;Rumanía;40
Ambos sexos;14013 Cabra;Total Africa;62
Ambos sexos;14013 Cabra;Marruecos;59
Ambos sexos;14013 Cabra;Total Am‚rica;163
Ambos sexos;14013 Cabra;Argentina;16
Ambos sexos;14013 Cabra;Bolivia;26
Ambos sexos;14013 Cabra;Colombia;45
Ambos sexos;14013 Cabra;Ecuador;47
Ambos sexos;14013 Cabra;Perú;4
Ambos sexos;14013 Cabra;Total Asia;6
Ambos sexos;14013 Cabra;China;0
Ambos sexos;14013 Cabra;Oceanía;4
Ambos sexos;14014 Cañete de las Torres;Total Población;3.210
Ambos sexos;14014 Cañete de las Torres;Nacidos en el Extranjero;19
Ambos sexos;14014 Cañete de las Torres;Total Europa;11
