Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;040  Montalbán de Córdoba;Asia;..
Ambos sexos;040  Montalbán de Córdoba;Europa;1
Ambos sexos;040  Montalbán de Córdoba;Resto;..
Ambos sexos;041  Montemayor;Africa;8
Ambos sexos;041  Montemayor;América;..
Ambos sexos;041  Montemayor;Asia;..
Ambos sexos;041  Montemayor;Europa;..
Ambos sexos;041  Montemayor;Resto;..
Ambos sexos;042  Montilla;Africa;18
Ambos sexos;042  Montilla;América;9
Ambos sexos;042  Montilla;Asia;1
Ambos sexos;042  Montilla;Europa;16
Ambos sexos;042  Montilla;Resto;..
Ambos sexos;043  Montoro;Africa;1
Ambos sexos;043  Montoro;América;1
Ambos sexos;043  Montoro;Asia;..
Ambos sexos;043  Montoro;Europa;4
Ambos sexos;043  Montoro;Resto;..
Ambos sexos;044  Monturque;Africa;..
Ambos sexos;044  Monturque;América;1
Ambos sexos;044  Monturque;Asia;..
Ambos sexos;044  Monturque;Europa;2
Ambos sexos;044  Monturque;Resto;..
Ambos sexos;045  Moriles;Africa;..
Ambos sexos;045  Moriles;América;..
Ambos sexos;045  Moriles;Asia;..
Ambos sexos;045  Moriles;Europa;..
Ambos sexos;045  Moriles;Resto;..
Ambos sexos;046  Nueva Carteya;Africa;2
Ambos sexos;046  Nueva Carteya;América;..
Ambos sexos;046  Nueva Carteya;Asia;..
Ambos sexos;046  Nueva Carteya;Europa;..
Ambos sexos;046  Nueva Carteya;Resto;..
Ambos sexos;047  Obejo;Africa;1
Ambos sexos;047  Obejo;América;..
Ambos sexos;047  Obejo;Asia;1
Ambos sexos;047  Obejo;Europa;..
Ambos sexos;047  Obejo;Resto;..
Ambos sexos;048  Palenciana;Africa;..
Ambos sexos;048  Palenciana;América;..
Ambos sexos;048  Palenciana;Asia;..
Ambos sexos;048  Palenciana;Europa;1
Ambos sexos;048  Palenciana;Resto;..
Ambos sexos;049  Palma del Río;Africa;8
Ambos sexos;049  Palma del Río;América;11
Ambos sexos;049  Palma del Río;Asia;..
Ambos sexos;049  Palma del Río;Europa;6
Ambos sexos;049  Palma del Río;Resto;..
Ambos sexos;050  Pedro Abad;Africa;2
Ambos sexos;050  Pedro Abad;América;..
Ambos sexos;050  Pedro Abad;Asia;25
Ambos sexos;050  Pedro Abad;Europa;1
Ambos sexos;050  Pedro Abad;Resto;..
Ambos sexos;051  Pedroche;Africa;..
Ambos sexos;051  Pedroche;América;..
Ambos sexos;051  Pedroche;Asia;..
Ambos sexos;051  Pedroche;Europa;..
Ambos sexos;051  Pedroche;Resto;..
Ambos sexos;052  Peñarroya-Pueblonuevo;Africa;4
Ambos sexos;052  Peñarroya-Pueblonuevo;América;5
Ambos sexos;052  Peñarroya-Pueblonuevo;Asia;22
Ambos sexos;052  Peñarroya-Pueblonuevo;Europa;19
Ambos sexos;052  Peñarroya-Pueblonuevo;Resto;..
Ambos sexos;053  Posadas;Africa;1
Ambos sexos;053  Posadas;América;1
Ambos sexos;053  Posadas;Asia;..
Ambos sexos;053  Posadas;Europa;3
Ambos sexos;053  Posadas;Resto;..
Ambos sexos;054  Pozoblanco;Africa;23
Ambos sexos;054  Pozoblanco;América;6
Ambos sexos;054  Pozoblanco;Asia;10
Ambos sexos;054  Pozoblanco;Europa;13
Ambos sexos;054  Pozoblanco;Resto;..
Ambos sexos;055  Priego de Córdoba;Africa;22
Ambos sexos;055  Priego de Córdoba;América;15
Ambos sexos;055  Priego de Córdoba;Asia;7
Ambos sexos;055  Priego de Córdoba;Europa;8
