Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;04054 Illar;Resto;0
Ambos sexos;04055 Instinción;Total Unión Europea;0
Ambos sexos;04055 Instinción;Reino Unido;0
Ambos sexos;04055 Instinción;Alemania;0
Ambos sexos;04055 Instinción;Total Africa;0
Ambos sexos;04055 Instinción;Marruecos;0
Ambos sexos;04055 Instinción;Total América;0
Ambos sexos;04055 Instinción;Colombia;0
Ambos sexos;04055 Instinción;Ecuador;0
Ambos sexos;04055 Instinción;Total Asia;0
Ambos sexos;04055 Instinción;Resto;0
Ambos sexos;04056 Laroya;Total Unión Europea;1
Ambos sexos;04056 Laroya;Reino Unido;0
Ambos sexos;04056 Laroya;Alemania;0
Ambos sexos;04056 Laroya;Total Africa;0
Ambos sexos;04056 Laroya;Marruecos;0
Ambos sexos;04056 Laroya;Total América;0
Ambos sexos;04056 Laroya;Colombia;0
Ambos sexos;04056 Laroya;Ecuador;0
Ambos sexos;04056 Laroya;Total Asia;0
Ambos sexos;04056 Laroya;Resto;0
Ambos sexos;04057 Láujar de Andarax;Total Unión Europea;4
Ambos sexos;04057 Láujar de Andarax;Reino Unido;1
Ambos sexos;04057 Láujar de Andarax;Alemania;1
Ambos sexos;04057 Láujar de Andarax;Total Africa;4
Ambos sexos;04057 Láujar de Andarax;Marruecos;4
Ambos sexos;04057 Láujar de Andarax;Total América;2
Ambos sexos;04057 Láujar de Andarax;Colombia;0
Ambos sexos;04057 Láujar de Andarax;Ecuador;0
Ambos sexos;04057 Láujar de Andarax;Total Asia;0
Ambos sexos;04057 Láujar de Andarax;Resto;0
Ambos sexos;04058 Líjar;Total Unión Europea;0
Ambos sexos;04058 Líjar;Reino Unido;0
Ambos sexos;04058 Líjar;Alemania;0
Ambos sexos;04058 Líjar;Total Africa;0
Ambos sexos;04058 Líjar;Marruecos;0
Ambos sexos;04058 Líjar;Total América;6
Ambos sexos;04058 Líjar;Colombia;0
Ambos sexos;04058 Líjar;Ecuador;3
Ambos sexos;04058 Líjar;Total Asia;0
Ambos sexos;04058 Líjar;Resto;0
Ambos sexos;04059 Lubrín;Total Unión Europea;23
Ambos sexos;04059 Lubrín;Reino Unido;13
Ambos sexos;04059 Lubrín;Alemania;3
Ambos sexos;04059 Lubrín;Total Africa;1
Ambos sexos;04059 Lubrín;Marruecos;0
Ambos sexos;04059 Lubrín;Total América;11
Ambos sexos;04059 Lubrín;Colombia;0
Ambos sexos;04059 Lubrín;Ecuador;3
Ambos sexos;04059 Lubrín;Total Asia;2
Ambos sexos;04059 Lubrín;Resto;0
Ambos sexos;04060 Lucainena de las Torres;Total Unión Europea;4
Ambos sexos;04060 Lucainena de las Torres;Reino Unido;1
Ambos sexos;04060 Lucainena de las Torres;Alemania;1
Ambos sexos;04060 Lucainena de las Torres;Total Africa;25
Ambos sexos;04060 Lucainena de las Torres;Marruecos;20
Ambos sexos;04060 Lucainena de las Torres;Total América;26
