Municipios,Año,Total,Provincia,Clasificación
Almería,2019,198533.0,Almería,5
Almería,2018,196851.0,Almería,5
Almería,2017,195389.0,Almería,5
Almería,2016,194515.0,Almería,5
Almería,2015,194203.0,Almería,5
Almería,2014,193351.0,Almería,5
Almería,2013,192697.0,Almería,5
Almería,2012,191443.0,Almería,5
Almería,2011,190349.0,Almería,5
Almería,2010,190013.0,Almería,5
Almería,2009,188810.0,Almería,5
Almería,2008,187521.0,Almería,5
Almería,2007,186651.0,Almería,5
Almería,2006,185309.0,Almería,5
Almería,2005,181702.0,Almería,5
Almería,2004,177681.0,Almería,5
Almería,2003,176727.0,Almería,5
Almería,2002,173338.0,Almería,5
Almería,2001,170994.0,Almería,5
Almería,2000,168945.0,Almería,5
Almería,1999,169027.0,Almería,5
Almería,1998,168025.0,Almería,5
Almócita,2019,169.0,Almería,1
Almócita,2018,176.0,Almería,1
Almócita,2017,174.0,Almería,1
Almócita,2016,172.0,Almería,1
Almócita,2015,173.0,Almería,1
Almócita,2014,167.0,Almería,1
Almócita,2013,177.0,Almería,1
Almócita,2012,188.0,Almería,1
Almócita,2011,191.0,Almería,1
Almócita,2010,185.0,Almería,1
Almócita,2009,167.0,Almería,1
Almócita,2008,163.0,Almería,1
Almócita,2007,158.0,Almería,1
Almócita,2006,156.0,Almería,1
Almócita,2005,167.0,Almería,1
Almócita,2004,165.0,Almería,1
Almócita,2003,161.0,Almería,1
Almócita,2002,162.0,Almería,1
Almócita,2001,166.0,Almería,1
Almócita,2000,175.0,Almería,1
Almócita,1999,185.0,Almería,1
Almócita,1998,187.0,Almería,1
Alsodux,2019,125.0,Almería,1
Alsodux,2018,133.0,Almería,1
Alsodux,2017,132.0,Almería,1
Alsodux,2016,134.0,Almería,1
Alsodux,2015,138.0,Almería,1
Alsodux,2014,131.0,Almería,1
Alsodux,2013,149.0,Almería,1
Alsodux,2012,149.0,Almería,1
Alsodux,2011,153.0,Almería,1
Alsodux,2010,149.0,Almería,1
Alsodux,2009,155.0,Almería,1
