,Sexo,Municipios,País de nacimiento,Total,Año
222,Ambos sexos,Alhama de Almería,Total Europa,343.0,2013
223,Ambos sexos,Alhama de Almería,Total Europa,302.0,2014
224,Ambos sexos,Alhama de Almería,Total Europa,266.0,2015
225,Ambos sexos,Alhama de Almería,Total Europa,233.0,2016
226,Ambos sexos,Alhama de Almería,Total Europa,216.0,2017
227,Ambos sexos,Alhama de Almería,Total Europa,197.0,2018
228,Ambos sexos,Alhama de Almería,Total Europa,198.0,2019
229,Ambos sexos,Alicún,Europa,2,1998
230,Ambos sexos,Alicún,Europa,2,1999
231,Ambos sexos,Alicún,Europa,2,2000
232,Ambos sexos,Alicún,Europa,2,2001
233,Ambos sexos,Alicún,Total Unión Europea,2.0,2002
234,Ambos sexos,Alicún,Total Europa,2.0,2004
235,Ambos sexos,Alicún,Total Europa,1,2005
236,Ambos sexos,Alicún,Total Europa,3.0,2006
237,Ambos sexos,Alicún,Total Europa,4.0,2007
238,Ambos sexos,Alicún,Total Europa,5.0,2008
239,Ambos sexos,Alicún,Total Europa,6.0,2009
240,Ambos sexos,Alicún,Total Europa,3.0,2010
241,Ambos sexos,Alicún,Total Europa,2.0,2011
242,Ambos sexos,Alicún,Total Europa,2.0,2012
243,Ambos sexos,Alicún,Total Europa,2.0,2013
244,Ambos sexos,Alicún,Total Europa,1.0,2014
245,Ambos sexos,Alicún,Total Europa,1.0,2015
246,Ambos sexos,Alicún,Total Europa,1.0,2016
247,Ambos sexos,Alicún,Total Europa,1.0,2017
248,Ambos sexos,Alicún,Total Europa,2.0,2018
249,Ambos sexos,Alicún,Total Europa,2.0,2019
250,Ambos sexos,Almería,Europa,419,1998
251,Ambos sexos,Almería,Europa,435,1999
252,Ambos sexos,Almería,Europa,483,2000
253,Ambos sexos,Almería,Europa,634,2001
254,Ambos sexos,Almería,Total Unión Europea,563.0,2002
255,Ambos sexos,Almería,Total Europa,3109.0,2004
256,Ambos sexos,Almería,Total Europa,4035,2005
257,Ambos sexos,Almería,Total Europa,4873.0,2006
258,Ambos sexos,Almería,Total Europa,5711.0,2007
259,Ambos sexos,Almería,Total Europa,6515.0,2008
260,Ambos sexos,Almería,Total Europa,7275.0,2009
261,Ambos sexos,Almería,Total Europa,7690.0,2010
262,Ambos sexos,Almería,Total Europa,7817.0,2011
263,Ambos sexos,Almería,Total Europa,8023.0,2012
264,Ambos sexos,Almería,Total Europa,8203.0,2013
265,Ambos sexos,Almería,Total Europa,7574.0,2014
266,Ambos sexos,Almería,Total Europa,7530.0,2015
