,Sexo,Municipios,País de nacimiento,Total,Año
144,Ambos sexos,Almócita,Total Europa,5.0,2015
145,Ambos sexos,Almócita,Total Europa,6.0,2016
146,Ambos sexos,Almócita,Total Europa,5.0,2017
147,Ambos sexos,Almócita,Total Europa,5.0,2018
148,Ambos sexos,Almócita,Total Europa,6.0,2019
149,Ambos sexos,Alsodux,Europa,0,1998
150,Ambos sexos,Alsodux,Europa,0,1999
151,Ambos sexos,Alsodux,Europa,2,2000
152,Ambos sexos,Alsodux,Europa,2,2001
153,Ambos sexos,Alsodux,Total Unión Europea,2.0,2002
154,Ambos sexos,Alsodux,Total Europa,1.0,2004
155,Ambos sexos,Alsodux,Total Europa,3,2005
156,Ambos sexos,Alsodux,Total Europa,2.0,2006
157,Ambos sexos,Alsodux,Total Europa,4.0,2007
158,Ambos sexos,Alsodux,Total Europa,5.0,2008
159,Ambos sexos,Alsodux,Total Europa,7.0,2009
160,Ambos sexos,Alsodux,Total Europa,5.0,2010
161,Ambos sexos,Alsodux,Total Europa,7.0,2011
162,Ambos sexos,Alsodux,Total Europa,8.0,2012
163,Ambos sexos,Alsodux,Total Europa,8.0,2013
164,Ambos sexos,Alsodux,Total Europa,5.0,2014
165,Ambos sexos,Alsodux,Total Europa,6.0,2015
166,Ambos sexos,Alsodux,Total Europa,5.0,2016
167,Ambos sexos,Alsodux,Total Europa,5.0,2017
168,Ambos sexos,Alsodux,Total Europa,6.0,2018
169,Ambos sexos,Alsodux,Total Europa,5.0,2019
170,Ambos sexos,Armuña de Almanzora,Europa,0,1998
171,Ambos sexos,Armuña de Almanzora,Europa,0,1999
172,Ambos sexos,Armuña de Almanzora,Europa,1,2000
173,Ambos sexos,Armuña de Almanzora,Europa,1,2001
174,Ambos sexos,Armuña de Almanzora,Total Unión Europea,0.0,2002
175,Ambos sexos,Armuña de Almanzora,Total Europa,4.0,2004
176,Ambos sexos,Armuña de Almanzora,Total Europa,8,2005
177,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2006
178,Ambos sexos,Armuña de Almanzora,Total Europa,10.0,2007
179,Ambos sexos,Armuña de Almanzora,Total Europa,10.0,2008
180,Ambos sexos,Armuña de Almanzora,Total Europa,14.0,2009
181,Ambos sexos,Armuña de Almanzora,Total Europa,14.0,2010
182,Ambos sexos,Armuña de Almanzora,Total Europa,17.0,2011
183,Ambos sexos,Armuña de Almanzora,Total Europa,17.0,2012
184,Ambos sexos,Armuña de Almanzora,Total Europa,13.0,2013
185,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2014
186,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2015
187,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2016
188,Ambos sexos,Armuña de Almanzora,Total Europa,12.0,2017
189,Ambos sexos,Armuña de Almanzora,Total Europa,20.0,2018
190,Ambos sexos,Armuña de Almanzora,Total Europa,16.0,2019
191,Ambos sexos,Bacares,Europa,0,1998
192,Ambos sexos,Bacares,Europa,0,1999
193,Ambos sexos,Bacares,Europa,0,2000
194,Ambos sexos,Bacares,Europa,1,2001
