Provincia,Municipios,Población,Resultado Izquierda,Resultado Derecha,Diferencia,Fecha,Mes,Año
Córdoba,Cabra,20140,49.5,50.2,-0.7,197706,06,1977
Córdoba,Cañete de las Torres,3531,67.1,32.21,34.89,197706,06,1977
Córdoba,Carcabuey,3149,40.4,56.93,-16.53,197706,06,1977
Córdoba,Cardeña,2792,46.22,53.54,-7.32,197706,06,1977
Córdoba,La Carlota,7776,44.62,55.01,-10.39,197706,06,1977
Córdoba,El Carpio,4928,66.19,30.73,35.46,197706,06,1977
Córdoba,Castro del Río,10287,68.85,30.73,38.12,197706,06,1977
Córdoba,Conquista,686,35.88,63.84,-27.96,197706,06,1977
Córdoba,Córdoba,255250,59.7,39.42,20.28,197706,06,1977
Córdoba,Doña Mencía,5271,62.53,37.19,25.34,197706,06,1977
Córdoba,Dos Torres,2548,16.44,82.74,-66.3,197706,06,1977
Córdoba,Encinas Reales,2288,35.38,64.53,-29.15,197706,06,1977
Córdoba,Espejo,5589,75.29,24.64,50.65,197706,06,1977
Córdoba,Espiel,3308,55.33,44.23,11.1,197706,06,1977
Córdoba,Fernán-Núñez,8629,69.51,30.37,39.14,197706,06,1977
Córdoba,Fuente la Lancha,439,22.36,77.64,-55.28,197706,06,1977
Córdoba,Fuente Obejuna,7180,47.0,52.49,-5.49,197706,06,1977
Córdoba,Fuente Palmera,8040,55.61,44.1,11.51,197706,06,1977
Córdoba,Fuente-Tójar,1161,36.91,62.76,-25.85,197706,06,1977
Córdoba,La Granjuela,655,55.21,44.17,11.04,197706,06,1977
Córdoba,Guadalcázar,2015,51.62,48.06,3.56,197706,06,1977
Córdoba,El Guijo,717,45.08,54.92,-9.84,197706,06,1977
Córdoba,Hinojosa del Duque,8803,41.84,57.56,-15.72,197706,06,1977
Córdoba,Hornachuelos,6012,61.16,37.99,23.17,197706,06,1977
Córdoba,Iznájar,7462,33.09,66.47,-33.38,197706,06,1977
Córdoba,Lucena,29373,31.15,68.58,-37.43,197706,06,1977
Córdoba,Luque,5002,39.89,59.63,-19.74,197706,06,1977
Córdoba,Montalbán de Córdoba,4050,74.2,25.53,48.67,197706,06,1977
Córdoba,Montemayor,4023,81.21,18.69,62.52,197706,06,1977
Córdoba,Montilla,21768,73.3,26.63,46.67,197706,06,1977
Córdoba,Montoro,11247,64.75,35.01,29.74,197706,06,1977
Córdoba,Monturque,2210,35.08,63.11,-28.03,197706,06,1977
Córdoba,Moriles,3661,61.65,35.83,25.82,197706,06,1977
Córdoba,Nueva Carteya,5616,75.93,20.67,55.26,197706,06,1977
Córdoba,Obejo,1900,44.5,55.15,-10.65,197706,06,1977
Córdoba,Palenciana,2023,25.91,74.09,-48.18,197706,06,1977
Córdoba,Palma del Río,17274,55.26,44.63,10.63,197706,06,1977
Córdoba,Pedro Abad,3023,55.02,44.69,10.33,197706,06,1977
Córdoba,Pedroche,2115,24.06,75.27,-51.21,197706,06,1977
Córdoba,Peñarroya-Pueblonuevo,13579,69.7,30.05,39.65,197706,06,1977
Córdoba,Posadas,7183,61.76,37.86,23.9,197706,06,1977
Córdoba,Pozoblanco,13529,58.8,41.0,17.8,197706,06,1977
Córdoba,Priego de Córdoba,20560,25.73,73.75,-48.02,197706,06,1977
Córdoba,Puente Genil,25277,62.32,37.28,25.04,197706,06,1977
Córdoba,La Rambla,7046,72.95,26.87,46.08,197706,06,1977
Córdoba,Rute,9588,48.22,51.55,-3.33,197706,06,1977
Córdoba,San Sebastián de los Ballesteros,767,45.43,54.11,-8.68,197706,06,1977
Córdoba,Santaella,5290,55.71,43.99,11.72,197706,06,1977
Córdoba,Santa Eufemia,1587,49.24,50.07,-0.83,197706,06,1977
Córdoba,Torrecampo,1825,28.12,71.4,-43.28,197706,06,1977
Córdoba,Valenzuela,1760,21.53,78.47,-56.94,197706,06,1977
Córdoba,Valsequillo,824,25.28,73.81,-48.53,197706,06,1977
Córdoba,La Victoria,1703,54.74,44.32,10.42,197706,06,1977
Córdoba,Villa del Río,6599,77.98,21.76,56.22,197706,06,1977
Córdoba,Villafranca de Córdoba,3574,56.8,42.63,14.17,197706,06,1977
Córdoba,Villaharta,829,53.96,46.04,7.92,197706,06,1977
Córdoba,Villanueva de Córdoba,10842,42.87,56.89,-14.02,197706,06,1977
Córdoba,Villanueva del Duque,2281,26.86,72.71,-45.85,197706,06,1977
Córdoba,Villanueva del Rey,1976,47.4,52.39,-4.99,197706,06,1977
Córdoba,Villaralto,2117,72.41,27.43,44.98,197706,06,1977
Córdoba,Villaviciosa de Córdoba,4548,64.03,35.79,28.24,197706,06,1977
Córdoba,El Viso,3861,33.95,65.94,-31.99,197706,06,1977
Córdoba,Zuheros,1498,56.44,43.56,12.88,197706,06,1977
Granada,Agrón,541,60.29,39.71,20.58,197706,06,1977
Granada,Alamedilla,1517,42.15,57.85,-15.7,197706,06,1977
Granada,Albolote,6047,82.48,17.39,65.09,197706,06,1977
Granada,Albondón,1980,4.21,95.68,-91.47,197706,06,1977
Granada,Albuñán,642,20.12,79.57,-59.45,197706,06,1977
Granada,Albuñol,5551,15.62,84.31,-68.69,197706,06,1977
Granada,Albuñuelas,1664,6.65,93.35,-86.7,197706,06,1977
Granada,Aldeire,1088,38.38,61.62,-23.24,197706,06,1977
Granada,Alfacar,3013,38.86,61.14,-22.28,197706,06,1977
Granada,Algarinejo,6765,39.8,59.49,-19.69,197706,06,1977
Granada,Alhama de Granada,7093,47.94,52.0,-4.06,197706,06,1977
Granada,Alhendín,3315,47.59,52.34,-4.75,197706,06,1977
Granada,Alicún de Ortega,1132,35.12,64.88,-29.76,197706,06,1977
Granada,Almegíjar,705,11.35,88.65,-77.3,197706,06,1977
Granada,Almuñécar,15419,46.58,52.9,-6.32,197706,06,1977
Granada,Alquife,1883,39.02,60.98,-21.96,197706,06,1977
Granada,Arenas del Rey,2719,37.12,62.66,-25.54,197706,06,1977
Granada,Armilla,8932,63.01,36.91,26.1,197706,06,1977
Granada,Atarfe,9771,77.63,22.27,55.36,197706,06,1977
Granada,Baza,20113,53.93,45.93,8.0,197706,06,1977
Granada,Beas de Granada,893,27.78,72.22,-44.44,197706,06,1977
Granada,Beas de Guadix,592,55.45,44.55,10.9,197706,06,1977
Granada,Benalúa,3401,64.36,35.09,29.27,197706,06,1977
Granada,Benalúa de las Villas,1467,43.94,55.66,-11.72,197706,06,1977
Granada,Benamaurel,3176,35.31,64.55,-29.24,197706,06,1977
Granada,Bérchules,1922,43.83,56.17,-12.34,197706,06,1977
Granada,Bubión,516,17.28,82.72,-65.44,197706,06,1977
Granada,Busquístar,701,7.14,92.11,-84.97,197706,06,1977
Granada,Cacín,816,56.65,43.35,13.3,197706,06,1977
Granada,Cádiar,2530,10.05,89.95,-79.9,197706,06,1977
Granada,Cájar,1351,49.48,50.37,-0.89,197706,06,1977
Granada,Calicasas,531,50.17,49.83,0.34,197706,06,1977
Granada,Campotéjar,1468,64.64,35.36,29.28,197706,06,1977
Granada,Caniles,8265,27.03,72.74,-45.71,197706,06,1977
Granada,Cáñar,605,21.86,78.14,-56.28,197706,06,1977
Granada,Capileira,797,7.95,92.05,-84.1,197706,06,1977
Granada,Carataunas,220,11.02,88.98,-77.96,197706,06,1977
Granada,Cástaras,589,6.27,91.99,-85.72,197706,06,1977
Granada,Castilléjar,2733,52.39,47.36,5.03,197706,06,1977
Granada,Castril,4499,12.42,86.93,-74.51,197706,06,1977
Granada,Cenes de la Vega,1135,43.35,56.65,-13.3,197706,06,1977
Granada,Cijuela,1066,68.52,31.48,37.04,197706,06,1977
Granada,Cogollos de Guadix,961,41.63,58.37,-16.74,197706,06,1977
Granada,Cogollos de la Vega,2017,29.6,70.02,-40.42,197706,06,1977
Granada,Colomera,2323,60.26,39.33,20.93,197706,06,1977
Granada,Cortes de Baza,3586,36.61,63.07,-26.46,197706,06,1977
Granada,Cortes y Graena,1131,9.16,90.63,-81.47,197706,06,1977
Granada,Cúllar,6199,38.84,61.03,-22.19,197706,06,1977
Granada,Cúllar Vega,1276,22.78,76.26,-53.48,197706,06,1977
Granada,Chauchina,3635,66.27,33.68,32.59,197706,06,1977
Granada,Chimeneas,1899,50.11,49.47,0.64,197706,06,1977
Granada,Churriana de la Vega,3515,44.43,55.51,-11.08,197706,06,1977
Granada,Darro,1646,23.36,76.23,-52.87,197706,06,1977
Granada,Dehesas de Guadix,1097,38.94,60.4,-21.46,197706,06,1977
Granada,Deifontes,2170,71.74,28.26,43.48,197706,06,1977
Granada,Diezma,1191,25.78,74.22,-48.44,197706,06,1977
Granada,Dílar,1282,54.77,44.65,10.12,197706,06,1977
Granada,Dólar,859,60.52,39.48,21.04,197706,06,1977
Granada,Dúdar,265,44.12,55.88,-11.76,197706,06,1977
Granada,Dúrcal,4641,43.61,56.01,-12.4,197706,06,1977
Granada,Escúzar,2286,47.65,52.35,-4.7,197706,06,1977
Granada,Ferreira,629,11.75,88.25,-76.5,197706,06,1977
Granada,Fonelas,2230,55.61,44.24,11.37,197706,06,1977
Granada,Freila,1454,14.83,85.17,-70.34,197706,06,1977
Granada,Fuente Vaqueros,3529,80.04,19.44,60.6,197706,06,1977
Granada,Galera,3566,36.3,50.97,-14.67,197706,06,1977
Granada,Gobernador,396,37.33,62.67,-25.34,197706,06,1977
Granada,Gójar,1554,50.53,49.47,1.06,197706,06,1977
Granada,Gor,2061,20.51,79.27,-58.76,197706,06,1977
Granada,Gorafe,965,63.85,36.15,27.7,197706,06,1977
Granada,Granada,214091,48.86,50.95,-2.09,197706,06,1977
Granada,Guadahortuna,2336,62.67,36.6,26.07,197706,06,1977
Granada,Guadix,19234,48.12,51.73,-3.61,197706,06,1977
Granada,Gualchos,2826,36.49,63.51,-27.02,197706,06,1977
Granada,Güejar Sierra,3333,35.07,64.93,-29.86,197706,06,1977
Granada,Güevéjar,991,42.6,57.4,-14.8,197706,06,1977
Granada,Huélago,871,39.33,60.67,-21.34,197706,06,1977
Granada,Huéneja,2070,16.3,83.48,-67.18,197706,06,1977
Granada,Huéscar,10097,40.43,59.28,-18.85,197706,06,1977
Granada,Huétor de Santillán,1383,37.35,62.35,-25.0,197706,06,1977
Granada,Huétor Tájar,6715,51.43,48.5,2.93,197706,06,1977
Granada,Huétor Vega,4088,66.16,33.84,32.32,197706,06,1977
Granada,Illora,9556,50.84,49.1,1.74,197706,06,1977
Granada,Itrabo,1368,17.17,82.83,-65.66,197706,06,1977
Granada,Iznalloz,6881,72.37,27.37,45.0,197706,06,1977
Granada,Jayena,2002,32.78,67.22,-34.44,197706,06,1977
Granada,Jerez del Marquesado,1721,21.59,78.17,-56.58,197706,06,1977
Granada,Jete,746,10.47,89.53,-79.06,197706,06,1977
Granada,Jun,858,59.47,40.29,19.18,197706,06,1977
