Provincia,Nacionalidad,Año,Total
Málaga,Oceanía,2015,0.0
Málaga,Oceanía,2014,1.0
Málaga,Oceanía,2013,2.0
Sevilla,Total,2019,18433.0
Sevilla,Total,2018,18113.0
Sevilla,Total,2017,17347.0
Sevilla,Total,2016,15637.0
Sevilla,Total,2015,12175.0
Sevilla,Total,2014,11430.0
Sevilla,Total,2013,11585.0
Sevilla,España,2019,17002.0
Sevilla,España,2018,16730.0
Sevilla,España,2017,16084.0
Sevilla,España,2016,14481.0
Sevilla,España,2015,11177.0
Sevilla,España,2014,10417.0
Sevilla,España,2013,10455.0
Sevilla,Unión Europea,2019,531.0
Sevilla,Unión Europea,2018,451.0
Sevilla,Unión Europea,2017,495.0
Sevilla,Unión Europea,2016,424.0
Sevilla,Unión Europea,2015,335.0
Sevilla,Unión Europea,2014,302.0
Sevilla,Unión Europea,2013,345.0
Sevilla,Resto de Europa,2019,65.0
Sevilla,Resto de Europa,2018,52.0
Sevilla,Resto de Europa,2017,54.0
Sevilla,Resto de Europa,2016,45.0
Sevilla,Resto de Europa,2015,94.0
Sevilla,Resto de Europa,2014,40.0
Sevilla,Resto de Europa,2013,31.0
Sevilla,África,2019,358.0
Sevilla,África,2018,387.0
Sevilla,África,2017,315.0
Sevilla,África,2016,293.0
Sevilla,África,2015,240.0
Sevilla,África,2014,292.0
Sevilla,África,2013,261.0
Sevilla,América,2019,393.0
Sevilla,América,2018,438.0
Sevilla,América,2017,361.0
Sevilla,América,2016,360.0
Sevilla,América,2015,305.0
Sevilla,América,2014,345.0
Sevilla,América,2013,430.0
Sevilla,Asia,2019,84.0
Sevilla,Asia,2018,54.0
Sevilla,Asia,2017,38.0
Sevilla,Asia,2016,34.0
Sevilla,Asia,2015,25.0
Sevilla,Asia,2014,33.0
Sevilla,Asia,2013,58.0
Sevilla,Oceanía,2019,0.0
Sevilla,Oceanía,2018,0.0
Sevilla,Oceanía,2017,0.0
Sevilla,Oceanía,2016,0.0
Sevilla,Oceanía,2015,0.0
Sevilla,Oceanía,2014,1.0
Sevilla,Oceanía,2013,5.0
