Municipios,Origen,Total,Año,Provincia
Dalías,Oceanía,0.0,1998,Almería
Enix,Africa,0.0,1998,Almería
Enix,América,0.43103448275862066,1998,Almería
Enix,Asia,0.0,1998,Almería
Enix,Europa,3.0172413793103448,1998,Almería
Enix,Oceanía,0.0,1998,Almería
Felix,Africa,0.0,1998,Almería
Felix,América,0.17699115044247787,1998,Almería
Felix,Asia,0.0,1998,Almería
Felix,Europa,1.7699115044247788,1998,Almería
Felix,Oceanía,0.0,1998,Almería
Fines,Africa,1.1655011655011656,1998,Almería
Fines,América,0.11655011655011654,1998,Almería
Fines,Asia,0.0,1998,Almería
Fines,Europa,0.4079254079254079,1998,Almería
Fines,Oceanía,0.0,1998,Almería
Fiñana,Africa,0.038358266206367474,1998,Almería
Fiñana,América,0.0,1998,Almería
Fiñana,Asia,0.0,1998,Almería
Fiñana,Europa,0.0,1998,Almería
Fiñana,Oceanía,0.0,1998,Almería
Fondón,Africa,0.0,1998,Almería
Fondón,América,0.0,1998,Almería
Fondón,Asia,0.0,1998,Almería
Fondón,Europa,0.4357298474945534,1998,Almería
Fondón,Oceanía,0.0,1998,Almería
Gádor,Africa,0.038804811796662786,1998,Almería
Gádor,América,0.0,1998,Almería
Gádor,Asia,0.0,1998,Almería
Gádor,Europa,0.15521924718665114,1998,Almería
Gádor,Oceanía,0.0,1998,Almería
Los Gallardos,Africa,0.0,1998,Almería
Los Gallardos,América,0.0,1998,Almería
Los Gallardos,Asia,0.05753739930955121,1998,Almería
Los Gallardos,Europa,2.4741081703107017,1998,Almería
Los Gallardos,Oceanía,0.0,1998,Almería
Garrucha,Africa,0.2999400119976005,1998,Almería
Garrucha,América,0.1799640071985603,1998,Almería
Garrucha,Asia,0.07998400319936012,1998,Almería
Garrucha,Europa,1.259748050389922,1998,Almería
Garrucha,Oceanía,0.0,1998,Almería
Gérgal,Africa,0.0,1998,Almería
Gérgal,América,0.0,1998,Almería
Gérgal,Asia,0.0,1998,Almería
Gérgal,Europa,0.0,1998,Almería
Gérgal,Oceanía,0.0,1998,Almería
Huécija,Africa,0.0,1998,Almería
Huécija,América,0.0,1998,Almería
Huécija,Asia,0.0,1998,Almería
Huécija,Europa,0.0,1998,Almería
Huécija,Oceanía,0.0,1998,Almería
Huércal de Almería,Africa,0.0,1998,Almería
Huércal de Almería,América,0.13443118803562426,1998,Almería
Huércal de Almería,Asia,0.06721559401781213,1998,Almería
Huércal de Almería,Europa,0.050411695513359105,1998,Almería
Huércal de Almería,Oceanía,0.0,1998,Almería
Huércal-Overa,Africa,0.1372931570200159,1998,Almería
Huércal-Overa,América,0.20955271334634007,1998,Almería
Huércal-Overa,Asia,0.014451911265264832,1998,Almería
Huércal-Overa,Europa,0.11561529012211866,1998,Almería
Huércal-Overa,Oceanía,0.0,1998,Almería
Illar,Africa,0.0,1998,Almería
Illar,América,0.0,1998,Almería
Illar,Asia,0.0,1998,Almería
Illar,Europa,0.0,1998,Almería
Illar,Oceanía,0.0,1998,Almería
Instinción,Africa,0.0,1998,Almería
Instinción,América,0.1834862385321101,1998,Almería
Instinción,Asia,0.0,1998,Almería
Instinción,Europa,0.0,1998,Almería
Instinción,Oceanía,0.0,1998,Almería
Laroya,Africa,0.0,1998,Almería
Laroya,América,0.0,1998,Almería
Laroya,Asia,0.0,1998,Almería
Laroya,Europa,0.0,1998,Almería
Laroya,Oceanía,0.0,1998,Almería
Láujar de Andarax,Africa,0.0546448087431694,1998,Almería
Láujar de Andarax,América,0.0546448087431694,1998,Almería
Láujar de Andarax,Asia,0.0,1998,Almería
Láujar de Andarax,Europa,0.2185792349726776,1998,Almería
Láujar de Andarax,Oceanía,0.0,1998,Almería
Líjar,Africa,0.0,1998,Almería
Líjar,América,0.0,1998,Almería
Líjar,Asia,0.0,1998,Almería
Líjar,Europa,0.0,1998,Almería
Líjar,Oceanía,0.0,1998,Almería
Lubrín,Africa,0.0,1998,Almería
Lubrín,América,0.0,1998,Almería
Lubrín,Asia,0.0,1998,Almería
Lubrín,Europa,0.5617977528089888,1998,Almería
Lubrín,Oceanía,0.0,1998,Almería
Lucainena de las Torres,Africa,0.17699115044247787,1998,Almería
Lucainena de las Torres,América,0.0,1998,Almería
Lucainena de las Torres,Asia,0.0,1998,Almería
Lucainena de las Torres,Europa,0.5309734513274336,1998,Almería
Lucainena de las Torres,Oceanía,0.0,1998,Almería
Lúcar,Africa,0.0,1998,Almería
Lúcar,América,0.0,1998,Almería
Lúcar,Asia,0.0,1998,Almería
Lúcar,Europa,0.2544529262086514,1998,Almería
Lúcar,Oceanía,0.0,1998,Almería
Macael,Africa,0.0,1998,Almería
Macael,América,0.051475634866163356,1998,Almería
Macael,Asia,0.0,1998,Almería
Macael,Europa,0.051475634866163356,1998,Almería
Macael,Oceanía,0.0,1998,Almería
María,Africa,0.06116207951070336,1998,Almería
María,América,0.0,1998,Almería
María,Asia,0.0,1998,Almería
María,Europa,0.0,1998,Almería
María,Oceanía,0.0,1998,Almería
Mojácar,Africa,0.17679558011049723,1998,Almería
Mojácar,América,2.165745856353591,1998,Almería
Mojácar,Asia,0.44198895027624313,1998,Almería
Mojácar,Europa,40.39779005524862,1998,Almería
Mojácar,Oceanía,0.06629834254143646,1998,Almería
Nacimiento,Africa,0.0,1998,Almería
Nacimiento,América,0.0,1998,Almería
Nacimiento,Asia,0.0,1998,Almería
Nacimiento,Europa,0.0,1998,Almería
Nacimiento,Oceanía,0.0,1998,Almería
Níjar,Africa,2.9014669609243153,1998,Almería
Níjar,América,0.11683759574191872,1998,Almería
Níjar,Asia,0.012981955082435416,1998,Almería
Níjar,Europa,1.2138128002077113,1998,Almería
Níjar,Oceanía,0.006490977541217708,1998,Almería
Ohanes,Africa,0.0,1998,Almería
Ohanes,América,0.0,1998,Almería
Ohanes,Asia,0.0,1998,Almería
Ohanes,Europa,0.0,1998,Almería
Ohanes,Oceanía,0.0,1998,Almería
Olula de Castro,Africa,0.0,1998,Almería
Olula de Castro,América,0.0,1998,Almería
Olula de Castro,Asia,0.0,1998,Almería
Olula de Castro,Europa,2.8089887640449436,1998,Almería
Olula de Castro,Oceanía,0.0,1998,Almería
Olula del Río,Africa,0.15120967741935484,1998,Almería
Olula del Río,América,0.03360215053763441,1998,Almería
Olula del Río,Asia,0.0,1998,Almería
Olula del Río,Europa,0.08400537634408602,1998,Almería
Olula del Río,Oceanía,0.0,1998,Almería
Oria,Africa,0.0,1998,Almería
Oria,América,0.04714757190004715,1998,Almería
Oria,Asia,0.0,1998,Almería
Oria,Europa,0.0942951438000943,1998,Almería
Oria,Oceanía,0.0,1998,Almería
Padules,Africa,0.0,1998,Almería
Padules,América,0.0,1998,Almería
Padules,Asia,0.0,1998,Almería
Padules,Europa,0.0,1998,Almería
Padules,Oceanía,0.0,1998,Almería
Partaloa,Africa,0.0,1998,Almería
Partaloa,América,0.0,1998,Almería
Partaloa,Asia,0.0,1998,Almería
Partaloa,Europa,0.0,1998,Almería
Partaloa,Oceanía,0.0,1998,Almería
Paterna del Río,Africa,0.0,1998,Almería
