Municipios,Año,Resultado Izquierda,Resultado Derecha,Diferencia
Morelábor,2004,59.69,40.32,19.37
Motril,2004,62.78,37.24,25.54
Murtas,2004,38.13,61.87,-23.74
Nevada,2004,75.64,24.36,51.28
Nigüelas,2004,69.73,30.28,39.45
Nívar,2004,50.65,49.36,1.29
Ogíjares,2004,57.8,42.21,15.59
Orce,2004,66.55,33.45,33.1
Otívar,2004,60.18,39.82,20.36
Villa de Otura,2004,54.33,45.68,8.65
Padul,2004,68.69,31.31,37.38
Pampaneira,2004,75.22,24.77,50.45
Pedro Martínez,2004,73.06,26.94,46.12
Peligros,2004,66.5,33.51,32.99
La Peza,2004,51.89,48.11,3.78
El Pinar,2004,66.73,33.28,33.45
Pinos Genil,2004,57.37,42.63,14.74
Pinos Puente,2004,78.85,21.16,57.69
Píñar,2004,79.5,20.5,59.0
Polícar,2004,60.8,39.21,21.59
Polopos,2004,64.42,35.57,28.85
Pórtugos,2004,60.81,39.2,21.61
Puebla de Don Fadrique,2004,59.8,40.18,19.62
Pulianas,2004,71.57,28.43,43.14
Purullena,2004,69.39,30.62,38.77
Quéntar,2004,64.69,35.32,29.37
Rubite,2004,61.36,38.65,22.71
Salar,2004,79.54,20.47,59.07
Salobreña,2004,67.05,32.94,34.11
Santa Cruz del Comercio,2004,64.05,35.96,28.09
Santa Fe,2004,66.55,33.46,33.09
Soportújar,2004,91.67,8.34,83.33
Sorvilán,2004,53.94,46.04,7.9
La Taha,2004,59.94,40.04,19.9
Torre-Cardela,2004,55.93,44.06,11.87
Torvizcón,2004,61.94,38.05,23.89
Trevélez,2004,79.37,20.63,58.74
Turón,2004,28.71,71.29,-42.58
Ugíjar,2004,70.77,29.24,41.53
El Valle,2004,71.67,28.33,43.34
Valle del Zalabí,2004,55.33,44.68,10.65
Válor,2004,63.8,36.21,27.59
Vegas del Genil,2004,68.2,31.81,36.39
Vélez de Benaudalla,2004,66.28,33.73,32.55
Ventas de Huelma,2004,57.71,42.28,15.43
Villamena,2004,78.84,21.16,57.68
Villanueva de las Torres,2004,86.13,13.87,72.26
Villanueva Mesía,2004,69.97,30.03,39.94
Víznar,2004,65.16,34.83,30.33
Zafarraya,2004,76.15,23.85,52.3
Zagra,2004,48.55,51.44,-2.89
La Zubia,2004,63.76,36.23,27.53
Zújar,2004,81.12,18.87,62.25
Alájar,2004,82.87,17.13,65.74
Aljaraque,2004,62.71,37.29,25.42
El Almendro,2004,91.04,8.96,82.08
Almonaster la Real,2004,80.28,19.7,60.58
Almonte,2004,78.1,21.9,56.2
Alosno,2004,83.47,16.52,66.95
Aracena,2004,75.28,24.71,50.57
Aroche,2004,75.71,24.28,51.43
Arroyomolinos de León,2004,82.13,17.87,64.26
Ayamonte,2004,75.47,24.53,50.94
Beas,2004,82.17,17.82,64.35
Berrocal,2004,59.47,40.53,18.94
Bollullos Par del Condado,2004,79.9,20.1,59.8
Bonares,2004,74.03,25.98,48.05
Cabezas Rubias,2004,87.6,12.4,75.2
Cala,2004,78.16,21.83,56.33
Calañas,2004,82.15,17.85,64.3
El Campillo,2004,86.53,13.47,73.06
Campofrío,2004,82.4,17.6,64.8
Cañaveral de León,2004,74.91,25.1,49.81
Cartaya,2004,76.9,23.1,53.8
Castaño del Robledo,2004,89.16,10.83,78.33
El Cerro de Andévalo,2004,87.48,12.52,74.96
Chucena,2004,65.8,34.19,31.61
Corteconcepción,2004,76.31,23.69,52.62
Cortegana,2004,76.94,23.03,53.91
Cortelazor,2004,90.56,9.43,81.13
Cumbres de Enmedio,2004,83.73,16.28,67.45
Cumbres de San Bartolomé,2004,77.87,22.13,55.74
Cumbres Mayores,2004,70.07,29.95,40.12
Encinasola,2004,76.71,23.29,53.42
Escacena del Campo,2004,71.63,28.38,43.25
Fuenteheridos,2004,87.41,12.59,74.82
Galaroza,2004,79.24,20.76,58.48
Gibraleón,2004,61.16,38.83,22.33
La Granada de Río-Tinto,2004,57.59,42.42,15.17
El Granado,2004,91.83,8.16,83.67
Higuera de la Sierra,2004,72.07,27.92,44.15
Hinojales,2004,79.78,20.22,59.56
Hinojos,2004,77.01,22.99,54.02
Huelva,2004,62.94,37.07,25.87
Isla Cristina,2004,70.45,29.55,40.9
Jabugo,2004,81.85,18.15,63.7
Lepe,2004,58.08,41.93,16.15
Linares de la Sierra,2004,80.22,19.77,60.45
Lucena del Puerto,2004,67.74,32.26,35.48
Manzanilla,2004,71.59,28.42,43.17
Los Marines,2004,77.69,22.32,55.37
Minas de Riotinto,2004,82.09,17.92,64.17
Moguer,2004,65.74,34.25,31.49
La Nava,2004,84.26,15.74,68.52
Nerva,2004,85.11,14.9,70.21
Niebla,2004,80.88,19.13,61.75
La Palma del Condado,2004,49.14,50.86,-1.72
Palos de la Frontera,2004,57.5,42.51,14.99
Paterna del Campo,2004,76.72,23.28,53.44
Paymogo,2004,76.95,23.06,53.89
Puebla de Guzmán,2004,78.56,21.43,57.13
Puerto Moral,2004,85.24,14.76,70.48
Punta Umbría,2004,67.71,32.29,35.42
Rociana del Condado,2004,76.98,23.01,53.97
Rosal de la Frontera,2004,69.86,30.14,39.72
San Bartolomé de la Torre,2004,84.95,15.05,69.9
San Juan del Puerto,2004,73.3,26.72,46.58
San Silvestre de Guzmán,2004,79.79,20.22,59.57
Sanlúcar de Guadiana,2004,51.73,48.27,3.46
Santa Ana la Real,2004,84.34,15.66,68.68
Santa Bárbara de Casa,2004,78.85,21.16,57.69
Santa Olalla del Cala,2004,80.05,19.97,60.08
Trigueros,2004,78.89,21.11,57.78
Valdelarco,2004,71.59,28.4,43.19
Valverde del Camino,2004,79.79,20.2,59.59
Villablanca,2004,69.8,30.21,39.59
Villalba del Alcor,2004,78.17,21.81,56.36
Villanueva de las Cruces,2004,74.04,25.96,48.08
Villanueva de los Castillejos,2004,77.33,22.68,54.65
Villarrasa,2004,76.07,23.93,52.14
Zalamea la Real,2004,83.05,16.93,66.12
Zufre,2004,81.95,18.05,63.9
Alcalá la Real,2004,71.28,28.74,42.54
Alcaudete,2004,66.65,33.35,33.3
Aldeaquemada,2004,45.12,54.89,-9.77
Andújar,2004,64.68,35.32,29.36
Arjona,2004,76.83,23.16,53.67
Arjonilla,2004,75.0,25.0,50.0
Arquillos,2004,82.14,17.87,64.27
Baeza,2004,57.97,42.03,15.94
Bailén,2004,67.45,32.56,34.89
Baños de la Encina,2004,81.61,18.39,63.22
Beas de Segura,2004,63.11,36.9,26.21
Bedmar y Garcíez,2004,71.36,28.64,42.72
Begíjar,2004,74.8,25.21,49.59
Bélmez de la Moraleda,2004,68.22,31.77,36.45
Benatae,2004,68.39,31.6,36.79
Cabra del Santo Cristo,2004,66.45,33.56,32.89
Cambil,2004,82.72,17.28,65.44
Campillo de Arenas,2004,74.57,25.44,49.13
Canena,2004,74.23,25.76,48.47
Carboneros,2004,75.6,24.39,51.21
Cárcheles,2004,61.75,38.26,23.49
La Carolina,2004,54.15,45.85,8.3
Castellar,2004,63.53,36.46,27.07
Castillo de Locubín,2004,61.39,38.62,22.77
Cazalilla,2004,64.88,35.12,29.76
Cazorla,2004,67.73,32.27,35.46
Chiclana de Segura,2004,46.86,53.14,-6.28
Chilluévar,2004,67.13,32.88,34.25
Escañuela,2004,79.27,20.72,58.55
Espelúy,2004,80.28,19.73,60.55
Frailes,2004,71.97,28.04,43.93
Fuensanta de Martos,2004,69.87,30.12,39.75
Fuerte del Rey,2004,59.93,40.07,19.86
Génave,2004,71.36,28.64,42.72
La Guardia de Jaén,2004,57.13,42.87,14.26
Guarromán,2004,70.17,29.82,40.35
Higuera de Calatrava,2004,64.48,35.52,28.96
Hinojares,2004,56.41,43.59,12.82
Hornos,2004,61.78,38.24,23.54
Huelma,2004,70.18,29.8,40.38
Huesa,2004,76.36,23.64,52.72
Ibros,2004,76.65,23.35,53.3
La Iruela,2004,69.1,30.91,38.19
Iznatoraf,2004,48.97,51.04,-2.07
Jabalquinto,2004,84.8,15.2,69.6
Jaén,2004,55.42,44.58,10.84
Jamilena,2004,65.75,34.24,31.51
Jimena,2004,63.87,36.13,27.74
Jódar,2004,82.8,17.2,65.6
Lahiguera,2004,77.24,22.75,54.49
Larva,2004,71.52,28.49,43.03
Linares,2004,69.86,30.15,39.71
Lopera,2004,76.3,23.69,52.61
Lupión,2004,75.3,24.7,50.6
Mancha Real,2004,70.34,29.65,40.69
Marmolejo,2004,75.02,24.98,50.04
Martos,2004,72.95,27.04,45.91
Mengíbar,2004,66.94,33.05,33.89
Montizón,2004,64.22,35.79,28.43
Navas de San Juan,2004,73.44,26.57,46.87
Noalejo,2004,55.56,44.45,11.11
Orcera,2004,60.28,39.72,20.56
Peal de Becerro,2004,69.36,30.64,38.72
Pegalajar,2004,70.28,29.72,40.56
Porcuna,2004,65.19,34.81,30.38
Pozo Alcón,2004,73.28,26.72,46.56
Puente de Génave,2004,61.02,38.98,22.04
La Puerta de Segura,2004,71.77,28.23,43.54
Quesada,2004,69.65,30.36,39.29
Rus,2004,70.04,29.96,40.08
Sabiote,2004,67.09,32.92,34.17
Santa Elena,2004,69.21,30.78,38.43
Santiago de Calatrava,2004,63.89,36.11,27.78
Santiago-Pontones,2004,68.35,31.64,36.71
Santisteban del Puerto,2004,69.97,30.03,39.94
Santo Tomé,2004,73.83,26.17,47.66
Segura de la Sierra,2004,76.32,23.69,52.63
Siles,2004,62.27,37.71,24.56
Sorihuela del Guadalimar,2004,67.88,32.12,35.76
Torreblascopedro,2004,77.19,22.82,54.37
Torredonjimeno,2004,77.49,22.5,54.99
Torreperogil,2004,78.41,21.58,56.83
Torres,2004,56.64,43.36,13.28
Torres de Albánchez,2004,54.33,45.67,8.66
Valdepeñas de Jaén,2004,80.72,19.28,61.44
Vilches,2004,80.59,19.41,61.18
Villacarrillo,2004,63.4,36.6,26.8
Villanueva de la Reina,2004,80.95,19.06,61.89
Villanueva del Arzobispo,2004,66.54,33.46,33.08
Villardompardo,2004,63.25,36.76,26.49
Los Villares,2004,63.2,36.79,26.41
Villarrodrigo,2004,63.27,36.73,26.54
Villatorres,2004,65.62,34.4,31.22
Alameda,2004,82.91,17.09,65.82
Alcaucín,2004,70.73,29.26,41.47
Alfarnate,2004,74.02,25.98,48.04
Alfarnatejo,2004,64.71,35.29,29.42
Algarrobo,2004,68.06,31.94,36.12
Algatocín,2004,85.92,14.08,71.84
Alhaurín de la Torre,2004,59.42,40.58,18.84
Alhaurín el Grande,2004,60.88,39.12,21.76
Almáchar,2004,77.42,22.58,54.84
Almargen,2004,74.33,25.68,48.65
Almogía,2004,80.12,19.88,60.24
Alozaina,2004,82.37,17.63,64.74
Alpandeire,2004,77.6,22.4,55.2
Antequera,2004,67.07,32.93,34.14
Archidona,2004,77.26,22.76,54.5
Ardales,2004,77.82,22.18,55.64
Arenas,2004,71.49,28.5,42.99
Arriate,2004,80.35,19.65,60.7
Atajate,2004,57.0,42.99,14.01
Benadalid,2004,72.02,27.98,44.04
Benahavís,2004,47.56,52.43,-4.87
Benalauría,2004,69.11,30.9,38.21
Benalmádena,2004,61.13,38.87,22.26
Benamargosa,2004,68.82,31.19,37.63
Benamocarra,2004,86.09,13.89,72.2
Benaoján,2004,78.29,21.72,56.57
Benarrabá,2004,63.71,36.28,27.43
El Borge,2004,95.33,4.66,90.67
El Burgo,2004,88.19,11.81,76.38
Campillos,2004,75.19,24.8,50.39
Canillas de Aceituno,2004,80.59,19.41,61.18
Canillas de Albaida,2004,59.69,40.31,19.38
Cañete la Real,2004,79.76,20.25,59.51
Carratraca,2004,79.61,20.4,59.21
Cartajima,2004,49.7,50.31,-0.61
Cártama,2004,73.97,26.04,47.93
Casabermeja,2004,81.4,18.6,62.8
Casarabonela,2004,70.71,29.28,41.43
Casares,2004,82.58,17.43,65.15
Coín,2004,73.12,26.88,46.24
Colmenar,2004,77.51,22.48,55.03
Comares,2004,59.8,40.19,19.61
Cómpeta,2004,69.13,30.87,38.26
Cortes de la Frontera,2004,80.87,19.14,61.73
Cuevas Bajas,2004,86.36,13.65,72.71
Cuevas de San Marcos,2004,71.35,28.65,42.7
Cuevas del Becerro,2004,87.22,12.78,74.44
Cútar,2004,63.31,36.68,26.63
Estepona,2004,67.52,32.47,35.05
Faraján,2004,61.46,38.55,22.91
Frigiliana,2004,73.44,26.56,46.88
Fuengirola,2004,55.99,43.99,12.0
Fuente de Piedra,2004,70.09,29.9,40.19
Gaucín,2004,66.06,33.95,32.11
Genalguacil,2004,81.95,18.06,63.89
Guaro,2004,77.23,22.76,54.47
Humilladero,2004,84.25,15.75,68.5
Igualeja,2004,53.15,46.85,6.3
Istán,2004,69.21,30.79,38.42
Iznate,2004,61.83,38.17,23.66
Jimera de Líbar,2004,54.12,45.89,8.23
Jubrique,2004,74.85,25.15,49.7
Júzcar,2004,37.77,62.24,-24.47
Macharaviaya,2004,59.42,40.58,18.84
Málaga,2004,59.95,40.04,19.91
Manilva,2004,74.96,25.05,49.91
Marbella,2004,62.23,37.76,24.47
Mijas,2004,67.93,32.07,35.86
Moclinejo,2004,81.71,18.29,63.42
Mollina,2004,75.54,24.46,51.08
Monda,2004,76.31,23.69,52.62
Montejaque,2004,78.7,21.29,57.41
Nerja,2004,60.88,39.13,21.75
Ojén,2004,78.09,21.91,56.18
Parauta,2004,66.48,33.52,32.96
Periana,2004,78.51,21.5,57.01
Pizarra,2004,75.89,24.11,51.78
Pujerra,2004,47.01,52.99,-5.98
Rincón de la Victoria,2004,57.4,42.61,14.79
Riogordo,2004,71.73,28.28,43.45
Ronda,2004,66.27,33.75,32.52
Salares,2004,70.93,29.08,41.85
Sayalonga,2004,76.49,23.51,52.98
Sedella,2004,74.22,25.77,48.45
Sierra de Yeguas,2004,71.53,28.47,43.06
Teba,2004,83.82,16.18,67.64
Tolox,2004,68.77,31.23,37.54
Torremolinos,2004,52.73,47.27,5.46
Torrox,2004,69.94,30.06,39.88
Totalán,2004,80.05,19.96,60.09
Valle de Abdalajís,2004,69.98,30.01,39.97
Vélez-Málaga,2004,65.05,34.96,30.09
Villanueva de Algaidas,2004,81.06,18.96,62.1
Villanueva del Rosario,2004,80.26,19.74,60.52
Villanueva del Trabuco,2004,77.14,22.87,54.27
Villanueva de Tapia,2004,74.6,25.4,49.2
Viñuela,2004,78.9,21.1,57.8
Yunquera,2004,82.96,17.04,65.92
Aguadulce,2004,76.0,24.0,52.0
Alanís,2004,65.97,34.02,31.95
Albaida del Aljarafe,2004,66.17,33.84,32.33
Alcalá de Guadaíra,2004,75.03,24.98,50.05
Alcalá del Río,2004,81.15,18.84,62.31
Alcolea del Río,2004,79.69,20.33,59.36
La Algaba,2004,84.04,15.96,68.08
Algámitas,2004,86.8,13.2,73.6
Almadén de la Plata,2004,66.72,33.26,33.46
Almensilla,2004,73.57,26.43,47.14
Arahal,2004,83.9,16.11,67.79
Aznalcázar,2004,75.36,24.63,50.73
Aznalcóllar,2004,87.82,12.17,75.65
Badolatosa,2004,89.59,10.41,79.18
Benacazón,2004,82.2,17.82,64.38
Bollullos de la Mitación,2004,66.4,33.6,32.8
Bormujos,2004,67.33,32.67,34.66
Brenes,2004,86.02,13.98,72.04
Burguillos,2004,80.06,19.94,60.12
Las Cabezas de San Juan,2004,82.96,17.04,65.92
Camas,2004,79.99,19.99,60.0
La Campana,2004,88.92,11.08,77.84
Cantillana,2004,77.72,22.28,55.44
Cañada Rosal,2004,93.92,6.09,87.83
Carmona,2004,76.81,23.18,53.63
Carrión de los Céspedes,2004,68.46,31.55,36.91
Casariche,2004,91.49,8.5,82.99
Castilblanco de los Arroyos,2004,78.57,21.42,57.15
Castilleja de Guzmán,2004,67.19,32.8,34.39
Castilleja de la Cuesta,2004,72.4,27.6,44.8
Castilleja del Campo,2004,72.92,27.08,45.84
El Castillo de las Guardas,2004,83.27,16.73,66.54
Cazalla de la Sierra,2004,80.33,19.66,60.67
Constantina,2004,77.95,22.06,55.89
Coria del Río,2004,84.49,15.48,69.01
Coripe,2004,68.95,31.04,37.91
El Coronil,2004,85.23,14.76,70.47
Los Corrales,2004,92.35,7.65,84.7
El Cuervo de Sevilla,2004,84.04,15.94,68.1
Dos Hermanas,2004,76.27,23.72,52.55
Écija,2004,70.85,29.14,41.71
Espartinas,2004,55.36,44.63,10.73
Estepa,2004,73.13,26.87,46.26
Fuentes de Andalucía,2004,84.83,15.18,69.65
El Garrobo,2004,85.94,14.05,71.89
Gelves,2004,66.22,33.78,32.44
Gerena,2004,82.0,18.02,63.98
Gilena,2004,86.74,13.25,73.49
Gines,2004,59.24,40.76,18.48
Guadalcanal,2004,75.25,24.76,50.49
Guillena,2004,85.57,14.45,71.12
Herrera,2004,73.0,27.01,45.99
Lebrija,2004,82.68,17.32,65.36
Lora de Estepa,2004,78.49,21.51,56.98
Lora del Río,2004,76.28,23.73,52.55
La Luisiana,2004,89.03,10.96,78.07
El Madroño,2004,69.74,30.28,39.46
Mairena del Alcor,2004,72.38,27.61,44.77
Mairena del Aljarafe,2004,69.9,30.09,39.81
Marchena,2004,77.91,22.09,55.82
Marinaleda,2004,91.05,8.95,82.1
Martín de la Jara,2004,93.48,6.5,86.98
Los Molares,2004,85.79,14.22,71.57
Montellano,2004,82.78,17.22,65.56
Morón de la Frontera,2004,77.86,22.13,55.73
Las Navas de la Concepción,2004,83.68,16.31,67.37
Olivares,2004,66.61,33.38,33.23
Osuna,2004,76.37,23.63,52.74
Los Palacios y Villafranca,2004,81.09,18.91,62.18
Palomares del Río,2004,70.59,29.4,41.19
Paradas,2004,81.27,18.72,62.55
Pedrera,2004,88.76,11.23,77.53
El Pedroso,2004,78.11,21.89,56.22
Peñaflor,2004,77.98,22.03,55.95
Pilas,2004,76.95,23.05,53.9
Pruna,2004,73.96,26.05,47.91
La Puebla de Cazalla,2004,80.68,19.32,61.36
La Puebla de los Infantes,2004,77.78,22.22,55.56
La Puebla del Río,2004,85.41,14.6,70.81
El Real de la Jara,2004,72.7,27.3,45.4
La Rinconada,2004,82.77,17.22,65.55
La Roda de Andalucía,2004,80.9,19.08,61.82
El Ronquillo,2004,81.17,18.84,62.33
El Rubio,2004,79.87,20.13,59.74
Salteras,2004,67.3,32.68,34.62
San Juan de Aznalfarache,2004,76.84,23.15,53.69
Sanlúcar la Mayor,2004,70.39,29.61,40.78
San Nicolás del Puerto,2004,75.63,24.36,51.27
Santiponce,2004,85.75,14.25,71.5
El Saucejo,2004,71.21,28.8,42.41
Sevilla,2004,64.43,35.58,28.85
Tocina,2004,83.33,16.67,66.66
Tomares,2004,57.08,42.92,14.16
Umbrete,2004,73.22,26.79,46.43
Utrera,2004,78.98,21.02,57.96
Valencina de la Concepción,2004,63.48,36.51,26.97
Villamanrique de la Condesa,2004,81.86,18.14,63.72
Villanueva del Ariscal,2004,60.83,39.17,21.66
Villanueva del Río y Minas,2004,78.11,21.89,56.22
Villanueva de San Juan,2004,74.01,25.99,48.02
Villaverde del Río,2004,71.84,28.15,43.69
El Viso del Alcor,2004,84.74,15.27,69.47
Abla,2008,58.74,41.27,17.47
Abrucena,2008,62.38,37.62,24.76
Adra,2008,34.52,65.48,-30.96
Albánchez,2008,70.71,29.29,41.42
Alboloduy,2008,45.45,54.54,-9.09
Albox,2008,56.74,43.27,13.47
Alcolea,2008,65.89,34.12,31.77
Alcóntar,2008,41.56,58.43,-16.87
Alcudia de Monteagud,2008,55.92,44.06,11.86
Alhabia,2008,68.7,31.31,37.39
Alhama de Almería,2008,66.02,33.98,32.04
Alicún,2008,51.53,48.47,3.06
Almería,2008,45.27,54.72,-9.45
Almócita,2008,71.32,28.69,42.63
Alsodux,2008,57.25,42.75,14.5
Antas,2008,39.12,60.87,-21.75
Arboleas,2008,64.16,35.83,28.33
Armuña de Almanzora,2008,62.11,37.89,24.22
Bacares,2008,60.96,39.05,21.91
Bayárcal,2008,54.73,45.27,9.46
Bayarque,2008,62.92,37.08,25.84
Bédar,2008,59.8,40.2,19.6
Beires,2008,38.98,61.02,-22.04
Benahadux,2008,48.57,51.43,-2.86
Benitagla,2008,17.91,82.09,-64.18
Benizalón,2008,36.56,63.43,-26.87
Bentarique,2008,69.99,30.0,39.99
Berja,2008,41.97,58.04,-16.07
Canjáyar,2008,55.16,44.83,10.33
Cantoria,2008,60.14,39.86,20.28
Carboneras,2008,51.71,48.29,3.42
Castro de Filabres,2008,69.53,30.47,39.06
Chercos,2008,49.26,50.75,-1.49
Chirivel,2008,74.46,25.55,48.91
Cóbdar,2008,55.38,44.63,10.75
Cuevas del Almanzora,2008,45.24,54.75,-9.51
Dalías,2008,41.81,58.17,-16.36
El Ejido,2008,28.41,71.59,-43.18
Enix,2008,45.09,54.92,-9.83
Felix,2008,42.29,57.71,-15.42
Fines,2008,48.4,51.59,-3.19
Fiñana,2008,75.34,24.65,50.69
Fondón,2008,61.02,38.98,22.04
Gádor,2008,49.67,50.33,-0.66
Los Gallardos,2008,53.47,46.53,6.94
Garrucha,2008,43.66,56.34,-12.68
Gérgal,2008,58.55,41.44,17.11
Huécija,2008,52.26,47.74,4.52
Huércal de Almería,2008,48.97,51.03,-2.06
Huércal-Overa,2008,48.11,51.88,-3.77
Illar,2008,38.14,61.86,-23.72
Instinción,2008,60.21,39.79,20.42
Laroya,2008,42.36,57.64,-15.28
Láujar de Andarax,2008,60.21,39.78,20.43
Líjar,2008,64.92,35.07,29.85
Lubrín,2008,71.55,28.46,43.09
Lucainena de las Torres,2008,44.99,55.02,-10.03
Lúcar,2008,74.77,25.24,49.53
Macael,2008,58.45,41.54,16.91
María,2008,60.5,39.49,21.01
Mojácar,2008,43.45,56.58,-13.13
La Mojonera,2008,28.33,71.67,-43.34
Nacimiento,2008,58.51,41.48,17.03
Níjar,2008,35.64,64.35,-28.71
Ohanes,2008,68.02,31.98,36.04
Olula de Castro,2008,28.98,71.02,-42.04
Olula del Río,2008,58.5,41.5,17.0
Oria,2008,56.27,43.73,12.54
Padules,2008,70.89,29.1,41.79
Partaloa,2008,48.39,51.6,-3.21
Paterna del Río,2008,36.39,63.61,-27.22
Pechina,2008,47.18,52.82,-5.64
Pulpí,2008,50.37,49.62,0.75
Purchena,2008,66.2,33.8,32.4
Rágol,2008,50.8,49.21,1.59
Rioja,2008,58.72,41.3,17.42
Roquetas de Mar,2008,37.13,62.88,-25.75
Santa Cruz de Marchena,2008,36.69,63.31,-26.62
Santa Fe de Mondújar,2008,71.74,28.28,43.46
Senés,2008,46.22,53.78,-7.56
Serón,2008,65.22,34.77,30.45
Sierro,2008,67.68,32.31,35.37
Somontín,2008,41.54,58.47,-16.93
Sorbas,2008,48.62,51.38,-2.76
Suflí,2008,55.47,44.52,10.95
Tabernas,2008,58.0,41.99,16.01
Taberno,2008,56.2,43.8,12.4
Tahal,2008,61.09,38.91,22.18
Terque,2008,68.4,31.59,36.81
Tíjola,2008,57.34,42.66,14.68
Las Tres Villas,2008,60.5,39.49,21.01
Turre,2008,43.52,56.48,-12.96
Turrillas,2008,19.6,80.39,-60.79
Uleila del Campo,2008,59.24,40.76,18.48
Urrácal,2008,43.94,56.07,-12.13
Velefique,2008,68.83,31.17,37.66
Vélez-Blanco,2008,61.56,38.44,23.12
Vélez-Rubio,2008,51.11,48.89,2.22
Vera,2008,42.64,57.36,-14.72
Viator,2008,50.14,49.87,0.27
Vícar,2008,42.28,57.72,-15.44
Zurgena,2008,47.96,52.05,-4.09
Alcalá de los Gazules,2008,73.69,26.3,47.39
Alcalá del Valle,2008,91.06,8.94,82.12
Algar,2008,67.64,32.37,35.27
Algeciras,2008,59.2,40.81,18.39
Algodonales,2008,76.11,23.88,52.23
Arcos de la Frontera,2008,67.83,32.17,35.66
Barbate,2008,69.23,30.77,38.46
Los Barrios,2008,67.5,32.48,35.02
Benaocaz,2008,54.31,45.69,8.62
Bornos,2008,73.09,26.92,46.17
El Bosque,2008,65.53,34.47,31.06
Cádiz,2008,53.33,46.66,6.67
Castellar de la Frontera,2008,71.77,28.22,43.55
Chiclana de la Frontera,2008,54.36,45.63,8.73
Chipiona,2008,60.11,39.89,20.22
Conil de la Frontera,2008,65.5,34.49,31.01
Espera,2008,78.2,21.79,56.41
El Gastor,2008,57.11,42.88,14.23
Grazalema,2008,60.57,39.42,21.15
Jerez de la Frontera,2008,60.44,39.57,20.87
Jimena de la Frontera,2008,70.17,29.83,40.34
La Línea de la Concepción,2008,55.07,44.94,10.13
Medina-Sidonia,2008,77.84,22.17,55.67
Olvera,2008,66.49,33.5,32.99
Paterna de Rivera,2008,82.57,17.43,65.14
Prado del Rey,2008,63.45,36.54,26.91
El Puerto de Santa María,2008,51.28,48.72,2.56
Puerto Real,2008,77.05,22.94,54.11
Puerto Serrano,2008,78.98,21.02,57.96
Rota,2008,53.62,46.39,7.23
San Fernando,2008,57.11,42.9,14.21
San José del Valle,2008,57.38,42.61,14.77
San Roque,2008,61.94,38.06,23.88
Sanlúcar de Barrameda,2008,70.19,29.81,40.38
Setenil de las Bodegas,2008,76.0,24.01,51.99
Tarifa,2008,61.35,38.65,22.7
Torre Alháquime,2008,71.76,28.24,43.52
Trebujena,2008,85.26,14.73,70.53
Ubrique,2008,64.78,35.22,29.56
Vejer de la Frontera,2008,61.66,38.34,23.32
Villaluenga del Rosario,2008,72.01,28.0,44.01
Villamartín,2008,66.61,33.38,33.23
Zahara,2008,71.06,28.94,42.12
Adamuz,2008,65.4,34.59,30.81
Aguilar de la Frontera,2008,76.98,23.02,53.96
Alcaracejos,2008,61.62,38.4,23.22
Almedinilla,2008,62.48,37.52,24.96
Almodóvar del Río,2008,73.77,26.25,47.52
Añora,2008,47.78,52.23,-4.45
Baena,2008,67.49,32.5,34.99
Belalcázar,2008,60.54,39.48,21.06
Belmez,2008,68.22,31.77,36.45
Benamejí,2008,75.13,24.86,50.27
Los Blázquez,2008,50.2,49.81,0.39
Bujalance,2008,77.59,22.41,55.18
Cabra,2008,62.9,37.11,25.79
Cañete de las Torres,2008,81.17,18.84,62.33
Carcabuey,2008,69.38,30.63,38.75
Cardeña,2008,69.69,30.31,39.38
La Carlota,2008,72.19,27.79,44.4
El Carpio,2008,62.29,37.72,24.57
Castro del Río,2008,74.39,25.62,48.77
Conquista,2008,64.69,35.31,29.38
Córdoba,2008,50.96,49.04,1.92
Doña Mencía,2008,82.1,17.89,64.21
Dos Torres,2008,51.09,48.9,2.19
Encinas Reales,2008,70.9,29.09,41.81
Espejo,2008,79.38,20.63,58.75
Espiel,2008,64.58,35.42,29.16
Fernán-Núñez,2008,74.4,25.62,48.78
Fuente la Lancha,2008,68.16,31.83,36.33
Fuente Obejuna,2008,67.18,32.83,34.35
Fuente Palmera,2008,76.26,23.76,52.5
Fuente-Tójar,2008,72.53,27.48,45.05
La Granjuela,2008,55.76,44.24,11.52
Guadalcázar,2008,67.72,32.28,35.44
El Guijo,2008,56.87,43.14,13.73
Hinojosa del Duque,2008,52.46,47.54,4.92
Hornachuelos,2008,77.4,22.6,54.8
Iznájar,2008,67.75,32.25,35.5
Lucena,2008,55.32,44.66,10.66
Luque,2008,70.21,29.8,40.41
Montalbán de Córdoba,2008,75.46,24.54,50.92
Montemayor,2008,76.85,23.15,53.7
Montilla,2008,69.54,30.46,39.08
Montoro,2008,75.27,24.73,50.54
Monturque,2008,78.98,21.04,57.94
Moriles,2008,80.28,19.71,60.57
Nueva Carteya,2008,81.17,18.82,62.35
Obejo,2008,71.3,28.7,42.6
Palenciana,2008,81.3,18.71,62.59
Palma del Río,2008,71.05,28.95,42.1
Pedro Abad,2008,66.64,33.35,33.29
Pedroche,2008,58.41,41.59,16.82
Peñarroya-Pueblonuevo,2008,60.62,39.39,21.23
Posadas,2008,72.12,27.88,44.24
Pozoblanco,2008,62.55,37.45,25.1
Priego de Córdoba,2008,63.37,36.62,26.75
Puente Genil,2008,68.53,31.47,37.06
