,Municipio,variable,value
461,Torre-Cardela,abril_2006,2.38
462,Torrecampo,abril_2006,3.48
463,Torres,abril_2006,1.66
464,Valenzuela,abril_2006,4.77
465,Villamena,abril_2006,0.7
466,Villanueva de San Juan,abril_2006,0.92
467,Villanueva de Tapia,abril_2006,8.67
468,Villanueva del Duque,abril_2006,2.22
469,Villanueva del Rey,abril_2006,3.84
470,Villaralto,abril_2006,4.74
471,Villardompardo,abril_2006,2.59
472,Viñuela,abril_2006,1.9
473,Zagra,abril_2006,8.44
474,Zahara,abril_2006,5.22
475,Ítrabo,abril_2006,2.69
476,Abla,mayo_2006,2.13
477,Abrucena,mayo_2006,4.78
478,Aguadulce,mayo_2006,10.2
479,Alanís,mayo_2006,4.6
480,Albanchez de Mágina,mayo_2006,2.26
481,Albuñuelas,mayo_2006,3.36
482,Alcaracejos,mayo_2006,3.7
483,Alcaucín,mayo_2006,1.87
484,Alfarnate,mayo_2006,3.75
485,Algar,mayo_2006,3.78
486,Algámitas,mayo_2006,3.76
487,Almadén de la Plata,mayo_2006,1.33
488,Almonaster la Real,mayo_2006,1.77
489,Almáchar,mayo_2006,1.94
490,Alpujarra de la Sierra,mayo_2006,3.24
491,Arenas,mayo_2006,4.41
492,Arquillos,mayo_2006,5.24
493,Arroyomolinos de León,mayo_2006,2.45
494,Añora,mayo_2006,1.04
495,Beas de Granada,mayo_2006,0.92
496,Benalúa de las Villas,mayo_2006,2.0
497,Benamargosa,mayo_2006,3.67
498,Benaoján,mayo_2006,1.86
499,Bélmez de la Moraleda,mayo_2006,2.71
500,Cala,mayo_2006,1.91
501,Campotéjar,mayo_2006,2.73
502,Canjáyar,mayo_2006,1.15
503,Cardeña,mayo_2006,3.37
504,Castilléjar,mayo_2006,4.14
505,Chiclana de Segura,mayo_2006,5.29
506,Chilluévar,mayo_2006,3.44
507,Chimeneas,mayo_2006,6.52
508,Chirivel,mayo_2006,2.55
509,Colomera,mayo_2006,2.48
510,Comares,mayo_2006,0.79
511,Coripe,mayo_2006,2.51
512,Cortes y Graena,mayo_2006,0.74
513,Cuevas Bajas,mayo_2006,4.41
514,Cuevas del Becerro,mayo_2006,2.17
515,Cádiar,mayo_2006,3.39
516,Cárcheles,mayo_2006,5.62
517,Darro,mayo_2006,2.99
518,Dílar,mayo_2006,0.94
519,El Castillo de las Guardas,mayo_2006,4.43
520,El Gastor,mayo_2006,3.42
521,El Pinar,mayo_2006,2.3
522,El Real de la Jara,mayo_2006,0.98
523,El Ronquillo,mayo_2006,5.17
524,El Valle,mayo_2006,6.37
525,Encinasola,mayo_2006,1.47
526,Fonelas,mayo_2006,3.76
527,Frailes,mayo_2006,3.9
528,Freila,mayo_2006,9.22
529,Fuerte del Rey,mayo_2006,2.29
530,Galaroza,mayo_2006,2.05
531,Galera,mayo_2006,7.15
532,Gaucín,mayo_2006,1.28
533,Guadalcázar,mayo_2006,10.63
534,Gérgal,mayo_2006,6.43
535,Higuera de la Sierra,mayo_2006,7.35
536,Huéneja,mayo_2006,2.44
537,Huétor de Santillán,mayo_2006,1.23
538,Istán,mayo_2006,6.08
539,Iznatoraf,mayo_2006,2.86
540,Jayena,mayo_2006,3.81
541,Jerez del Marquesado,mayo_2006,3.12
542,Jimena,mayo_2006,1.73
543,La Iruela,mayo_2006,5.43
544,La Malahá,mayo_2006,4.58
545,La Peza,mayo_2006,1.1
546,La Victoria,mayo_2006,5.53
547,Lahiguera,mayo_2006,6.29
548,Las Navas de la Concepción,mayo_2006,4.91
549,Los Guajares,mayo_2006,3.52
550,Lubrín,mayo_2006,1.33
551,Lupión,mayo_2006,1.29
552,Láujar de Andarax,mayo_2006,2.11
553,María,mayo_2006,2.81
554,Moclinejo,mayo_2006,2.42
555,Montejaque,mayo_2006,1.38
556,Montillana,mayo_2006,4.35
557,Montizón,mayo_2006,2.86
558,Nevada,mayo_2006,4.41
559,Obejo,mayo_2006,1.56
560,Orce,mayo_2006,3.82
561,Otívar,mayo_2006,3.23
562,Palenciana,mayo_2006,4.04
563,Paymogo,mayo_2006,1.34
564,Pedro Martínez,mayo_2006,5.59
565,Pedroche,mayo_2006,3.16
566,Pinos Genil,mayo_2006,1.6
567,Polopos,mayo_2006,4.05
568,Purchena,mayo_2006,2.78
569,Píñar,mayo_2006,2.72
570,Quéntar,mayo_2006,1.06
571,Rioja,mayo_2006,1.69
572,Rosal de la Frontera,mayo_2006,2.31
573,Santa Bárbara de Casa,mayo_2006,1.55
574,Santa Elena,mayo_2006,4.39
575,Santa Eufemia,mayo_2006,3.01
576,Sayalonga,mayo_2006,2.47
577,Segura de la Sierra,mayo_2006,4.19
578,Sorihuela del Guadalimar,mayo_2006,4.91
579,Taberno,mayo_2006,1.27
580,Torre-Cardela,mayo_2006,2.93
581,Torrecampo,mayo_2006,3.26
582,Torres,mayo_2006,1.25
583,Valenzuela,mayo_2006,4.62
584,Villamena,mayo_2006,1.39
585,Villanueva de San Juan,mayo_2006,1.76
586,Villanueva de Tapia,mayo_2006,4.3
587,Villanueva del Duque,mayo_2006,1.38
588,Villanueva del Rey,mayo_2006,3.1
589,Villaralto,mayo_2006,4.15
590,Villardompardo,mayo_2006,3.71
591,Viñuela,mayo_2006,3.91
592,Zagra,mayo_2006,6.07
593,Zahara,mayo_2006,7.22
594,Ítrabo,mayo_2006,1.43
595,Abla,junio_2006,2.26
596,Abrucena,junio_2006,2.76
597,Aguadulce,junio_2006,9.35
598,Alanís,junio_2006,6.24
599,Albanchez de Mágina,junio_2006,2.19
600,Albuñuelas,junio_2006,5.98
601,Alcaracejos,junio_2006,3.37
602,Alcaucín,junio_2006,2.16
603,Alfarnate,junio_2006,2.96
604,Algar,junio_2006,4.34
605,Algámitas,junio_2006,6.02
606,Almadén de la Plata,junio_2006,2.67
607,Almonaster la Real,junio_2006,3.01
608,Almáchar,junio_2006,1.47
609,Alpujarra de la Sierra,junio_2006,2.89
610,Arenas,junio_2006,3.36
611,Arquillos,junio_2006,2.62
612,Arroyomolinos de León,junio_2006,5.37
613,Añora,junio_2006,1.83
614,Beas de Granada,junio_2006,0.46
615,Benalúa de las Villas,junio_2006,0.74
616,Benamargosa,junio_2006,3.48
617,Benaoján,junio_2006,3.16
618,Bélmez de la Moraleda,junio_2006,4.11
619,Cala,junio_2006,3.82
620,Campotéjar,junio_2006,3.07
621,Canjáyar,junio_2006,2.18
622,Cardeña,junio_2006,2.86
623,Castilléjar,junio_2006,5.87
624,Chiclana de Segura,junio_2006,4.28
625,Chilluévar,junio_2006,2.21
626,Chimeneas,junio_2006,6.59
627,Chirivel,junio_2006,2.76
628,Colomera,junio_2006,6.31
629,Comares,junio_2006,0.92
630,Coripe,junio_2006,3.2
631,Cortes y Graena,junio_2006,3.23
632,Cuevas Bajas,junio_2006,3.57
633,Cuevas del Becerro,junio_2006,3.52
634,Cádiar,junio_2006,4.07
635,Cárcheles,junio_2006,4.16
636,Darro,junio_2006,4.24
637,Dílar,junio_2006,1.62
638,El Castillo de las Guardas,junio_2006,3.5
639,El Gastor,junio_2006,3.21
640,El Pinar,junio_2006,1.65
641,El Real de la Jara,junio_2006,2.75
642,El Ronquillo,junio_2006,2.66
643,El Valle,junio_2006,7.17
644,Encinasola,junio_2006,1.96
645,Fonelas,junio_2006,3.76
646,Frailes,junio_2006,6.24
647,Freila,junio_2006,6.61
648,Fuerte del Rey,junio_2006,2.6
649,Galaroza,junio_2006,4.55
650,Galera,junio_2006,5.81
651,Gaucín,junio_2006,2.4
652,Guadalcázar,junio_2006,7.22
653,Gérgal,junio_2006,9.31
654,Higuera de la Sierra,junio_2006,5.22
655,Huéneja,junio_2006,2.03
656,Huétor de Santillán,junio_2006,1.46
657,Istán,junio_2006,4.33
658,Iznatoraf,junio_2006,7.45
659,Jayena,junio_2006,5.99
660,Jerez del Marquesado,junio_2006,3.94
661,Jimena,junio_2006,1.92
662,La Iruela,junio_2006,4.17
663,La Malahá,junio_2006,2.99
664,La Peza,junio_2006,2.63
665,La Victoria,junio_2006,5.26
666,Lahiguera,junio_2006,5.27
667,Las Navas de la Concepción,junio_2006,7.19
668,Los Guajares,junio_2006,3.59
669,Lubrín,junio_2006,1.21
670,Lupión,junio_2006,1.09
671,Láujar de Andarax,junio_2006,2.17
672,María,junio_2006,3.52
673,Moclinejo,junio_2006,3.34
674,Montejaque,junio_2006,2.47
675,Montillana,junio_2006,5.75
676,Montizón,junio_2006,4.81
677,Nevada,junio_2006,3.9
678,Obejo,junio_2006,1.45
679,Orce,junio_2006,2.09
680,Otívar,junio_2006,1.62
681,Palenciana,junio_2006,3.98
682,Paymogo,junio_2006,1.49
683,Pedro Martínez,junio_2006,2.22
684,Pedroche,junio_2006,1.79
685,Pinos Genil,junio_2006,1.92
686,Polopos,junio_2006,3.79
687,Purchena,junio_2006,2.36
688,Píñar,junio_2006,1.91
689,Quéntar,junio_2006,0.87
690,Rioja,junio_2006,1.25
691,Rosal de la Frontera,junio_2006,3.9
692,Santa Bárbara de Casa,junio_2006,3.2
693,Santa Elena,junio_2006,6.09
694,Santa Eufemia,junio_2006,4.61
695,Sayalonga,junio_2006,1.03
696,Segura de la Sierra,junio_2006,4.14
697,Sorihuela del Guadalimar,junio_2006,5.31
698,Taberno,junio_2006,1.9
699,Torre-Cardela,junio_2006,3.66
700,Torrecampo,junio_2006,1.36
701,Torres,junio_2006,2.62
702,Valenzuela,junio_2006,4.77
703,Villamena,junio_2006,2.19
704,Villanueva de San Juan,junio_2006,2.39
705,Villanueva de Tapia,junio_2006,4.24
706,Villanueva del Duque,junio_2006,2.16
707,Villanueva del Rey,junio_2006,2.45
708,Villaralto,junio_2006,1.7
709,Villardompardo,junio_2006,6.21
710,Viñuela,junio_2006,3.74
711,Zagra,junio_2006,6.07
712,Zahara,junio_2006,7.73
713,Ítrabo,junio_2006,1.7
