,Municipio,variable,value
219,Córdoba,julio_2007,3.98
220,Dos Hermanas,julio_2007,3.71
221,Granada,julio_2007,5.92
222,Huelva,julio_2007,4.54
223,Jaén,julio_2007,4.63
224,Jerez de la Frontera,julio_2007,5.77
225,Marbella,julio_2007,6.29
226,Málaga,julio_2007,4.93
227,Sevilla,julio_2007,6.05
228,Algeciras,agosto_2007,3.38
229,Almería,agosto_2007,3.33
230,Cádiz,agosto_2007,3.87
231,Córdoba,agosto_2007,3.16
232,Dos Hermanas,agosto_2007,3.24
233,Granada,agosto_2007,4.24
234,Huelva,agosto_2007,3.35
235,Jaén,agosto_2007,3.56
236,Jerez de la Frontera,agosto_2007,4.08
237,Marbella,agosto_2007,4.86
238,Málaga,agosto_2007,3.52
239,Sevilla,agosto_2007,4.06
240,Algeciras,septiembre_2007,3.57
241,Almería,septiembre_2007,4.16
242,Cádiz,septiembre_2007,4.22
243,Córdoba,septiembre_2007,4.02
244,Dos Hermanas,septiembre_2007,4.21
245,Granada,septiembre_2007,5.61
246,Huelva,septiembre_2007,4.53
247,Jaén,septiembre_2007,3.88
248,Jerez de la Frontera,septiembre_2007,6.78
249,Marbella,septiembre_2007,4.4
250,Málaga,septiembre_2007,4.49
251,Sevilla,septiembre_2007,5.64
252,Algeciras,octubre_2007,4.0
253,Almería,octubre_2007,5.25
254,Cádiz,octubre_2007,4.78
255,Córdoba,octubre_2007,4.39
256,Dos Hermanas,octubre_2007,4.25
257,Granada,octubre_2007,7.11
258,Huelva,octubre_2007,4.84
259,Jaén,octubre_2007,5.53
260,Jerez de la Frontera,octubre_2007,6.75
261,Marbella,octubre_2007,5.11
262,Málaga,octubre_2007,5.46
263,Sevilla,octubre_2007,6.28
264,Algeciras,noviembre_2007,3.21
265,Almería,noviembre_2007,3.92
266,Cádiz,noviembre_2007,4.12
267,Córdoba,noviembre_2007,3.95
268,Dos Hermanas,noviembre_2007,3.45
269,Granada,noviembre_2007,5.44
270,Huelva,noviembre_2007,4.17
271,Jaén,noviembre_2007,5.66
272,Jerez de la Frontera,noviembre_2007,5.22
273,Marbella,noviembre_2007,3.98
274,Málaga,noviembre_2007,4.28
275,Sevilla,noviembre_2007,5.52
276,Algeciras,diciembre_2007,2.99
277,Almería,diciembre_2007,3.1
278,Cádiz,diciembre_2007,3.28
279,Córdoba,diciembre_2007,3.45
280,Dos Hermanas,diciembre_2007,2.72
281,Granada,diciembre_2007,4.96
282,Huelva,diciembre_2007,3.02
283,Jaén,diciembre_2007,8.26
284,Jerez de la Frontera,diciembre_2007,4.18
285,Marbella,diciembre_2007,3.29
286,Málaga,diciembre_2007,3.34
287,Sevilla,diciembre_2007,4.07
288,Algeciras,enero_2008,3.33
289,Almería,enero_2008,3.94
290,Cádiz,enero_2008,4.56
291,Córdoba,enero_2008,3.97
292,Dos Hermanas,enero_2008,3.39
293,Granada,enero_2008,5.8
294,Huelva,enero_2008,3.84
295,Jaén,enero_2008,8.35
296,Jerez de la Frontera,enero_2008,4.44
297,Marbella,enero_2008,3.46
298,Málaga,enero_2008,3.84
299,Sevilla,enero_2008,4.49
300,Algeciras,febrero_2008,2.98
301,Almería,febrero_2008,3.22
302,Cádiz,febrero_2008,3.93
303,Córdoba,febrero_2008,3.8
304,Dos Hermanas,febrero_2008,3.31
305,Granada,febrero_2008,5.73
306,Huelva,febrero_2008,3.3
307,Jaén,febrero_2008,7.09
308,Jerez de la Frontera,febrero_2008,3.69
309,Marbella,febrero_2008,3.08
310,Málaga,febrero_2008,3.62
311,Sevilla,febrero_2008,4.46
