Municipios,Puesto Nacional,Puesto Autonómico,Renta Bruta,Renta Disponible,Provincia,Año
San Bartolomé de la Torre,2472,359,15868.0,13790,Huelva,2017
Chucena,2473,360,15866.0,14139,Huelva,2017
Galaroza,2499,367,15749.0,13777,Huelva,2017
Escacena del Campo,2594,404,15390.0,13614,Huelva,2017
Encinasola,2640,424,15097.999999999998,13419,Huelva,2017
Rosal de la Frontera,2656,432,15040.0,13347,Huelva,2017
Santa Bárbara de Casa,2686,443,14876.0,13048,Huelva,2017
Paterna del Campo,2711,456,14730.0,13095,Huelva,2017
Villalba del Alcor,2718,459,14683.0,13058,Huelva,2017
Villablanca,2772,492,14347.999999999998,12740,Huelva,2017
Almonte,2801,508,14142.999999999998,12383,Huelva,2017
Manzanilla,2803,510,14127.0,12741,Huelva,2017
Aroche,2836,530,13833.0,12407,Huelva,2017
Paymogo,2856,544,13491.0,12134,Huelva,2017
Rociana del Condado,2885,557,12779.000000000002,11442,Huelva,2017
Agrupación municipios pequeños,0,0,15627.0,13777,Huelva,2017
La Guardia de Jaén,373,20,27120.0,22133,Jaén,2017
Jaén,557,29,25570.0,21148,Jaén,2017
Linares,1011,59,22601.999999999996,19203,Jaén,2017
Úbeda,1023,61,22534.000000000004,18914,Jaén,2017
Martos,1248,81,21362.0,18075,Jaén,2017
Andújar,1388,106,20594.0,17666,Jaén,2017
La Carolina,1430,109,20362.000000000004,17515,Jaén,2017
Baeza,1540,118,19886.0,16909,Jaén,2017
Mengíbar,1676,143,19213.0,16604,Jaén,2017
Torredonjimeno,1690,145,19115.0,16528,Jaén,2017
Mancha Real,1825,170,18567.999999999996,16072,Jaén,2017
Alcalá la Real,1918,185,18187.0,15811,Jaén,2017
Cazorla,1923,187,18170.0,15783,Jaén,2017
Canena,2144,244,17295.0,15117,Jaén,2017
Orcera,2158,250,17239.0,15189,Jaén,2017
Bailén,2164,252,17200.0,15092,Jaén,2017
Los Villares,2172,254,17125.0,14880,Jaén,2017
Fuerte del Rey,2243,281,16852.0,14849,Jaén,2017
Vilches,2258,288,16791.0,14774,Jaén,2017
Villanueva del Arzobispo,2283,295,16667.0,14591,Jaén,2017
Baños de la Encina,2301,299,16600.0,14843,Jaén,2017
La Puerta de Segura,2306,302,16577.0,14597,Jaén,2017
Siles,2311,304,16555.0,14618,Jaén,2017
Alcaudete,2334,312,16436.0,14463,Jaén,2017
Villacarrillo,2337,313,16409.000000000004,14340,Jaén,2017
Guarromán,2356,320,16351.0,14557,Jaén,2017
Villanueva de la Reina,2367,324,16303.0,14454,Jaén,2017
Peal de Becerro,2381,330,16265.0,14320,Jaén,2017
Puente de Génave,2389,331,16230.0,14335,Jaén,2017
Arjona,2397,333,16195.999999999998,14350,Jaén,2017
Rus,2486,364,15829.0,14033,Jaén,2017
Villatorres,2513,371,15696.0,14009,Jaén,2017
Marmolejo,2518,373,15682.0,13884,Jaén,2017
Beas de Segura,2521,374,15669.0,13931,Jaén,2017
Jamilena,2524,375,15658.0,13952,Jaén,2017
Segura de la Sierra,2566,389,15508.0,13799,Jaén,2017
Arjonilla,2579,396,15446.0,13719,Jaén,2017
Torreperogil,2581,397,15437.999999999998,13823,Jaén,2017
Cárcheles,2584,399,15423.0,13731,Jaén,2017
Sabiote,2600,405,15350.0,13749,Jaén,2017
Campillo de Arenas,2641,425,15095.0,13692,Jaén,2017
Pegalajar,2651,429,15062.999999999998,13447,Jaén,2017
Ibros,2654,431,15046.0,13489,Jaén,2017
Arroyo del Ojanco,2664,434,14984.000000000002,13340,Jaén,2017
Fuensanta de Martos,2671,437,14942.0,13312,Jaén,2017
Castillo de Locubín,2672,438,14934.000000000002,13507,Jaén,2017
Huelma,2692,445,14834.000000000002,13335,Jaén,2017
Lopera,2695,447,14811.0,13351,Jaén,2017
Quesada,2712,457,14722.000000000002,13190,Jaén,2017
Castellar,2727,464,14630.999999999998,13102,Jaén,2017
Pozo Alcón,2734,468,14592.0,13238,Jaén,2017
Porcuna,2738,469,14571.0,12980,Jaén,2017
Santiago-Pontones,2740,471,14547.0,12956,Jaén,2017
Frailes,2747,476,14505.0,13116,Jaén,2017
Santisteban del Puerto,2748,477,14499.0,13015,Jaén,2017
Begíjar,2756,483,14450.999999999998,13056,Jaén,2017
Navas de San Juan,2771,491,14352.0,12992,Jaén,2017
Lahiguera,2779,497,14307.0,12920,Jaén,2017
Jabalquinto,2788,501,14235.0,12940,Jaén,2017
La Iruela,2798,506,14170.0,12809,Jaén,2017
Sorihuela del Guadalimar,2800,507,14151.0,12837,Jaén,2017
Torres,2809,514,14073.0,12703,Jaén,2017
Torreblascopedro,2813,516,14017.000000000002,12770,Jaén,2017
Valdepeñas de Jaén,2814,517,14015.0,12717,Jaén,2017
Santo Tomé,2823,521,13970.0,12640,Jaén,2017
Noalejo,2844,535,13726.0,12693,Jaén,2017
Arquillos,2845,536,13719.000000000002,12457,Jaén,2017
Montizón,2847,537,13681.0,12547,Jaén,2017
Bedmar y Garcíez,2849,539,13624.0,12407,Jaén,2017
Jimena,2852,541,13585.0,12395,Jaén,2017
Jódar,2857,545,13487.0,12159,Jaén,2017
Cabra del Santo Cristo,2858,546,13485.999999999998,12325,Jaén,2017
Albanchez de Mágina,2863,548,13413.0,12216,Jaén,2017
Cambil,2867,549,13274.0,12263,Jaén,2017
Chilluévar,2876,554,12981.0,11825,Jaén,2017
Bélmez de la Moraleda,2877,555,12974.0,11925,Jaén,2017
Huesa,2896,561,11917.0,10966,Jaén,2017
Agrupación municipios pequeños,0,0,14293.0,12987,Jaén,2017
Benahavís,153,6,30429.000000000004,24362,Málaga,2017
Rincón de la Victoria,274,15,28333.000000000004,23162,Málaga,2017
Málaga,541,26,25674.0,21314,Málaga,2017
Marbella,543,27,25671.0,21166,Málaga,2017
Alhaurín de la Torre,575,31,25391.0,21123,Málaga,2017
Benalmádena,686,35,24734.0,20450,Málaga,2017
Torremolinos,761,44,24191.999999999996,20121,Málaga,2017
Antequera,987,57,22717.0,19087,Málaga,2017
Fuengirola,1013,60,22579.0,18979,Málaga,2017
Estepona,1054,63,22303.0,18760,Málaga,2017
Ronda,1060,65,22266.0,18720,Málaga,2017
Manilva,1163,74,21700.0,18454,Málaga,2017
Mijas,1184,76,21600.0,18204,Málaga,2017
Casares,1222,77,21473.000000000004,18320,Málaga,2017
Ojén,1314,95,20997.0,17761,Málaga,2017
Vélez-Málaga,1355,100,20796.0,17703,Málaga,2017
Istán,1511,115,20002.0,17053,Málaga,2017
Nerja,1573,122,19684.0,16896,Málaga,2017
Cártama,1593,126,19584.0,16823,Málaga,2017
Coín,1623,132,19441.0,16615,Málaga,2017
Campillos,1645,135,19345.0,16671,Málaga,2017
Fuente de Piedra,1775,161,18750.999999999996,16199,Málaga,2017
Casabermeja,1851,172,18480.999999999996,15994,Málaga,2017
Pizarra,1879,179,18371.0,15994,Málaga,2017
Frigiliana,1896,180,18262.999999999996,15869,Málaga,2017
Alhaurín el Grande,1902,181,18243.0,15805,Málaga,2017
Almargen,1942,190,18104.0,15675,Málaga,2017
Torrox,2016,206,17798.0,15440,Málaga,2017
Arriate,2038,213,17684.0,15427,Málaga,2017
Archidona,2046,216,17649.0,15250,Málaga,2017
Algarrobo,2054,221,17608.0,15378,Málaga,2017
Monda,2079,227,17521.0,15254,Málaga,2017
Gaucín,2147,246,17273.0,15077,Málaga,2017
Álora,2184,258,17101.0,14970,Málaga,2017
Casarabonela,2297,296,16616.0,14709,Málaga,2017
Ardales,2304,301,16585.0,14601,Málaga,2017
Guaro,2314,305,16544.0,14786,Málaga,2017
Cortes de la Frontera,2341,314,16404.0,14480,Málaga,2017
Mollina,2352,318,16359.000000000002,14369,Málaga,2017
Benaoján,2368,325,16299.0,14208,Málaga,2017
Cómpeta,2372,327,16290.0,14380,Málaga,2017
Humilladero,2432,347,16047.999999999998,14114,Málaga,2017
Moclinejo,2448,354,15987.0,14101,Málaga,2017
Alameda,2462,356,15913.0,13985,Málaga,2017
Viñuela,2469,357,15884.0,14174,Málaga,2017
Cañete la Real,2480,362,15839.0,14157,Málaga,2017
Villanueva del Rosario,2488,365,15823.0,14025,Málaga,2017
Sierra de Yeguas,2530,376,15624.0,13933,Málaga,2017
Alcaucín,2550,382,15575.0,13998,Málaga,2017
Tolox,2553,384,15565.999999999998,14040,Málaga,2017
Teba,2568,390,15494.000000000002,13905,Málaga,2017
Colmenar,2575,393,15467.0,13777,Málaga,2017
Benamocarra,2608,409,15287.0,13529,Málaga,2017
Almogía,2614,412,15251.0,13610,Málaga,2017
Villanueva del Trabuco,2639,423,15097.999999999998,13430,Málaga,2017
Cuevas Bajas,2667,435,14970.0,13352,Málaga,2017
Yunquera,2679,441,14905.999999999998,13453,Málaga,2017
Riogordo,2694,446,14819.0,13329,Málaga,2017
Cuevas del Becerro,2697,448,14806.0,13373,Málaga,2017
Alozaina,2707,453,14753.0,13263,Málaga,2017
Cuevas de San Marcos,2751,480,14482.999999999998,12934,Málaga,2017
Villanueva de Tapia,2764,486,14392.000000000002,12910,Málaga,2017
Villanueva de Algaidas,2765,487,14388.0,12892,Málaga,2017
Canillas de Aceituno,2766,488,14387.0,12863,Málaga,2017
Alfarnate,2776,495,14330.0,12860,Málaga,2017
Periana,2789,502,14232.000000000002,12810,Málaga,2017
Valle de Abdalajís,2802,509,14139.000000000002,12830,Málaga,2017
Sayalonga,2819,519,13989.0,12514,Málaga,2017
Arenas,2828,525,13940.0,12827,Málaga,2017
Benamargosa,2835,529,13837.0,12581,Málaga,2017
El Burgo,2842,533,13750.0,12548,Málaga,2017
Comares,2872,552,13125.0,11937,Málaga,2017
Almáchar,2892,560,12359.000000000002,11427,Málaga,2017
Agrupación municipios pequeños,0,0,14411.0,12933,Málaga,2017
Tomares,79,2,33650.0,26656,Sevilla,2017
Espartinas,106,3,32244.0,25677,Sevilla,2017
Castilleja de Guzmán,138,4,30855.0,24511,Sevilla,2017
Valencina de la Concepción,148,5,30491.999999999996,24642,Sevilla,2017
Gelves,188,7,29559.0,23704,Sevilla,2017
Gines,194,8,29498.0,23858,Sevilla,2017
Mairena del Aljarafe,202,9,29388.0,23649,Sevilla,2017
Bormujos,204,10,29291.999999999996,23688,Sevilla,2017
Sevilla,246,12,28633.000000000004,23267,Sevilla,2017
Palomares del Río,307,17,27850.0,22747,Sevilla,2017
Salteras,668,33,24849.0,20520,Sevilla,2017
Alcalá de Guadaíra,689,36,24723.000000000004,20528,Sevilla,2017
Bollullos de la Mitación,715,38,24526.999999999996,20394,Sevilla,2017
Dos Hermanas,726,40,24461.0,20315,Sevilla,2017
Castilleja de la Cuesta,895,51,23369.0,19508,Sevilla,2017
Almensilla,918,52,23200.0,19429,Sevilla,2017
San Juan de Aznalfarache,955,54,22945.0,19294,Sevilla,2017
Camas,1051,62,22316.0,18808,Sevilla,2017
Guillena,1056,64,22290.0,18633,Sevilla,2017
Gerena,1154,73,21749.000000000004,18296,Sevilla,2017
Santiponce,1237,79,21405.0,18122,Sevilla,2017
Sanlúcar la Mayor,1239,80,21401.999999999996,18089,Sevilla,2017
Utrera,1255,82,21331.999999999996,18000,Sevilla,2017
Mairena del Alcor,1286,89,21127.0,17884,Sevilla,2017
Umbrete,1290,90,21105.0,17845,Sevilla,2017
La Rinconada,1304,94,21029.0,17858,Sevilla,2017
Carmona,1352,99,20809.0,17593,Sevilla,2017
La Algaba,1356,101,20793.000000000004,17771,Sevilla,2017
Alcalá del Río,1384,104,20630.0,17586,Sevilla,2017
Villanueva del Ariscal,1386,105,20598.000000000004,17449,Sevilla,2017
Coria del Río,1480,113,20152.0,17185,Sevilla,2017
Huévar del Aljarafe,1519,116,19976.0,16919,Sevilla,2017
La Puebla del Río,1562,120,19750.999999999996,16900,Sevilla,2017
Aznalcóllar,1616,129,19471.0,16903,Sevilla,2017
Benacazón,1622,131,19442.0,16776,Sevilla,2017
Écija,1634,134,19377.0,16538,Sevilla,2017
Morón de la Frontera,1646,136,19345.0,16553,Sevilla,2017
Marchena,1668,141,19241.0,16530,Sevilla,2017
Osuna,1670,142,19239.0,16477,Sevilla,2017
Burguillos,1677,144,19208.0,16601,Sevilla,2017
Aznalcázar,1703,146,19066.0,16385,Sevilla,2017
Olivares,1704,147,19061.0,16354,Sevilla,2017
Carrión de los Céspedes,1739,155,18917.0,16192,Sevilla,2017
El Viso del Alcor,1793,163,18679.000000000004,16059,Sevilla,2017
Brenes,1874,176,18389.0,15902,Sevilla,2017
Villanueva del Río y Minas,1908,182,18229.0,15909,Sevilla,2017
Lebrija,1912,184,18203.0,15667,Sevilla,2017
Albaida del Aljarafe,1963,193,18005.0,15640,Sevilla,2017
Cantillana,1980,196,17956.0,15490,Sevilla,2017
Cazalla de la Sierra,1998,199,17875.0,15470,Sevilla,2017
Lora del Río,2010,203,17828.0,15505,Sevilla,2017
Estepa,2023,209,17762.0,15318,Sevilla,2017
El Ronquillo,2042,215,17660.0,15280,Sevilla,2017
Gilena,2066,224,17580.0,15107,Sevilla,2017
Arahal,2073,226,17547.0,15318,Sevilla,2017
Los Palacios y Villafranca,2084,230,17508.0,15287,Sevilla,2017
Los Molares,2095,232,17451.0,15214,Sevilla,2017
Tocina,2132,241,17326.0,15158,Sevilla,2017
La Roda de Andalucía,2135,242,17316.0,15050,Sevilla,2017
Constantina,2146,245,17281.0,14978,Sevilla,2017
El Pedroso,2188,261,17077.0,14927,Sevilla,2017
La Luisiana,2199,264,17017.0,14819,Sevilla,2017
El Coronil,2235,276,16893.0,14755,Sevilla,2017
Pilas,2239,278,16871.0,14636,Sevilla,2017
Herrera,2263,289,16780.0,14582,Sevilla,2017
Cañada Rosal,2298,297,16612.000000000004,14415,Sevilla,2017
Isla Mayor,2303,300,16590.0,14430,Sevilla,2017
El Castillo de las Guardas,2327,308,16471.0,14369,Sevilla,2017
La Puebla de Cazalla,2329,309,16470.0,14552,Sevilla,2017
Paradas,2333,311,16436.0,14408,Sevilla,2017
Peñaflor,2342,315,16400.0,14315,Sevilla,2017
Villaverde del Río,2343,316,16394.000000000004,14415,Sevilla,2017
Aguadulce,2355,319,16352.0,14265,Sevilla,2017
Castilblanco de los Arroyos,2364,322,16325.0,14339,Sevilla,2017
Las Cabezas de San Juan,2411,338,16132.000000000002,14274,Sevilla,2017
Fuentes de Andalucía,2420,342,16097.999999999998,14147,Sevilla,2017
El Saucejo,2536,377,15613.0,13890,Sevilla,2017
Almadén de la Plata,2548,381,15584.000000000002,13824,Sevilla,2017
Alcolea del Río,2560,388,15538.0,13880,Sevilla,2017
Casariche,2591,402,15395.0,13605,Sevilla,2017
Villamanrique de la Condesa,2605,408,15305.0,13482,Sevilla,2017
Coripe,2611,410,15274.0,13624,Sevilla,2017
Guadalcanal,2615,413,15248.0,13580,Sevilla,2017
El Rubio,2636,421,15110.999999999998,13282,Sevilla,2017
Pedrera,2638,422,15101.0,13380,Sevilla,2017
Alanís,2643,426,15094.000000000002,13243,Sevilla,2017
El Real de la Jara,2670,436,14946.0,13159,Sevilla,2017
El Cuervo de Sevilla,2685,442,14890.999999999998,13251,Sevilla,2017
La Puebla de los Infantes,2720,460,14669.0,13030,Sevilla,2017
La Campana,2728,465,14622.0,12966,Sevilla,2017
Lantejuela,2757,484,14449.000000000002,12898,Sevilla,2017
Montellano,2768,490,14370.999999999998,12718,Sevilla,2017
Martín de la Jara,2774,494,14345.999999999998,12899,Sevilla,2017
Algámitas,2791,503,14228.0,12819,Sevilla,2017
Pruna,2804,511,14112.0,12787,Sevilla,2017
Las Navas de la Concepción,2806,512,14092.0,12517,Sevilla,2017
Badolatosa,2812,515,14027.999999999998,12679,Sevilla,2017
Los Corrales,2820,520,13988.0,12540,Sevilla,2017
Villanueva de San Juan,2831,527,13915.0,12683,Sevilla,2017
Marinaleda,2853,542,13575.0,12318,Sevilla,2017
Agrupación municipios pequeños,0,0,17182.000000000004,15003,Sevilla,2017
Almería,789,43,24822.0,20512,Almería,2018
Macael,973,55,23504.0,19645,Almería,2018
Carboneras,1019,56,23242.0,19398,Almería,2018
Huércal de Almería,1175,73,22310.0,18802,Almería,2018
Roquetas de Mar,1319,92,21581.0,18063,Almería,2018
Mojácar,1389,100,21256.0,17875,Almería,2018
Vera,1399,102,21218.0,17831,Almería,2018
Olula del Río,1552,117,20432.0,17358,Almería,2018
Tíjola,1575,121,20342.0,17202,Almería,2018
Huércal-Overa,1631,135,20081.0,17083,Almería,2018
Benahadux,1665,139,19904.0,17138,Almería,2018
Fines,1759,153,19468.0,16625,Almería,2018
Purchena,1814,163,19219.0,16447,Almería,2018
Serón,1818,165,19217.0,16467,Almería,2018
Pechina,1832,168,19175.0,16536,Almería,2018
Albox,1911,181,18919.0,16263,Almería,2018
Garrucha,1952,187,18745.0,16075,Almería,2018
Viator,1984,196,18611.0,16262,Almería,2018
Pulpí,1998,199,18564.0,15957,Almería,2018
Antas,2024,206,18474.0,15863,Almería,2018
Dalías,2040,208,18407.0,15808,Almería,2018
Gádor,2071,218,18257.0,15849,Almería,2018
El Ejido,2078,220,18237.0,15618,Almería,2018
Alhama de Almería,2157,244,17957.0,15738,Almería,2018
Cuevas del Almanzora,2178,251,17860.0,15489,Almería,2018
Vélez-Rubio,2196,259,17799.0,15520,Almería,2018
Cantoria,2205,261,17769.0,15457,Almería,2018
Adra,2221,267,17699.0,15339,Almería,2018
Los Gallardos,2287,287,17409.0,15154,Almería,2018
Berja,2305,292,17292.0,15019,Almería,2018
Turre,2348,313,17098.0,14969,Almería,2018
Chirivel,2372,319,17001.0,14954,Almería,2018
Vícar,2397,328,16881.0,14770,Almería,2018
Zurgena,2445,340,16662.0,14827,Almería,2018
Rioja,2528,380,16270.0,14270,Almería,2018
Sorbas,2539,381,16220.0,14355,Almería,2018
Níjar,2590,396,15996.0,14023,Almería,2018
Arboleas,2638,420,15752.0,14132,Almería,2018
La Mojonera,2640,421,15746.0,13845,Almería,2018
Oria,2656,426,15667.0,13916,Almería,2018
Tabernas,2683,441,15481.0,13684,Almería,2018
Abla,2686,444,15470.0,13674,Almería,2018
Partaloa,2708,454,15349.0,13526,Almería,2018
Gérgal,2711,455,15340.0,13606,Almería,2018
Vélez-Blanco,2714,456,15329.0,13699,Almería,2018
Láujar de Andarax,2734,472,15177.0,13300,Almería,2018
Lubrín,2742,475,15097.0,13722,Almería,2018
María,2747,478,15065.0,13574,Almería,2018
Canjáyar,2775,494,14852.0,13382,Almería,2018
Fiñana,2779,497,14820.0,13336,Almería,2018
Abrucena,2835,532,14183.0,12858,Almería,2018
Agrupación municipios pequeños,0,0,15753.0,13995,Almería,2018
San Roque,263,14,29160.0,24081,Cádiz,2018
Algeciras,274,15,29042.0,23630,Cádiz,2018
Cádiz,358,18,28201.0,23306,Cádiz,2018
El Puerto de Santa María,425,19,27532.0,22727,Cádiz,2018
Los Barrios,435,20,27442.0,22477,Cádiz,2018
San Fernando,664,31,25522.0,21453,Cádiz,2018
Puerto Real,749,38,25032.0,20954,Cádiz,2018
La Línea de la Concepción,776,40,24908.0,21200,Cádiz,2018
Rota,825,45,24625.0,20882,Cádiz,2018
Jerez de la Frontera,899,51,24063.0,20193,Cádiz,2018
Chiclana de la Frontera,1079,65,22897.0,19349,Cádiz,2018
Tarifa,1196,74,22191.0,18826,Cádiz,2018
Castellar de la Frontera,1260,82,21917.0,18543,Cádiz,2018
Conil de la Frontera,1414,103,21133.0,17883,Cádiz,2018
El Bosque,1562,119,20393.0,17336,Cádiz,2018
Sanlúcar de Barrameda,1831,167,19182.0,16537,Cádiz,2018
Ubrique,1871,176,19020.0,16347,Cádiz,2018
Jimena de la Frontera,1907,179,18927.0,16406,Cádiz,2018
Villamartín,2042,209,18401.0,15924,Cádiz,2018
Barbate,2054,213,18363.0,15997,Cádiz,2018
Trebujena,2079,221,18236.0,15927,Cádiz,2018
Alcalá de los Gazules,2093,228,18178.0,15682,Cádiz,2018
Chipiona,2130,236,18033.0,15671,Cádiz,2018
Arcos de la Frontera,2146,241,17992.0,15700,Cádiz,2018
Vejer de la Frontera,2215,263,17727.0,15502,Cádiz,2018
Espera,2244,274,17593.0,15453,Cádiz,2018
Olvera,2245,275,17592.0,15487,Cádiz,2018
Setenil de las Bodegas,2313,295,17247.0,15280,Cádiz,2018
Algar,2321,300,17210.0,15089,Cádiz,2018
Paterna de Rivera,2337,305,17139.0,15085,Cádiz,2018
Benalup-Casas Viejas,2350,314,17094.0,14995,Cádiz,2018
Zahara,2479,356,16477.0,14733,Cádiz,2018
San José del Valle,2514,373,16344.0,14465,Cádiz,2018
Algodonales,2540,382,16212.0,14465,Cádiz,2018
Prado del Rey,2580,392,16030.0,14123,Cádiz,2018
Grazalema,2593,398,15983.0,14171,Cádiz,2018
Bornos,2611,408,15904.0,14138,Cádiz,2018
El Gastor,2728,466,15212.0,13610,Cádiz,2018
Alcalá del Valle,2729,467,15193.0,13695,Cádiz,2018
Puerto Serrano,2877,556,13430.0,12249,Cádiz,2018
Agrupación municipios pequeños,0,0,16637.0,14508,Cádiz,2018
Córdoba,568,26,26288.0,21593,Córdoba,2018
Peñarroya-Pueblonuevo,1067,63,22957.0,19178,Córdoba,2018
Belmez,1205,76,22166.0,18766,Córdoba,2018
Pozoblanco,1307,86,21642.0,18194,Córdoba,2018
Añora,1577,122,20333.0,17212,Córdoba,2018
Espiel,1584,123,20289.0,17428,Córdoba,2018
Puente Genil,1664,138,19914.0,17013,Córdoba,2018
Montilla,1714,147,19680.0,16810,Córdoba,2018
Cabra,1757,152,19476.0,16665,Córdoba,2018
Villafranca de Córdoba,1771,156,19435.0,16641,Córdoba,2018
Lucena,1807,162,19278.0,16557,Córdoba,2018
Guadalcázar,1837,171,19154.0,16554,Córdoba,2018
Fernán-Núñez,1839,172,19150.0,16377,Córdoba,2018
Obejo,1971,191,18674.0,16164,Córdoba,2018
Palma del Río,1980,194,18626.0,16035,Córdoba,2018
El Carpio,2031,207,18444.0,15967,Córdoba,2018
Alcaracejos,2050,211,18373.0,15881,Córdoba,2018
La Victoria,2085,223,18200.0,15969,Córdoba,2018
Posadas,2123,234,18079.0,15614,Córdoba,2018
Fuente Obejuna,2152,243,17970.0,15672,Córdoba,2018
La Carlota,2161,246,17928.0,15570,Córdoba,2018
Baena,2194,257,17808.0,15370,Córdoba,2018
Villa del Río,2195,258,17803.0,15479,Córdoba,2018
La Rambla,2261,278,17545.0,15201,Córdoba,2018
Rute,2282,284,17438.0,15153,Córdoba,2018
Hinojosa del Duque,2286,286,17415.0,15150,Córdoba,2018
Montemayor,2298,289,17332.0,15099,Córdoba,2018
Villanueva del Rey,2314,296,17232.0,15194,Córdoba,2018
Montoro,2319,298,17213.0,15043,Córdoba,2018
Dos Torres,2320,299,17211.0,15092,Córdoba,2018
Castro del Río,2326,302,17191.0,15017,Córdoba,2018
Pedro Abad,2339,307,17123.0,14972,Córdoba,2018
Torrecampo,2342,310,17115.0,15085,Córdoba,2018
Montalbán de Córdoba,2358,317,17040.0,14902,Córdoba,2018
Almodóvar del Río,2395,326,16891.0,14857,Córdoba,2018
Priego de Córdoba,2413,331,16824.0,14739,Córdoba,2018
Villanueva de Córdoba,2427,335,16734.0,14566,Córdoba,2018
Aguilar de la Frontera,2433,338,16705.0,14559,Córdoba,2018
Doña Mencía,2470,353,16492.0,14670,Córdoba,2018
Villanueva del Duque,2486,360,16462.0,14612,Córdoba,2018
Hornachuelos,2487,361,16459.0,14440,Córdoba,2018
Palenciana,2499,366,16394.0,14443,Córdoba,2018
Cañete de las Torres,2517,375,16319.0,14379,Córdoba,2018
Bujalance,2523,377,16289.0,14287,Córdoba,2018
Carcabuey,2569,388,16084.0,14241,Córdoba,2018
Belalcázar,2573,389,16057.0,14140,Córdoba,2018
El Viso,2586,394,16007.0,14229,Córdoba,2018
Santaella,2615,409,15867.0,14122,Córdoba,2018
Fuente Palmera,2625,415,15813.0,14014,Córdoba,2018
Luque,2654,425,15685.0,14014,Córdoba,2018
Espejo,2662,430,15595.0,13862,Córdoba,2018
Encinas Reales,2665,432,15579.0,13908,Córdoba,2018
Pedroche,2670,435,15553.0,13721,Córdoba,2018
Benamejí,2673,436,15544.0,13857,Córdoba,2018
Monturque,2684,442,15480.0,13721,Córdoba,2018
Villaviciosa de Córdoba,2694,448,15430.0,13793,Córdoba,2018
Moriles,2715,457,15322.0,13597,Córdoba,2018
Cardeña,2740,474,15111.0,13515,Córdoba,2018
Villaralto,2762,486,14955.0,13525,Córdoba,2018
Valenzuela,2772,491,14871.0,13387,Córdoba,2018
Adamuz,2804,511,14623.0,13060,Córdoba,2018
Almedinilla,2819,523,14436.0,12984,Córdoba,2018
Iznájar,2858,546,13814.0,12497,Córdoba,2018
Nueva Carteya,2861,548,13748.0,12396,Córdoba,2018
Agrupación municipios pequeños,0,0,15839.0,14105,Córdoba,2018
Granada,255,12,29300.0,23909,Granada,2018
Cájar,301,16,28705.0,23400,Granada,2018
Villa de Otura,481,22,27001.0,22193,Granada,2018
Ogíjares,588,28,26114.0,21536,Granada,2018
Huétor Vega,596,29,26043.0,21435,Granada,2018
Gójar,636,30,25742.0,21269,Granada,2018
Albolote,721,35,25237.0,20916,Granada,2018
Jun,746,37,25058.0,20881,Granada,2018
Dílar,779,41,24877.0,20787,Granada,2018
Monachil,826,46,24622.0,20520,Granada,2018
Huétor de Santillán,857,47,24374.0,20253,Granada,2018
Armilla,878,48,24210.0,20153,Granada,2018
La Zubia,888,50,24114.0,20119,Granada,2018
Peligros,1036,58,23109.0,19412,Granada,2018
Cúllar Vega,1088,67,22816.0,19227,Granada,2018
Alhendín,1127,69,22551.0,19032,Granada,2018
Cenes de la Vega,1167,71,22344.0,18814,Granada,2018
Vegas del Genil,1171,72,22324.0,18987,Granada,2018
Churriana de la Vega,1218,77,22109.0,18700,Granada,2018
Alfacar,1317,90,21592.0,18458,Granada,2018
Pinos Genil,1333,94,21521.0,18290,Granada,2018
Las Gabias,1342,95,21501.0,18269,Granada,2018
Maracena,1345,96,21486.0,18317,Granada,2018
Motril,1396,101,21231.0,18068,Granada,2018
Santa Fe,1438,107,20982.0,17891,Granada,2018
Guadix,1468,110,20819.0,17751,Granada,2018
Atarfe,1485,111,20746.0,17790,Granada,2018
Almuñécar,1596,124,20225.0,17345,Granada,2018
Pulianas,1602,125,20186.0,17360,Granada,2018
Salobreña,1606,126,20177.0,17348,Granada,2018
Baza,1619,130,20131.0,17203,Granada,2018
Padul,1748,150,19516.0,16977,Granada,2018
Dúrcal,1845,173,19119.0,16726,Granada,2018
Láchar,1917,183,18895.0,16434,Granada,2018
Gualchos,1967,189,18686.0,16213,Granada,2018
Güevéjar,1970,190,18677.0,16368,Granada,2018
Órgiva,1985,197,18611.0,16073,Granada,2018
Vélez de Benaudalla,1995,198,18577.0,16097,Granada,2018
Cijuela,2000,200,18559.0,16132,Granada,2018
Lanjarón,2060,214,18327.0,15942,Granada,2018
Güejar Sierra,2082,222,18212.0,15797,Granada,2018
Lecrín,2091,227,18192.0,16039,Granada,2018
Loja,2133,238,18022.0,15644,Granada,2018
Cogollos de la Vega,2182,253,17850.0,15720,Granada,2018
Huéscar,2188,255,17838.0,15428,Granada,2018
Chauchina,2190,256,17825.0,15631,Granada,2018
Nigüelas,2198,260,17796.0,15620,Granada,2018
Polopos,2248,276,17578.0,15366,Granada,2018
Pinos Puente,2274,282,17468.0,15424,Granada,2018
Benalúa,2303,291,17303.0,15078,Granada,2018
Albuñol,2376,320,16990.0,15017,Granada,2018
Iznalloz,2380,321,16979.0,15170,Granada,2018
Purullena,2432,337,16707.0,14716,Granada,2018
Moraleda de Zafayona,2450,343,16640.0,14754,Granada,2018
Campotéjar,2483,358,16475.0,14893,Granada,2018
Valle del Zalabí,2485,359,16470.0,14604,Granada,2018
Huétor Tájar,2488,362,16454.0,14517,Granada,2018
