Municipios;Sexo;Periodo;Total
23012 Beas de Segura;Total;2011;5763
23012 Beas de Segura;Total;2010;5674
23012 Beas de Segura;Total;2009;5591
23012 Beas de Segura;Total;2008;5586
23012 Beas de Segura;Total;2007;5571
23012 Beas de Segura;Total;2006;5467
23012 Beas de Segura;Total;2005;5456
23012 Beas de Segura;Total;2004;5477
23012 Beas de Segura;Total;2003;5647
23012 Beas de Segura;Total;2002;5661
23012 Beas de Segura;Total;2001;8061
23012 Beas de Segura;Total;2000;8029
23012 Beas de Segura;Total;1999;8135
23012 Beas de Segura;Total;1998;8092
23902 Bedmar y Garcíez;Total;2019;2642
23902 Bedmar y Garcíez;Total;2018;2682
23902 Bedmar y Garcíez;Total;2017;2757
23902 Bedmar y Garcíez;Total;2016;2823
23902 Bedmar y Garcíez;Total;2015;2871
23902 Bedmar y Garcíez;Total;2014;2902
23902 Bedmar y Garcíez;Total;2013;2969
23902 Bedmar y Garcíez;Total;2012;3051
23902 Bedmar y Garcíez;Total;2011;3112
23902 Bedmar y Garcíez;Total;2010;3132
23902 Bedmar y Garcíez;Total;2009;3127
23902 Bedmar y Garcíez;Total;2008;3137
23902 Bedmar y Garcíez;Total;2007;3161
23902 Bedmar y Garcíez;Total;2006;3185
23902 Bedmar y Garcíez;Total;2005;3210
23902 Bedmar y Garcíez;Total;2004;3227
23902 Bedmar y Garcíez;Total;2003;3237
23902 Bedmar y Garcíez;Total;2002;3240
23902 Bedmar y Garcíez;Total;2001;3253
23902 Bedmar y Garcíez;Total;2000;3268
23902 Bedmar y Garcíez;Total;1999;3239
23902 Bedmar y Garcíez;Total;1998;3220
23014 Begíjar;Total;2019;3029
23014 Begíjar;Total;2018;3075
23014 Begíjar;Total;2017;3073
23014 Begíjar;Total;2016;3102
23014 Begíjar;Total;2015;3133
23014 Begíjar;Total;2014;3133
23014 Begíjar;Total;2013;3135
23014 Begíjar;Total;2012;3151
23014 Begíjar;Total;2011;3168
23014 Begíjar;Total;2010;3174
