Municipios;Sexo;Periodo;Total
18016 Almegíjar;Total;2012;413
18016 Almegíjar;Total;2011;427
18016 Almegíjar;Total;2010;401
18016 Almegíjar;Total;2009;392
18016 Almegíjar;Total;2008;409
18016 Almegíjar;Total;2007;412
18016 Almegíjar;Total;2006;421
18016 Almegíjar;Total;2005;435
18016 Almegíjar;Total;2004;445
18016 Almegíjar;Total;2003;405
18016 Almegíjar;Total;2002;396
18016 Almegíjar;Total;2001;414
18016 Almegíjar;Total;2000;427
18016 Almegíjar;Total;1999;420
18016 Almegíjar;Total;1998;430
18017 Almuñécar;Total;2019;26514
18017 Almuñécar;Total;2018;26377
18017 Almuñécar;Total;2017;27135
18017 Almuñécar;Total;2016;27397
18017 Almuñécar;Total;2015;27391
18017 Almuñécar;Total;2014;27195
18017 Almuñécar;Total;2013;25586
18017 Almuñécar;Total;2012;27703
18017 Almuñécar;Total;2011;27754
18017 Almuñécar;Total;2010;27703
18017 Almuñécar;Total;2009;27696
18017 Almuñécar;Total;2008;27544
18017 Almuñécar;Total;2007;27076
18017 Almuñécar;Total;2006;26264
18017 Almuñécar;Total;2005;24713
18017 Almuñécar;Total;2004;23073
18017 Almuñécar;Total;2003;23378
18017 Almuñécar;Total;2002;22030
18017 Almuñécar;Total;2001;21623
18017 Almuñécar;Total;2000;21275
18017 Almuñécar;Total;1999;21170
18017 Almuñécar;Total;1998;20997
18904 Alpujarra de la Sierra;Total;2019;989
18904 Alpujarra de la Sierra;Total;2018;978
18904 Alpujarra de la Sierra;Total;2017;1021
18904 Alpujarra de la Sierra;Total;2016;1038
18904 Alpujarra de la Sierra;Total;2015;1041
18904 Alpujarra de la Sierra;Total;2014;1065
18904 Alpujarra de la Sierra;Total;2013;1044
18904 Alpujarra de la Sierra;Total;2012;1132
18904 Alpujarra de la Sierra;Total;2011;1141
18904 Alpujarra de la Sierra;Total;2010;1119
18904 Alpujarra de la Sierra;Total;2009;1153
18904 Alpujarra de la Sierra;Total;2008;1163
18904 Alpujarra de la Sierra;Total;2007;1168
18904 Alpujarra de la Sierra;Total;2006;1142
18904 Alpujarra de la Sierra;Total;2005;1174
18904 Alpujarra de la Sierra;Total;2004;1175
18904 Alpujarra de la Sierra;Total;2003;1147
18904 Alpujarra de la Sierra;Total;2002;1164
18904 Alpujarra de la Sierra;Total;2001;1175
18904 Alpujarra de la Sierra;Total;2000;1191
18904 Alpujarra de la Sierra;Total;1999;1221
18904 Alpujarra de la Sierra;Total;1998;1204
18018 Alquife;Total;2019;601
18018 Alquife;Total;2018;624
18018 Alquife;Total;2017;665
18018 Alquife;Total;2016;703
18018 Alquife;Total;2015;718
18018 Alquife;Total;2014;701
18018 Alquife;Total;2013;733
18018 Alquife;Total;2012;712
18018 Alquife;Total;2011;738
18018 Alquife;Total;2010;692
18018 Alquife;Total;2009;718
18018 Alquife;Total;2008;760
18018 Alquife;Total;2007;823
18018 Alquife;Total;2006;788
18018 Alquife;Total;2005;780
18018 Alquife;Total;2004;828
18018 Alquife;Total;2003;840
18018 Alquife;Total;2002;836
18018 Alquife;Total;2001;867
18018 Alquife;Total;2000;897
18018 Alquife;Total;1999;930
18018 Alquife;Total;1998;962
18020 Arenas del Rey;Total;2019;666
18020 Arenas del Rey;Total;2018;1178
18020 Arenas del Rey;Total;2017;1179
18020 Arenas del Rey;Total;2016;1231
18020 Arenas del Rey;Total;2015;1865
18020 Arenas del Rey;Total;2014;1913
18020 Arenas del Rey;Total;2013;1929
18020 Arenas del Rey;Total;2012;2038
18020 Arenas del Rey;Total;2011;1981
18020 Arenas del Rey;Total;2010;2029
18020 Arenas del Rey;Total;2009;2071
18020 Arenas del Rey;Total;2008;2111
