Municipios;Sexo;Periodo;Total
14022 Doña Mencía;Total;2016;4789
14022 Doña Mencía;Total;2015;4882
14022 Doña Mencía;Total;2014;4935
14022 Doña Mencía;Total;2013;4982
14022 Doña Mencía;Total;2012;4994
14022 Doña Mencía;Total;2011;5010
14022 Doña Mencía;Total;2010;5029
14022 Doña Mencía;Total;2009;5044
14022 Doña Mencía;Total;2008;5029
14022 Doña Mencía;Total;2007;5002
14022 Doña Mencía;Total;2006;5001
14022 Doña Mencía;Total;2005;5003
14022 Doña Mencía;Total;2004;5002
14022 Doña Mencía;Total;2003;4981
14022 Doña Mencía;Total;2002;4971
14022 Doña Mencía;Total;2001;4927
14022 Doña Mencía;Total;2000;4946
14022 Doña Mencía;Total;1999;4955
14022 Doña Mencía;Total;1998;5047
14023 Dos Torres;Total;2019;2411
14023 Dos Torres;Total;2018;2416
14023 Dos Torres;Total;2017;2426
14023 Dos Torres;Total;2016;2453
14023 Dos Torres;Total;2015;2457
14023 Dos Torres;Total;2014;2442
14023 Dos Torres;Total;2013;2494
14023 Dos Torres;Total;2012;2524
14023 Dos Torres;Total;2011;2555
14023 Dos Torres;Total;2010;2563
14023 Dos Torres;Total;2009;2570
14023 Dos Torres;Total;2008;2566
14023 Dos Torres;Total;2007;2601
14023 Dos Torres;Total;2006;2592
14023 Dos Torres;Total;2005;2616
14023 Dos Torres;Total;2004;2609
14023 Dos Torres;Total;2003;2575
14023 Dos Torres;Total;2002;2617
14023 Dos Torres;Total;2001;2597
14023 Dos Torres;Total;2000;2586
14023 Dos Torres;Total;1999;2602
14023 Dos Torres;Total;1998;2515
14024 Encinas Reales;Total;2019;2254
14024 Encinas Reales;Total;2018;2285
14024 Encinas Reales;Total;2017;2297
14024 Encinas Reales;Total;2016;2324
14024 Encinas Reales;Total;2015;2343
14024 Encinas Reales;Total;2014;2375
14024 Encinas Reales;Total;2013;2407
14024 Encinas Reales;Total;2012;2391
14024 Encinas Reales;Total;2011;2408
14024 Encinas Reales;Total;2010;2419
14024 Encinas Reales;Total;2009;2414
14024 Encinas Reales;Total;2008;2438
14024 Encinas Reales;Total;2007;2438
14024 Encinas Reales;Total;2006;2425
14024 Encinas Reales;Total;2005;2415
14024 Encinas Reales;Total;2004;2408
14024 Encinas Reales;Total;2003;2364
14024 Encinas Reales;Total;2002;2373
14024 Encinas Reales;Total;2001;2383
14024 Encinas Reales;Total;2000;2401
14024 Encinas Reales;Total;1999;2395
14024 Encinas Reales;Total;1998;2341
14025 Espejo;Total;2019;3329
14025 Espejo;Total;2018;3333
14025 Espejo;Total;2017;3375
14025 Espejo;Total;2016;3410
14025 Espejo;Total;2015;3443
14025 Espejo;Total;2014;3474
14025 Espejo;Total;2013;3510
14025 Espejo;Total;2012;3563
14025 Espejo;Total;2011;3578
14025 Espejo;Total;2010;3622
14025 Espejo;Total;2009;3649
14025 Espejo;Total;2008;3678
14025 Espejo;Total;2007;3691
14025 Espejo;Total;2006;3749
14025 Espejo;Total;2005;3797
14025 Espejo;Total;2004;3821
14025 Espejo;Total;2003;3840
14025 Espejo;Total;2002;3884
14025 Espejo;Total;2001;3920
14025 Espejo;Total;2000;3963
14025 Espejo;Total;1999;3998
14025 Espejo;Total;1998;4023
14026 Espiel;Total;2019;2397
14026 Espiel;Total;2018;2438
14026 Espiel;Total;2017;2474
14026 Espiel;Total;2016;2487
14026 Espiel;Total;2015;2508
14026 Espiel;Total;2014;2438
14026 Espiel;Total;2013;2459
14026 Espiel;Total;2012;2464
14026 Espiel;Total;2011;2460
14026 Espiel;Total;2010;2484
14026 Espiel;Total;2009;2481
14026 Espiel;Total;2008;2467
14026 Espiel;Total;2007;2447
14026 Espiel;Total;2006;2422
14026 Espiel;Total;2005;2386
14026 Espiel;Total;2004;2379
14026 Espiel;Total;2003;2434
14026 Espiel;Total;2002;2418
14026 Espiel;Total;2001;2473
14026 Espiel;Total;2000;2441
14026 Espiel;Total;1999;2415
14026 Espiel;Total;1998;2451
14027 Fernán-Núñez;Total;2019;9663
14027 Fernán-Núñez;Total;2018;9668
14027 Fernán-Núñez;Total;2017;9680
14027 Fernán-Núñez;Total;2016;9712
14027 Fernán-Núñez;Total;2015;9713
14027 Fernán-Núñez;Total;2014;9801
14027 Fernán-Núñez;Total;2013;9848
14027 Fernán-Núñez;Total;2012;9826
14027 Fernán-Núñez;Total;2011;9794
14027 Fernán-Núñez;Total;2010;9736
14027 Fernán-Núñez;Total;2009;9701
14027 Fernán-Núñez;Total;2008;9594
14027 Fernán-Núñez;Total;2007;9555
14027 Fernán-Núñez;Total;2006;9502
14027 Fernán-Núñez;Total;2005;9438
14027 Fernán-Núñez;Total;2004;9407
14027 Fernán-Núñez;Total;2003;9451
14027 Fernán-Núñez;Total;2002;9495
14027 Fernán-Núñez;Total;2001;9484
14027 Fernán-Núñez;Total;2000;9497
14027 Fernán-Núñez;Total;1999;9491
14027 Fernán-Núñez;Total;1998;9494
14901 Fuente Carreteros;Total;2019;1.131
14901 Fuente Carreteros;Total;2018;""
14901 Fuente Carreteros;Total;2017;""
14901 Fuente Carreteros;Total;2016;""
14901 Fuente Carreteros;Total;2015;""
14901 Fuente Carreteros;Total;2014;""
14901 Fuente Carreteros;Total;2013;""
14901 Fuente Carreteros;Total;2012;""
14901 Fuente Carreteros;Total;2011;""
14901 Fuente Carreteros;Total;2010;""
14901 Fuente Carreteros;Total;2009;""
14901 Fuente Carreteros;Total;2008;""
14901 Fuente Carreteros;Total;2007;""
14901 Fuente Carreteros;Total;2006;""
14901 Fuente Carreteros;Total;2005;""
14901 Fuente Carreteros;Total;2004;""
14901 Fuente Carreteros;Total;2003;""
14901 Fuente Carreteros;Total;2002;""
14901 Fuente Carreteros;Total;2001;""
14901 Fuente Carreteros;Total;2000;""
14901 Fuente Carreteros;Total;1999;""
14901 Fuente Carreteros;Total;1998;""
14028 Fuente la Lancha;Total;2019;351
14028 Fuente la Lancha;Total;2018;350
14028 Fuente la Lancha;Total;2017;345
14028 Fuente la Lancha;Total;2016;355
14028 Fuente la Lancha;Total;2015;377
14028 Fuente la Lancha;Total;2014;365
14028 Fuente la Lancha;Total;2013;360
14028 Fuente la Lancha;Total;2012;369
14028 Fuente la Lancha;Total;2011;376
14028 Fuente la Lancha;Total;2010;374
14028 Fuente la Lancha;Total;2009;375
14028 Fuente la Lancha;Total;2008;395
14028 Fuente la Lancha;Total;2007;417
14028 Fuente la Lancha;Total;2006;415
14028 Fuente la Lancha;Total;2005;418
14028 Fuente la Lancha;Total;2004;427
14028 Fuente la Lancha;Total;2003;413
14028 Fuente la Lancha;Total;2002;413
14028 Fuente la Lancha;Total;2001;410
14028 Fuente la Lancha;Total;2000;411
14028 Fuente la Lancha;Total;1999;416
14028 Fuente la Lancha;Total;1998;430
14029 Fuente Obejuna;Total;2019;4604
14029 Fuente Obejuna;Total;2018;4651
14029 Fuente Obejuna;Total;2017;4734
14029 Fuente Obejuna;Total;2016;4796
14029 Fuente Obejuna;Total;2015;4894
14029 Fuente Obejuna;Total;2014;4961
14029 Fuente Obejuna;Total;2013;5043
14029 Fuente Obejuna;Total;2012;5129
14029 Fuente Obejuna;Total;2011;5147
14029 Fuente Obejuna;Total;2010;5225
14029 Fuente Obejuna;Total;2009;5269
14029 Fuente Obejuna;Total;2008;5309
14029 Fuente Obejuna;Total;2007;5359
14029 Fuente Obejuna;Total;2006;5409
14029 Fuente Obejuna;Total;2005;5434
14029 Fuente Obejuna;Total;2004;5530
14029 Fuente Obejuna;Total;2003;5615
14029 Fuente Obejuna;Total;2002;5743
14029 Fuente Obejuna;Total;2001;5817
14029 Fuente Obejuna;Total;2000;5890
14029 Fuente Obejuna;Total;1999;6032
14029 Fuente Obejuna;Total;1998;6107
14030 Fuente Palmera;Total;2019;9783
14030 Fuente Palmera;Total;2018;10817
14030 Fuente Palmera;Total;2017;10871
14030 Fuente Palmera;Total;2016;10893
14030 Fuente Palmera;Total;2015;10895
14030 Fuente Palmera;Total;2014;11068
14030 Fuente Palmera;Total;2013;11112
14030 Fuente Palmera;Total;2012;11076
14030 Fuente Palmera;Total;2011;11013
14030 Fuente Palmera;Total;2010;10865
14030 Fuente Palmera;Total;2009;10788
14030 Fuente Palmera;Total;2008;10727
14030 Fuente Palmera;Total;2007;10530
14030 Fuente Palmera;Total;2006;10356
14030 Fuente Palmera;Total;2005;10220
14030 Fuente Palmera;Total;2004;10146
14030 Fuente Palmera;Total;2003;10042
14030 Fuente Palmera;Total;2002;9897
14030 Fuente Palmera;Total;2001;9861
14030 Fuente Palmera;Total;2000;9897
14030 Fuente Palmera;Total;1999;9849
14030 Fuente Palmera;Total;1998;9695
14031 Fuente-Tójar;Total;2019;672
14031 Fuente-Tójar;Total;2018;680
14031 Fuente-Tójar;Total;2017;705
14031 Fuente-Tójar;Total;2016;711
14031 Fuente-Tójar;Total;2015;721
14031 Fuente-Tójar;Total;2014;721
14031 Fuente-Tójar;Total;2013;744
14031 Fuente-Tójar;Total;2012;746
14031 Fuente-Tójar;Total;2011;770
14031 Fuente-Tójar;Total;2010;772
14031 Fuente-Tójar;Total;2009;780
14031 Fuente-Tójar;Total;2008;803
14031 Fuente-Tójar;Total;2007;799
14031 Fuente-Tójar;Total;2006;795
14031 Fuente-Tójar;Total;2005;807
14031 Fuente-Tójar;Total;2004;805
14031 Fuente-Tójar;Total;2003;800
14031 Fuente-Tójar;Total;2002;810
14031 Fuente-Tójar;Total;2001;808
14031 Fuente-Tójar;Total;2000;817
14031 Fuente-Tójar;Total;1999;848
14031 Fuente-Tójar;Total;1998;844
14032 La Granjuela;Total;2019;461
14032 La Granjuela;Total;2018;456
14032 La Granjuela;Total;2017;474
14032 La Granjuela;Total;2016;486
14032 La Granjuela;Total;2015;482
14032 La Granjuela;Total;2014;482
14032 La Granjuela;Total;2013;498
14032 La Granjuela;Total;2012;510
14032 La Granjuela;Total;2011;518
14032 La Granjuela;Total;2010;522
14032 La Granjuela;Total;2009;508
14032 La Granjuela;Total;2008;518
14032 La Granjuela;Total;2007;526
14032 La Granjuela;Total;2006;501
14032 La Granjuela;Total;2005;487
14032 La Granjuela;Total;2004;498
14032 La Granjuela;Total;2003;502
14032 La Granjuela;Total;2002;501
14032 La Granjuela;Total;2001;500
14032 La Granjuela;Total;2000;496
14032 La Granjuela;Total;1999;517
14032 La Granjuela;Total;1998;512
14033 Guadalcázar;Total;2019;1583
14033 Guadalcázar;Total;2018;1578
