Municipios;Sexo;Periodo;Total
11013 Castellar de la Frontera;Total;2017;3022
11013 Castellar de la Frontera;Total;2016;3050
11013 Castellar de la Frontera;Total;2015;3045
11013 Castellar de la Frontera;Total;2014;3084
11013 Castellar de la Frontera;Total;2013;3123
11013 Castellar de la Frontera;Total;2012;3202
11013 Castellar de la Frontera;Total;2011;3187
11013 Castellar de la Frontera;Total;2010;3175
11013 Castellar de la Frontera;Total;2009;3161
11013 Castellar de la Frontera;Total;2008;3109
11013 Castellar de la Frontera;Total;2007;2995
11013 Castellar de la Frontera;Total;2006;2943
11013 Castellar de la Frontera;Total;2005;2874
11013 Castellar de la Frontera;Total;2004;2813
11013 Castellar de la Frontera;Total;2003;2677
11013 Castellar de la Frontera;Total;2002;2642
11013 Castellar de la Frontera;Total;2001;2575
11013 Castellar de la Frontera;Total;2000;2531
11013 Castellar de la Frontera;Total;1999;2483
11013 Castellar de la Frontera;Total;1998;2428
11015 Chiclana de la Frontera;Total;2019;84489
11015 Chiclana de la Frontera;Total;2018;83831
11015 Chiclana de la Frontera;Total;2017;83148
11015 Chiclana de la Frontera;Total;2016;82645
11015 Chiclana de la Frontera;Total;2015;82777
11015 Chiclana de la Frontera;Total;2014;82298
11015 Chiclana de la Frontera;Total;2013;82212
11015 Chiclana de la Frontera;Total;2012;81113
11015 Chiclana de la Frontera;Total;2011;79839
11015 Chiclana de la Frontera;Total;2010;78591
11015 Chiclana de la Frontera;Total;2009;77293
11015 Chiclana de la Frontera;Total;2008;76171
11015 Chiclana de la Frontera;Total;2007;74261
11015 Chiclana de la Frontera;Total;2006;72364
11015 Chiclana de la Frontera;Total;2005;70338
11015 Chiclana de la Frontera;Total;2004;68156
11015 Chiclana de la Frontera;Total;2003;65694
11015 Chiclana de la Frontera;Total;2002;63719
11015 Chiclana de la Frontera;Total;2001;61815
11015 Chiclana de la Frontera;Total;2000;59857
11015 Chiclana de la Frontera;Total;1999;57585
11015 Chiclana de la Frontera;Total;1998;55494
11016 Chipiona;Total;2019;19123
11016 Chipiona;Total;2018;19068
11016 Chipiona;Total;2017;19104
11016 Chipiona;Total;2016;19095
11016 Chipiona;Total;2015;19062
11016 Chipiona;Total;2014;19004
11016 Chipiona;Total;2013;18930
11016 Chipiona;Total;2012;18849
11016 Chipiona;Total;2011;18860
11016 Chipiona;Total;2010;18722
11016 Chipiona;Total;2009;18583
11016 Chipiona;Total;2008;18447
11016 Chipiona;Total;2007;18182
11016 Chipiona;Total;2006;17952
11016 Chipiona;Total;2005;17730
11016 Chipiona;Total;2004;17603
11016 Chipiona;Total;2003;17334
11016 Chipiona;Total;2002;17127
11016 Chipiona;Total;2001;16814
11016 Chipiona;Total;2000;16539
11016 Chipiona;Total;1999;16200
11016 Chipiona;Total;1998;15989
11014 Conil de la Frontera;Total;2019;22529
11014 Conil de la Frontera;Total;2018;22427
11014 Conil de la Frontera;Total;2017;22369
11014 Conil de la Frontera;Total;2016;22297
11014 Conil de la Frontera;Total;2015;22136
11014 Conil de la Frontera;Total;2014;22063
11014 Conil de la Frontera;Total;2013;22116
11014 Conil de la Frontera;Total;2012;21927
11014 Conil de la Frontera;Total;2011;21664
11014 Conil de la Frontera;Total;2010;21331
11014 Conil de la Frontera;Total;2009;20984
11014 Conil de la Frontera;Total;2008;20752
11014 Conil de la Frontera;Total;2007;20301
11014 Conil de la Frontera;Total;2006;19890
11014 Conil de la Frontera;Total;2005;19417
11014 Conil de la Frontera;Total;2004;18979
11014 Conil de la Frontera;Total;2003;18656
11014 Conil de la Frontera;Total;2002;18269
11014 Conil de la Frontera;Total;2001;18036
11014 Conil de la Frontera;Total;2000;17773
11014 Conil de la Frontera;Total;1999;17470
11014 Conil de la Frontera;Total;1998;17089
11017 Espera;Total;2019;3860
11017 Espera;Total;2018;3903
11017 Espera;Total;2017;3909
11017 Espera;Total;2016;3912
11017 Espera;Total;2015;3915
11017 Espera;Total;2014;3912
11017 Espera;Total;2013;3946
11017 Espera;Total;2012;3951
11017 Espera;Total;2011;3960
11017 Espera;Total;2010;3969
11017 Espera;Total;2009;4003
11017 Espera;Total;2008;4005
11017 Espera;Total;2007;3998
11017 Espera;Total;2006;3949
11017 Espera;Total;2005;3909
11017 Espera;Total;2004;3846
11017 Espera;Total;2003;3885
11017 Espera;Total;2002;3945
11017 Espera;Total;2001;3934
11017 Espera;Total;2000;3971
