Municipios;Sexo;Periodo;Total
29026 Benamargosa;Total;2014;1489
29026 Benamargosa;Total;2013;1613
29026 Benamargosa;Total;2012;1634
29026 Benamargosa;Total;2011;1617
29026 Benamargosa;Total;2010;1610
29026 Benamargosa;Total;2009;1631
29026 Benamargosa;Total;2008;1642
29026 Benamargosa;Total;2007;1631
29026 Benamargosa;Total;2006;1608
29026 Benamargosa;Total;2005;1585
29026 Benamargosa;Total;2004;1539
29026 Benamargosa;Total;2003;1528
29026 Benamargosa;Total;2002;1520
29026 Benamargosa;Total;2001;1548
29026 Benamargosa;Total;2000;1551
29026 Benamargosa;Total;1999;1552
29026 Benamargosa;Total;1998;1558
29027 Benamocarra;Total;2019;3011
29027 Benamocarra;Total;2018;2999
29027 Benamocarra;Total;2017;2988
29027 Benamocarra;Total;2016;2999
29027 Benamocarra;Total;2015;3047
29027 Benamocarra;Total;2014;3029
29027 Benamocarra;Total;2013;3084
29027 Benamocarra;Total;2012;3089
29027 Benamocarra;Total;2011;3084
29027 Benamocarra;Total;2010;3035
29027 Benamocarra;Total;2009;3061
29027 Benamocarra;Total;2008;3080
29027 Benamocarra;Total;2007;3007
29027 Benamocarra;Total;2006;2952
29027 Benamocarra;Total;2005;2887
29027 Benamocarra;Total;2004;2881
29027 Benamocarra;Total;2003;2852
29027 Benamocarra;Total;2002;2830
29027 Benamocarra;Total;2001;2817
29027 Benamocarra;Total;2000;2811
29027 Benamocarra;Total;1999;2790
29027 Benamocarra;Total;1998;2795
29028 Benaoján;Total;2019;1476
29028 Benaoján;Total;2018;1488
29028 Benaoján;Total;2017;1497
29028 Benaoján;Total;2016;1491
29028 Benaoján;Total;2015;1513
29028 Benaoján;Total;2014;1523
29028 Benaoján;Total;2013;1531
29028 Benaoján;Total;2012;1543
29028 Benaoján;Total;2011;1572
29028 Benaoján;Total;2010;1602
29028 Benaoján;Total;2009;1604
29028 Benaoján;Total;2008;1629
29028 Benaoján;Total;2007;1632
29028 Benaoján;Total;2006;1612
29028 Benaoján;Total;2005;1627
29028 Benaoján;Total;2004;1628
29028 Benaoján;Total;2003;1584
29028 Benaoján;Total;2002;1619
29028 Benaoján;Total;2001;1623
29028 Benaoján;Total;2000;1648
29028 Benaoján;Total;1999;1648
29028 Benaoján;Total;1998;1684
29029 Benarrabá;Total;2019;455
29029 Benarrabá;Total;2018;458
29029 Benarrabá;Total;2017;480
29029 Benarrabá;Total;2016;493
29029 Benarrabá;Total;2015;521
29029 Benarrabá;Total;2014;520
29029 Benarrabá;Total;2013;544
29029 Benarrabá;Total;2012;559
29029 Benarrabá;Total;2011;587
29029 Benarrabá;Total;2010;567
29029 Benarrabá;Total;2009;570
29029 Benarrabá;Total;2008;570
29029 Benarrabá;Total;2007;547
29029 Benarrabá;Total;2006;538
29029 Benarrabá;Total;2005;560
29029 Benarrabá;Total;2004;561
29029 Benarrabá;Total;2003;585
29029 Benarrabá;Total;2002;584
29029 Benarrabá;Total;2001;611
29029 Benarrabá;Total;2000;630
29029 Benarrabá;Total;1999;653
29029 Benarrabá;Total;1998;602
29030 El Borge;Total;2019;930
29030 El Borge;Total;2018;933
29030 El Borge;Total;2017;940
29030 El Borge;Total;2016;960
29030 El Borge;Total;2015;963
29030 El Borge;Total;2014;963
29030 El Borge;Total;2013;984
29030 El Borge;Total;2012;1026
29030 El Borge;Total;2011;1033
29030 El Borge;Total;2010;1015
29030 El Borge;Total;2009;1026
29030 El Borge;Total;2008;1046
29030 El Borge;Total;2007;1041
29030 El Borge;Total;2006;1035
29030 El Borge;Total;2005;988
29030 El Borge;Total;2004;966
29030 El Borge;Total;2003;988
29030 El Borge;Total;2002;984
29030 El Borge;Total;2001;1018
29030 El Borge;Total;2000;1021
29030 El Borge;Total;1999;1033
29030 El Borge;Total;1998;1032
29031 El Burgo;Total;2019;1800
29031 El Burgo;Total;2018;1823
29031 El Burgo;Total;2017;1848
29031 El Burgo;Total;2016;1871
29031 El Burgo;Total;2015;1929
29031 El Burgo;Total;2014;1922
29031 El Burgo;Total;2013;1947
29031 El Burgo;Total;2012;1957
29031 El Burgo;Total;2011;1957
29031 El Burgo;Total;2010;1981
29031 El Burgo;Total;2009;2004
29031 El Burgo;Total;2008;2027
29031 El Burgo;Total;2007;2034
29031 El Burgo;Total;2006;2049
29031 El Burgo;Total;2005;2067
29031 El Burgo;Total;2004;2069
29031 El Burgo;Total;2003;2061
29031 El Burgo;Total;2002;2091
29031 El Burgo;Total;2001;2102
29031 El Burgo;Total;2000;1982
29031 El Burgo;Total;1999;1992
29031 El Burgo;Total;1998;2051
29032 Campillos;Total;2019;8444
29032 Campillos;Total;2018;8517
29032 Campillos;Total;2017;8547
29032 Campillos;Total;2016;8511
29032 Campillos;Total;2015;8524
29032 Campillos;Total;2014;8570
29032 Campillos;Total;2013;8677
29032 Campillos;Total;2012;8663
29032 Campillos;Total;2011;8707
29032 Campillos;Total;2010;8641
29032 Campillos;Total;2009;8658
29032 Campillos;Total;2008;8543
29032 Campillos;Total;2007;8330
29032 Campillos;Total;2006;8183
29032 Campillos;Total;2005;8066
29032 Campillos;Total;2004;7923
29032 Campillos;Total;2003;7813
29032 Campillos;Total;2002;7764
29032 Campillos;Total;2001;7681
29032 Campillos;Total;2000;7657
29032 Campillos;Total;1999;7633
29032 Campillos;Total;1998;7638
29033 Canillas de Aceituno;Total;2019;1677
29033 Canillas de Aceituno;Total;2018;1620
29033 Canillas de Aceituno;Total;2017;1672
29033 Canillas de Aceituno;Total;2016;1710
29033 Canillas de Aceituno;Total;2015;1737
29033 Canillas de Aceituno;Total;2014;1746
29033 Canillas de Aceituno;Total;2013;1851
29033 Canillas de Aceituno;Total;2012;1937
29033 Canillas de Aceituno;Total;2011;2242
29033 Canillas de Aceituno;Total;2010;2285
29033 Canillas de Aceituno;Total;2009;2323
29033 Canillas de Aceituno;Total;2008;2320
29033 Canillas de Aceituno;Total;2007;2336
29033 Canillas de Aceituno;Total;2006;2324
29033 Canillas de Aceituno;Total;2005;2242
29033 Canillas de Aceituno;Total;2004;2157
29033 Canillas de Aceituno;Total;2003;2037
29033 Canillas de Aceituno;Total;2002;2125
29033 Canillas de Aceituno;Total;2001;2171
29033 Canillas de Aceituno;Total;2000;2213
29033 Canillas de Aceituno;Total;1999;2257
29033 Canillas de Aceituno;Total;1998;2269
29034 Canillas de Albaida;Total;2019;716
29034 Canillas de Albaida;Total;2018;732
29034 Canillas de Albaida;Total;2017;741
29034 Canillas de Albaida;Total;2016;773
29034 Canillas de Albaida;Total;2015;842
29034 Canillas de Albaida;Total;2014;875
29034 Canillas de Albaida;Total;2013;979
29034 Canillas de Albaida;Total;2012;964
29034 Canillas de Albaida;Total;2011;947
29034 Canillas de Albaida;Total;2010;924
29034 Canillas de Albaida;Total;2009;918
29034 Canillas de Albaida;Total;2008;902
29034 Canillas de Albaida;Total;2007;854
29034 Canillas de Albaida;Total;2006;813
29034 Canillas de Albaida;Total;2005;775
29034 Canillas de Albaida;Total;2004;777
29034 Canillas de Albaida;Total;2003;755
29034 Canillas de Albaida;Total;2002;752
29034 Canillas de Albaida;Total;2001;732
29034 Canillas de Albaida;Total;2000;701
29034 Canillas de Albaida;Total;1999;680
29034 Canillas de Albaida;Total;1998;667
29035 Cañete la Real;Total;2019;1665
29035 Cañete la Real;Total;2018;1691
29035 Cañete la Real;Total;2017;1674
29035 Cañete la Real;Total;2016;1710
29035 Cañete la Real;Total;2015;1738
29035 Cañete la Real;Total;2014;1768
29035 Cañete la Real;Total;2013;1812
29035 Cañete la Real;Total;2012;1901
29035 Cañete la Real;Total;2011;1947
29035 Cañete la Real;Total;2010;1990
29035 Cañete la Real;Total;2009;2014
29035 Cañete la Real;Total;2008;2024
29035 Cañete la Real;Total;2007;2052
29035 Cañete la Real;Total;2006;2051
29035 Cañete la Real;Total;2005;2069
