Municipios;Sexo;Periodo;Total
41011 Arahal;Total;2017;19532
41011 Arahal;Total;2016;19594
41011 Arahal;Total;2015;19550
41011 Arahal;Total;2014;19585
41011 Arahal;Total;2013;19536
41011 Arahal;Total;2012;19513
41011 Arahal;Total;2011;19382
41011 Arahal;Total;2010;19335
41011 Arahal;Total;2009;19248
41011 Arahal;Total;2008;19150
41011 Arahal;Total;2007;18896
41011 Arahal;Total;2006;18861
41011 Arahal;Total;2005;18655
41011 Arahal;Total;2004;18588
41011 Arahal;Total;2003;18568
41011 Arahal;Total;2002;18473
41011 Arahal;Total;2001;18444
41011 Arahal;Total;2000;18501
41011 Arahal;Total;1999;18431
41011 Arahal;Total;1998;18252
41012 Aznalcázar;Total;2019;4586
41012 Aznalcázar;Total;2018;4495
41012 Aznalcázar;Total;2017;4493
41012 Aznalcázar;Total;2016;4470
41012 Aznalcázar;Total;2015;4469
41012 Aznalcázar;Total;2014;4349
41012 Aznalcázar;Total;2013;4257
41012 Aznalcázar;Total;2012;4260
41012 Aznalcázar;Total;2011;4206
41012 Aznalcázar;Total;2010;4128
41012 Aznalcázar;Total;2009;4064
41012 Aznalcázar;Total;2008;4003
41012 Aznalcázar;Total;2007;3860
41012 Aznalcázar;Total;2006;3793
41012 Aznalcázar;Total;2005;3692
41012 Aznalcázar;Total;2004;3613
41012 Aznalcázar;Total;2003;3581
41012 Aznalcázar;Total;2002;3522
41012 Aznalcázar;Total;2001;3522
41012 Aznalcázar;Total;2000;3518
41012 Aznalcázar;Total;1999;3490
41012 Aznalcázar;Total;1998;3431
41013 Aznalcóllar;Total;2019;6091
41013 Aznalcóllar;Total;2018;6092
41013 Aznalcóllar;Total;2017;6116
41013 Aznalcóllar;Total;2016;6148
41013 Aznalcóllar;Total;2015;6168
41013 Aznalcóllar;Total;2014;6144
41013 Aznalcóllar;Total;2013;6200
41013 Aznalcóllar;Total;2012;6192
41013 Aznalcóllar;Total;2011;6161
41013 Aznalcóllar;Total;2010;6191
41013 Aznalcóllar;Total;2009;6185
41013 Aznalcóllar;Total;2008;6188
41013 Aznalcóllar;Total;2007;6168
41013 Aznalcóllar;Total;2006;6094
41013 Aznalcóllar;Total;2005;5988
41013 Aznalcóllar;Total;2004;5841
41013 Aznalcóllar;Total;2003;5845
41013 Aznalcóllar;Total;2002;5818
41013 Aznalcóllar;Total;2001;5811
41013 Aznalcóllar;Total;2000;5820
41013 Aznalcóllar;Total;1999;5804
41013 Aznalcóllar;Total;1998;5756
41014 Badolatosa;Total;2019;3078
41014 Badolatosa;Total;2018;3094
41014 Badolatosa;Total;2017;3121
41014 Badolatosa;Total;2016;3147
41014 Badolatosa;Total;2015;3147
41014 Badolatosa;Total;2014;3150
41014 Badolatosa;Total;2013;3184
41014 Badolatosa;Total;2012;3214
41014 Badolatosa;Total;2011;3215
41014 Badolatosa;Total;2010;3238
41014 Badolatosa;Total;2009;3214
41014 Badolatosa;Total;2008;3228
41014 Badolatosa;Total;2007;3218
41014 Badolatosa;Total;2006;3200
41014 Badolatosa;Total;2005;3198
41014 Badolatosa;Total;2004;3178
41014 Badolatosa;Total;2003;3167
41014 Badolatosa;Total;2002;3173
41014 Badolatosa;Total;2001;3198
41014 Badolatosa;Total;2000;3171
41014 Badolatosa;Total;1999;3124
41014 Badolatosa;Total;1998;3130
41015 Benacazón;Total;2019;7241
41015 Benacazón;Total;2018;7177
41015 Benacazón;Total;2017;7167
41015 Benacazón;Total;2016;7134
41015 Benacazón;Total;2015;7163
41015 Benacazón;Total;2014;7214
41015 Benacazón;Total;2013;7144
41015 Benacazón;Total;2012;6985
41015 Benacazón;Total;2011;6872
41015 Benacazón;Total;2010;6726
41015 Benacazón;Total;2009;6431
41015 Benacazón;Total;2008;6103
41015 Benacazón;Total;2007;6089
41015 Benacazón;Total;2006;5921
41015 Benacazón;Total;2005;5754
41015 Benacazón;Total;2004;5578
41015 Benacazón;Total;2003;5463
41015 Benacazón;Total;2002;5179
41015 Benacazón;Total;2001;5055
41015 Benacazón;Total;2000;5021
41015 Benacazón;Total;1999;5033
41015 Benacazón;Total;1998;4937
41016 Bollullos de la Mitación;Total;2019;10787
41016 Bollullos de la Mitación;Total;2018;10647
41016 Bollullos de la Mitación;Total;2017;10512
41016 Bollullos de la Mitación;Total;2016;10330
41016 Bollullos de la Mitación;Total;2015;10199
41016 Bollullos de la Mitación;Total;2014;10031
41016 Bollullos de la Mitación;Total;2013;9882
41016 Bollullos de la Mitación;Total;2012;9756
41016 Bollullos de la Mitación;Total;2011;9470
41016 Bollullos de la Mitación;Total;2010;9142
41016 Bollullos de la Mitación;Total;2009;8849
41016 Bollullos de la Mitación;Total;2008;8334
41016 Bollullos de la Mitación;Total;2007;7729
41016 Bollullos de la Mitación;Total;2006;7084
41016 Bollullos de la Mitación;Total;2005;6639
41016 Bollullos de la Mitación;Total;2004;6062
41016 Bollullos de la Mitación;Total;2003;5567
41016 Bollullos de la Mitación;Total;2002;5341
41016 Bollullos de la Mitación;Total;2001;5156
41016 Bollullos de la Mitación;Total;2000;5009
41016 Bollullos de la Mitación;Total;1999;5012
41016 Bollullos de la Mitación;Total;1998;5012
41017 Bormujos;Total;2019;21972
41017 Bormujos;Total;2018;21964
41017 Bormujos;Total;2017;21667
41017 Bormujos;Total;2016;21476
41017 Bormujos;Total;2015;21362
41017 Bormujos;Total;2014;20947
41017 Bormujos;Total;2013;20681
41017 Bormujos;Total;2012;20345
41017 Bormujos;Total;2011;19694
41017 Bormujos;Total;2010;19110
41017 Bormujos;Total;2009;18590
41017 Bormujos;Total;2008;17670
41017 Bormujos;Total;2007;16548
41017 Bormujos;Total;2006;15741
41017 Bormujos;Total;2005;14585
41017 Bormujos;Total;2004;13492
41017 Bormujos;Total;2003;12641
41017 Bormujos;Total;2002;11534
41017 Bormujos;Total;2001;10400
41017 Bormujos;Total;2000;9462
41017 Bormujos;Total;1999;8223
41017 Bormujos;Total;1998;7521
41018 Brenes;Total;2019;12471
41018 Brenes;Total;2018;12608
41018 Brenes;Total;2017;12638
41018 Brenes;Total;2016;12683
41018 Brenes;Total;2015;12697
41018 Brenes;Total;2014;12696
41018 Brenes;Total;2013;12897
41018 Brenes;Total;2012;12837
41018 Brenes;Total;2011;12717
41018 Brenes;Total;2010;12580
41018 Brenes;Total;2009;12460
41018 Brenes;Total;2008;12245
41018 Brenes;Total;2007;12022
41018 Brenes;Total;2006;11820
41018 Brenes;Total;2005;11412
41018 Brenes;Total;2004;11156
41018 Brenes;Total;2003;10929
41018 Brenes;Total;2002;10781
41018 Brenes;Total;2001;10720
41018 Brenes;Total;2000;10666
41018 Brenes;Total;1999;10597
41018 Brenes;Total;1998;10509
