Lugar de condena;Nacionalidad;Periodo;Total
04 Almería;País de Europa menos UE;2018;71
04 Almería;País de Europa menos UE;2017;119
04 Almería;País de Europa menos UE;2016;56
04 Almería;País de Europa menos UE;2015;53
04 Almería;País de Europa menos UE;2014;41
04 Almería;País de Europa menos UE;2013;24
04 Almería;De Africa;2019;1.187
04 Almería;De Africa;2018;1.168
04 Almería;De Africa;2017;994
04 Almería;De Africa;2016;924
04 Almería;De Africa;2015;671
04 Almería;De Africa;2014;680
04 Almería;De Africa;2013;773
04 Almería;De América;2019;324
04 Almería;De América;2018;327
04 Almería;De América;2017;221
04 Almería;De América;2016;242
04 Almería;De América;2015;241
04 Almería;De América;2014;236
04 Almería;De América;2013;293
04 Almería;De Asia;2019;6
04 Almería;De Asia;2018;20
04 Almería;De Asia;2017;25
04 Almería;De Asia;2016;15
04 Almería;De Asia;2015;7
04 Almería;De Asia;2014;16
04 Almería;De Asia;2013;12
04 Almería;De Oceanía;2019;0
04 Almería;De Oceanía;2018;0
04 Almería;De Oceanía;2017;0
04 Almería;De Oceanía;2016;0
04 Almería;De Oceanía;2015;1
04 Almería;De Oceanía;2014;0
04 Almería;De Oceanía;2013;2
01 Araba/Álava;Total;2019;3.091
01 Araba/Álava;Total;2018;3.515
01 Araba/Álava;Total;2017;3.234
01 Araba/Álava;Total;2016;2.939
01 Araba/Álava;Total;2015;1.918
01 Araba/Álava;Total;2014;1.889
01 Araba/Álava;Total;2013;1.963
01 Araba/Álava;Española;2019;2.148
01 Araba/Álava;Española;2018;2.561
01 Araba/Álava;Española;2017;2.369
01 Araba/Álava;Española;2016;2.103
01 Araba/Álava;Española;2015;1.369
01 Araba/Álava;Española;2014;1.313
01 Araba/Álava;Española;2013;1.331
01 Araba/Álava;País de la UE28 sin España;2019;152
01 Araba/Álava;País de la UE28 sin España;2018;189
01 Araba/Álava;País de la UE28 sin España;2017;159
01 Araba/Álava;País de la UE28 sin España;2016;163
01 Araba/Álava;País de la UE28 sin España;2015;105
01 Araba/Álava;País de la UE28 sin España;2014;129
01 Araba/Álava;País de la UE28 sin España;2013;124
01 Araba/Álava;País de Europa menos UE;2019;61
01 Araba/Álava;País de Europa menos UE;2018;49
01 Araba/Álava;País de Europa menos UE;2017;46
01 Araba/Álava;País de Europa menos UE;2016;26
01 Araba/Álava;País de Europa menos UE;2015;22
01 Araba/Álava;País de Europa menos UE;2014;23
01 Araba/Álava;País de Europa menos UE;2013;26
01 Araba/Álava;De Africa;2019;439
01 Araba/Álava;De Africa;2018;388
01 Araba/Álava;De Africa;2017;361
01 Araba/Álava;De Africa;2016;389
01 Araba/Álava;De Africa;2015;224
01 Araba/Álava;De Africa;2014;224
01 Araba/Álava;De Africa;2013;227
01 Araba/Álava;De América;2019;263
01 Araba/Álava;De América;2018;299
01 Araba/Álava;De América;2017;251
01 Araba/Álava;De América;2016;237
01 Araba/Álava;De América;2015;179
01 Araba/Álava;De América;2014;188
01 Araba/Álava;De América;2013;216
01 Araba/Álava;De Asia;2019;27
01 Araba/Álava;De Asia;2018;29
01 Araba/Álava;De Asia;2017;48
01 Araba/Álava;De Asia;2016;21
01 Araba/Álava;De Asia;2015;19
01 Araba/Álava;De Asia;2014;12
01 Araba/Álava;De Asia;2013;20
01 Araba/Álava;De Oceanía;2019;1
01 Araba/Álava;De Oceanía;2018;0
01 Araba/Álava;De Oceanía;2017;0
01 Araba/Álava;De Oceanía;2016;0
01 Araba/Álava;De Oceanía;2015;0
01 Araba/Álava;De Oceanía;2014;0
01 Araba/Álava;De Oceanía;2013;19
33 Asturias;Total;2019;8.824
33 Asturias;Total;2018;9.032
33 Asturias;Total;2017;9.166
33 Asturias;Total;2016;8.656
33 Asturias;Total;2015;6.185
33 Asturias;Total;2014;6.196
33 Asturias;Total;2013;6.076
33 Asturias;Española;2019;7.979
33 Asturias;Española;2018;8.268
33 Asturias;Española;2017;8.291
33 Asturias;Española;2016;7.823
33 Asturias;Española;2015;5.613
33 Asturias;Española;2014;5.594
33 Asturias;Española;2013;5.450
33 Asturias;País de la UE28 sin España;2019;364
33 Asturias;País de la UE28 sin España;2018;319
33 Asturias;País de la UE28 sin España;2017;375
33 Asturias;País de la UE28 sin España;2016;333
33 Asturias;País de la UE28 sin España;2015;233
33 Asturias;País de la UE28 sin España;2014;236
33 Asturias;País de la UE28 sin España;2013;222
33 Asturias;País de Europa menos UE;2019;22
33 Asturias;País de Europa menos UE;2018;39
33 Asturias;País de Europa menos UE;2017;24
33 Asturias;País de Europa menos UE;2016;29
33 Asturias;País de Europa menos UE;2015;14
33 Asturias;País de Europa menos UE;2014;13
33 Asturias;País de Europa menos UE;2013;19
33 Asturias;De Africa;2019;163
33 Asturias;De Africa;2018;143
33 Asturias;De Africa;2017;204
33 Asturias;De Africa;2016;150
33 Asturias;De Africa;2015;97
33 Asturias;De Africa;2014;94
33 Asturias;De Africa;2013;120
33 Asturias;De América;2019;288
33 Asturias;De América;2018;248
33 Asturias;De América;2017;266
33 Asturias;De América;2016;313
33 Asturias;De América;2015;218
33 Asturias;De América;2014;252
33 Asturias;De América;2013;248
33 Asturias;De Asia;2019;8
33 Asturias;De Asia;2018;15
33 Asturias;De Asia;2017;6
33 Asturias;De Asia;2016;8
33 Asturias;De Asia;2015;10
33 Asturias;De Asia;2014;7
33 Asturias;De Asia;2013;15
33 Asturias;De Oceanía;2019;0
33 Asturias;De Oceanía;2018;0
33 Asturias;De Oceanía;2017;0
33 Asturias;De Oceanía;2016;0
33 Asturias;De Oceanía;2015;0
33 Asturias;De Oceanía;2014;0
33 Asturias;De Oceanía;2013;2
05 Ávila;Total;2019;943
05 Ávila;Total;2018;909
05 Ávila;Total;2017;794
05 Ávila;Total;2016;730
05 Ávila;Total;2015;745
05 Ávila;Total;2014;675
05 Ávila;Total;2013;725
05 Ávila;Española;2019;787
05 Ávila;Española;2018;751
05 Ávila;Española;2017;640
05 Ávila;Española;2016;593
05 Ávila;Española;2015;611
05 Ávila;Española;2014;551
05 Ávila;Española;2013;578
05 Ávila;País de la UE28 sin España;2019;61
05 Ávila;País de la UE28 sin España;2018;49
05 Ávila;País de la UE28 sin España;2017;41
05 Ávila;País de la UE28 sin España;2016;51
05 Ávila;País de la UE28 sin España;2015;40
05 Ávila;País de la UE28 sin España;2014;50
05 Ávila;País de la UE28 sin España;2013;48
05 Ávila;País de Europa menos UE;2019;4
05 Ávila;País de Europa menos UE;2018;3
05 Ávila;País de Europa menos UE;2017;1
05 Ávila;País de Europa menos UE;2016;0
05 Ávila;País de Europa menos UE;2015;2
05 Ávila;País de Europa menos UE;2014;0
05 Ávila;País de Europa menos UE;2013;6
05 Ávila;De Africa;2019;36
05 Ávila;De Africa;2018;41
05 Ávila;De Africa;2017;56
05 Ávila;De Africa;2016;45
05 Ávila;De Africa;2015;39
